"locs","ct"
"Europe",95
"Libya",93
"United States",91
"DoS",85
"Iran",78
"Jacob",78
"Benghazi",65
"Israel",63
"Afghanistan",58
"Syria",57
"Egypt",56
"Pakistan",56
"Washington",52
"Brazil",47
"China",43
"Tel.",40
"Cook",39
"Carson",36
"Athens",34
"North Korea",30
"Iraq",28
"Middle East",25
"Baghdad",24
"Kabul",24
"India",23
"Africa",22
"Haiti",21
"Saudi Arabia",21
"France",20
"London",20
"Greece",19
"Ireland",19
"Pyongyang",18
"Algeria",17
"Italy",17
"Turkey",16
"Tel Aviv)",15
"Asia",14
"Kenya",14
"Mali",14
"Canada",13
"the Americas",13
"New York",12
"Russia",12
"Sudan",12
"Arctic",11
"El Salvador",11
"Spain",11
"China Sea",10
"Germany",10
"Japan",10
"Cairo",9
"Latin America",9
"Moscow",9
"Singapore",9
"Tokyo",9
"Amman",8
"Burma",8
"Cc",8
"Cuba",8
"Kennedy",8
"LaGuardia Airport",8
"Sent",8
"Tunisia",8
"America",7
"Indonesia",7
"Lebanon",7
"Rio",7
"South Africa",7
"Tobruk",7
"Uganda",7
"Andrews Air Force Base",6
"Broadway",6
"East Sea",6
"Ethiopia",6
"Jerusalem",6
"June/Rio+",6
"Morocco",6
"Subject",6
"Tripoli",6
"Washington National Airport",6
"Alaska",5
"DC",5
"Daniel",5
"East Hall",5
"England",5
"Hi",5
"Hill",5
"Honduras",5
"Key",5
"Korea",5
"Pacific",5
"Paris",5
"Saudi",5
"South Korea",5
"Telegraph",5
"Toronto",5
"Australia",4
"Bangladesh",4
"Beijing",4
"Britain",4
"Chicago",4
"East Africa",4
"French",4
"Geneva",4
"Kelly",4
"Mountains",4
"NY-LaGuardia Airport",4
"Nebraska",4
"Portugal",4
"Seoul",4
"Southern",4
"Tehran",4
"Tel Aviv",4
"Tel:",4
"Tunis",4
"West Germany",4
"Asia Pacific",3
"Bedford Falls",3
"Belgium",3
"Blair",3
"Buenos Aires",3
"CA",3
"Cambodia",3
"DRC.",3
"Eastern",3
"Entebbe",3
"Gaza",3
"Guinea",3
"Hi All",3
"Hi Karin",3
"Hope",3
"Irish",3
"Kingdom",3
"Mali Importance",3
"Mexico",3
"N.",3
"Palestine",3
"Parliament",3
"Riyadh",3
"Rome",3
"Rosemary",3
"Secretaries",3
"South Asia",3
"Switzerland",3
"Syrian",3
"Tampa",3
"Victoria",3
"West Bank",3
"Western",3
"Abyei""",2
"Afghanistanfocused",2
"Aleppo",2
"Angola",2
"Arabs",2
"Caribbean",2
"China-North Korea",2
"Copenhagen",2
"De Paulo",2
"Dec/Jan",2
"Desert",2
"EST.",2
"East Asia Summit",2
"Egyptians",2
"Erdogan",2
"FS Hague",2
"Frankfurt",2
"Fyi",2
"GCC Peninsula",2
"Gimhae International Airport",2
"Hi Izumi",2
"Introduces",2
"Jakarta",2
"Kazakhstan",2
"Khartoum",2
"Khost-Gardez",2
"Le Mon",2
"Los Cabos",2
"Massachusetts Avenue",2
"Miami",2
"Middle Eastern",2
"Mission",2
"Moreno",2
"Nasrallah",2
"New York-LaGuardia Airport",2
"North Africa",2
"North America",2
"Norway",2
"OK",2
"Penn",2
"Photo",2
"Rajiv",2
"Rangoon",2
"Rock Creek",2
"South Sudan",2
"Sri Lanka",2
"Strong",2
"Summit",2
"Sweden",2
"Syrian Army",2
"Tahrir Square",2
"Texas",2
"Thailand",2
"Tues",2
"Turkish",2
"U.S.",2
"United Kingdom",2
"Vetting",2
"Washington Tel:",2
"Yellow Sea",2
"Zhongsha Islands",2
"AID/A",1
"Ajdabiya",1
"Alberta",1
"Amre Moussa Worth",1
"Amsterdam",1
"Annan  Hague",1
"Arab Spring",1
"Arab States",1
"Argentina",1
"Asad",1
"Asia Pacific.",1
"Australia BleichJIR",1
"Ave.",1
"Bali",1
"Balkans",1
"Bangkok",1
"Barqa",1
"Belfast airport",1
"Big Ben National Park",1
"Border",1
"Boston",1
"Bronx",1
"Camp Phoenix",1
"Canberra",1
"Cannon",1
"Christians",1
"Coalition",1
"Colombia",1
"Comments",1
"Congo",1
"Covered",1
"Croatia",1
"DC Los Angeles",1
"DC WJC RON Palm Springs",1
"Delhi",1
"Denmark",1
"Djibouti",1
"East Asia",1
"El SalvadorImportance",1
"Europe America",1
"Federated States of",1
"For",1
"Fw",1
"Georgia",1
"Gulf",1
"Gulf Arab",1
"Gulf States",1
"Haifa",1
"Hatay",1
"Hi  Pls",1
"Hi Jake",1
"Hong Kong",1
"Honolulu",1
"Iowa",1
"Islamabad",1
"Jacob   F--  C Date",1
"Jacob  .(D)",1
"Jacob l; Pella",1
"Jacob l; Reines",1
"Joburg",1
"Jul",1
"Kajacki Dam",1
"Kandahar",1
"Karachi",1
"Khost Road",1
"Kofi Anan",1
"Koreas",1
"Kuwait",1
"Lakenheath",1
"Latin",1
"Lattakiya",1
"Latvia",1
"Liechtenstein",1
"Lithuania",1
"Los Angeles",1
"Love",1
"Luke",1
"Ma B  J",1
"Malaysia",1
"Marathon",1
"Marjiyan",1
"Marrakesh",1
"Marsa",1
"Massachusetts",1
"Meles",1
"Meskel Square",1
"Molho",1
"Mongiello",1
"Montgomery",1
"Morsi",1
"Mr Hague",1
"Myanmar",1
"N Korea",1
"N. Korea",1
"NEW YORK",1
"NGOs",1
"Neb.",1
"Netherlands",1
"Nevada",1
"New York-based Marathon",1
"New Zealand",1
"Nigeria",1
"North Waziristan",1
"Olympia",1
"Omaha",1
"Paktia province",1
"Panama",1
"Paraguay",1
"Pennsylvania Ave.",1
"Pennsylvania Avenue",1
"Pentagon-ese",1
"Philippines",1
"Piazza",1
"Pls",1
"Prague",1
"Prince  X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X  X",1
"Princeton",1
"Puerto Rico",1
"Qatar",1
"Rakhine State",1
"Ramadan",1
"Re",1
"Rohingya",1
"Rome Tel.",1
"Salala",1
"San Marino",1
"Scotland",1
"Singapore Manila",1
"Smith Ga",1
"Sorry",1
"South Carolina",1
"South and South East Asia",1
"Southeast Asia",1
"Spain New York",1
"Specials",1
"Spring",1
"Strasbourg",1
"Summit.",1
"Taiwan",1
"Tel",1
"Tel Aviv)  .(D)",1
"Thx",1
"Torkham",1
"United States Tel -",1
"United States of America",1
"Venezuela",1
"WalMart",1
"Wash",1
"Washington D.C.",1
"Wayne",1
"Western Europe",1
"White Plains",1
"Wisconsin",1
"X X X X X X X  --.",1
"Yerevan",1
"Zimbabwe",1
"Zurich",1
"Zuwara",1
"the Netherlands",1
