"speaker","transcription","url","headlin","timing"
"Kristen Welker","Good evening, everyone. Good evening. Thank you so much for being here. It is such an honor for me to moderate this debate tonight, the final debate. I want to welcome the first family and the first lady. We’re so glad and thankful that you are feeling better. I want to welcome the Biden family, Dr. Jill Biden. Thank you all for being here tonight. We are so excited. We’re looking forward to a really robust discussion. And the only thing I would reiterate are the CPD guidelines that when the candidates are talking, please hold any applause or any other reactions. Except of course, when they walk out, make sure you cheer and loud and applause so that everyone can hear you. Thank you for having me. This is really the honor of a lifetime. I am going to sit down and just get organized and get settled and the show will start very soon. Thank you for being here. (silence). Good evening from Belmont University in Nashville, Tennessee. I’m Kristen Welker of NBC News. And I welcome you to the final 2020 presidential debate between President Donald J. Trump and former vice president Joe Biden. Tonight’s debate is sponsored by the Commission on Presidential Debates. It is conducted under health and safety protocols designed by the Commission’s health security advisor. The audience here in the hall has promised to remain silent. No cheers, boos, or other interruptions, except right now, as we welcome to the stage, former vice president Joe Biden and President Donald J. Trump.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","00:18"
"Donald Trump","How are you doing? How are you?","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","07:37"
"Kristen Welker","And I do want to say a very good evening to both of you. This debate will cover six major topics. At the beginning of each section, each candidate will have two minutes, uninterrupted, to answer my first question. The Debate Commission will then turn on their microphone only when it is their turn to answer. And the Commission will turn it off exactly when the two minutes have expired. After that, both microphones will remain on. But on behalf of the voters, I’m going to ask you to please speak one at a time.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","07:58"
"Kristen Welker","The goal is for you to hear each other and for the American people to hear every word of what you both have to say. And so with that, if you’re ready, let’s start. And we will begin with the fight against the coronavirus. President Trump, the first question is for you. The country is heading into a dangerous new phase. More than 40,000 Americans are in the hospital tonight with COVID, including record numbers here in Tennessee. And since the two of you last shared a stage, 16,000 Americans have died from COVID. So please be specific. How would you lead the country during this next stage of the coronavirus crisis? Two minutes, uninterrupted.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","08:27"
"Kristen Welker","… during this next stage of the coronavirus crisis. Two minutes uninterrupted.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","09:03"
"Donald Trump","So as you know, 2.2 million people modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China. It’s a worldwide pandemic. It’s all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down 85%. The excess mortality rate is way down and much lower than almost any other country. And we’re fighting it and we’re fighting it hard. There is a spike. There was a spike in Florida and it’s now gone.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","09:04"
"Donald Trump","There was a very big spike in Texas. It’s now gone. There was a very big spike in Arizona. It’s now gone. And there was some spikes and surges and other places, they will soon be gone. We have a vaccine that’s coming. It’s ready. It’s going to be announced within weeks. And it’s going to be delivered. We have Operation Warp Speed, which is the military is going to distribute the vaccine.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","09:41"
"Donald Trump","I can tell you from personal experience, I was in the hospital. I had it and I got better. And I will tell you that I had something that they gave me, a therapeutic, I guess they would call it. Some people could say it was a cure, but I was in for a short period of time. And I got better very fast or I wouldn’t be here tonight. And now they say I’m immune. Whether it’s four months or a lifetime, nobody’s been able to say that, but I’m immune. More and more people are getting better. We have a problem that’s a worldwide problem. This is a worldwide problem, but I’ve been congratulated by the heads of many countries on what we’ve been able to do. If you take a look at what we’ve done in terms of goggles and masks and gowns and everything else, and in particular ventilators we’re now making ventilators all over the world, thousands and thousands a month distributing them all over the world. It will go away. And as I say, we’re rounding the turn. We’re rounding the corner. It’s going away.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","10:04"
"Kristen Welker","Okay. Former Vice President Biden to you. How would you lead the country out of this crisis? You have two minutes uninterrupted.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","11:06"
"Joe Biden","220,000 Americans dead. You hear nothing else I say tonight, hear this. Anyone who is responsible for not taking control. In fact, not saying I take no responsibility initially. Anyone is responsible for that many deaths should not remain as president of the United States of America. We’re in a situation where there are a thousand deaths a day now. A thousand deaths a day. And there are over 70,000 new cases per day. Compared to what’s going on in Europe as the New England Medical Journal said, they’re starting from a very low rate. We’re starting from a very high rate.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","11:13"
"Joe Biden","The expectation is we’ll have another 200,000 Americans dead between now and the end of the year. If we just wore these masks, the president’s own advisors have told him, we can save a 100,000 lives. And we’re in a circumstance where the president thus far and still has no plan, no comprehensive plan.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","11:56"
"Joe Biden","What I would do is make sure we have everyone encouraged to wear a mask all the time. I would make sure we move into the direction of rapid testing, investing in rapid testing. I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe and give them the wherewithal, the financial resources to be able to do that.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","12:19"
"Joe Biden","We’re in a situation now where the New England Medical Journal, one of the serious, most serious journals in the whole world said for the first time ever that the way this president has responded to this crisis has been absolutely tragic. And so folks, I will take care of this. I will end this. I will make sure we have a plan.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","12:41"
"Kristen Welker","President Trump, I’d like to follow up with you and your comments. You talked about taking a therapeutic, I assume you’re referencing Regeneron. You also said a vaccine will be coming within weeks. Is that a guarantee?","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","13:01"
"Donald Trump","No, it’s not a guarantee, but it will be by the end of the year. But I think it has a good chance. There are two companies, I think within a matter of weeks and it will be distributed very quickly.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","13:13"
"Kristen Welker","Can you tell us which companies?","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","13:22"
"Donald Trump","Johnson & Johnson is doing very well. Moderna is doing very well. Pfizer is doing very well and we have numerous others. Then we also have others that we’re working on very closely with other countries, in particular Europe.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","13:23"
"Kristen Welker","Let me follow up with you and because this is new information. You have set a vaccine is coming soon within weeks now. Your own officials say, “It could take well into 2021 at the earliest for enough Americans to get vaccinated.” And even then they say, “The country will be wearing masks and distancing into 2022.” Is your timeline realistic?","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","13:35"
"Donald Trump","No, I think my timeline is going to be more accurate. I don’t know that they’re counting on the military the way I do, but we have our generals lined up, one in particular that’s the head of logistics and this is a very easy distribution for him. He’s ready to go. As soon as we have the vaccine and we expect to have a 100 million vials. As soon as we have the vaccine, he’s ready to go.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","13:53"
"Kristen Welker","Vice President Biden, your reaction. And just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government. What steps would you take to give Americans confidence in a vaccine if it were approved?","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","14:13"
"Joe Biden","Make sure it’s totally transparent. Have the scientists of the world see it, know it, look at it, go through all the processes. And by the way, this is the same fellow who told you, “This is going to end by Easter” last time. This is the same fellow who told you that, “Don’t worry, we’re going to end this by the summer.” We’re about to go into a dark winter, a dark winter and he has no clear plan. And there’s no prospect that there’s going to be a vaccine available for the majority of the American people before the middle of next year.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","14:26"
"Kristen Welker","President Trump, your reaction. He says, you have no plan.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","14:54"
"Donald Trump","I don’t think we’re going to have a dark winter at all. We’re opening up our country. We’ve learned and studied and understand the disease, which we didn’t at the beginning. When I closed and banned China from coming in heavily infected and then ultimately Europe, but China was in January. Months later, he was saying I was xenophobic. I did it too soon. Now he’s saying, “Oh, I should have moved quicker,” but he didn’t move quicker. He was months behind me, many months behind me.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","14:56"
"Donald Trump","And frankly, he ran the H1N1 swine flu and it was a total disaster. Far less lethal, but it was a total disaster. Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. Look, his own person who ran that for him, who, as you know, was his chief of staff said, “It was catastrophic. It was horrible. We didn’t know what we were doing.” Now he comes up and he tells us how to do this.","https://www.rev.com/blog/transcripts/donald-trump-joe-biden-final-presidential-debate-transcript-2020","Donald Trump & Joe Biden Final Presidential Debate Transcript 2020","15:24"
