"speaker","transcription","url","headlin","timing"
"Herschel","… that this guy could be president of the United States in 1985 because he loved America. But I guarantee you, you can’t find that in the archives today. But I’ve always known that he’s different because he became the 45th president of the United States of America. And I also get upset because he don’t get the credit he deserves for all the things that he’s done in the African-American community like the historical Black colleges that helped to build great Black leaders in the world today. And also the prison reform that benefit most of the African American. So I get upset about that.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","21:11"
"Herschel","But his administration and himself work extremely hard to do many things for American, not just African Americans. And I said once, when you give a man a job, you give him self worth. And do you know this president, in three and a half years, put one million African-Americans to work? In eight years, the Obama Biden put 140,000 people to work. I’ve always said I will stand shoulder to shoulder with this man because he keeps God in the house. And all us Americans have received so many touchdown passes from this man that I want to say it is time for us to recognize our quarterback. So it’s my honor and pleasure to introduce my friend, the president of the United States of America, the 45th president, Donald J. Trump.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","21:59"
"Herschel","( singing).","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","23:52"
"Donald Trump","Thank you very much. And thank you to Herschel. I don’t know about Herschel.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","23:59"
"Crowd","[inaudible 00:24:10].","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","24:01"
"Donald Trump","I don’t know. I don’t know. I don’t know about Herschel. I’d watch him in college, I’d watch him carry that ball, but I think he’d do just as well as a senator or a governor. We’re going to have to start talking to him about that. He’s a fantastic person, great man. I’m honored to be back in the heart of Georgia with the truly incredible organization, Black Voices for Trump. And we appreciate it.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","24:19"
"Donald Trump","In 39 days, we’re going to win four more years in the White House. And we will do it with a record number of votes from the Black community, we have no doubt. That’s all happening. That’s all happening. We’re getting a lot of the people back there, they’re saying, “What’s going on over here?” They’re not happy about it, but that’s okay. Our movement is welcoming millions of Black Americans back to the Republican party, the party of Frederick Douglass and Abraham Lincoln. Right? When I ran for president four years ago, I looked at the dismal and shameful record of the Democrat party. And as Black Americans, what the hell do you have to lose? Right? And they all said, “You shouldn’t use the word hell.” But I said, “It’s just, it’s more descriptive. Doesn’t work as well without it.”","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","24:47"
"Donald Trump","Today, I want to share what you have to gain from voting Republican on November 3rd. It’ll be the biggest election of our lives. For decades, Democrat politicians like Joe Biden have taken Black voters for granted. They made you big promises before every election. And then the moment they got to Washington, they abandoned you and they sold you out. The Democrat party used you and they lied to you every single time. You know it better than anybody else knows it. The Democrats will always take back the vote. What they want to do is they’ll take that vote back, they want to take the Black voter for granted, and they have taken the Black voter for granted. And it’s not fair, it’s not right, and it’s not going to happen because we’re going to have such a victory like you’ve never had before.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","25:49"
"Donald Trump","Thank you. Thank you. In 2016, I made you a solemn pledge that whether you voted for me or not, I would be your greatest champion. Since that time, I’ve delivered even more than I promised. It’s one of those things. Few politicians do that. But I believe we have. Before the China virus, we built the greatest economy for African-Americans in the history of our country. And we are doing it again. In the first three years, we achieved the lowest Black unemployment rate in history. The Black youth unemployment rate reached an all time low. We achieved the largest job gains for African-Americans on record. Black Americans saw the largest increase in home ownership. The poverty rate for African-Americans reached the lowest level ever recorded. And last year, 811,000 African-Americans were lifted out of poverty, the most in over 51 years. In my first three years, we lifted 6.6 million people out of poverty, the largest poverty reduction of any president in the history of our country.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","26:52"
"Donald Trump","I did more for the Black community in 47 months … I saw they used that line, so I don’t want to ruin it by saying it a second time. It was in the video, but I will say it again. Than Joe Biden did in 47 years. And I’m here today to announce a brand new plan to deliver more opportunity, more security, more fairness, and more prosperity to Black communities. We call it the Platinum Plan. Platinum Plan. And that’s a contract with Black Americans, and it’s going to be something that people talk about for a long time to come. If you vote Republican over the next four years, we will create three million new jobs for the Black community, open 500,000 new Black owned businesses, increase access to capital in Black communities by $500 billion. This includes investing in community development, financial institutions, and minority depository institutions. Build up peaceful and safer urban neighborhoods with the highest standards of, and you know this, of policing. We want the highest standards. We have to have highest standards of policing. Bring even greater fairness to the justice system. We did criminal justice reform. We remember that. Even greater.","https://www.rev.com/blog/transcripts/donald-trump-black-economic-empowerment-speech-transcript-september-25","Donald Trump ‘Black Economic Empowerment’ Speech Transcript September 25","28:20"
