"speaker","transcription","url","headlin","timing"
"Mike Pence","… Continue this great tradition. It’s such a timeless [inaudible 00:00:05], though it is not the first time our president has called on the nation during our present national crisis to pray. It was in March of this year, the president asked the American people to join, in his words, in a day of prayer for all people, all those affected by the coronavirus pandemic, and to pray for God’s healing hand to be placed on the people of our nation. And I can tell you that your first family and our family have been inspired every day to see the way that the American people have taken up that call, not just to pray, but to act in the midst of this national crisis.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","00:00"
"Mike Pence","We’ve seen people of every creed in this country, in every city and every state step forward to put feed on their faith with countless acts of kindness and generosity to those in need. The Bible says, “Because of the Lord’s great love, we are not consumed, for his compassions never fail.” And neither have the compassions or the generosity of the American people failed in this hour. So, on this national day of prayer, we count it a privilege to simply say to the American people, thank you for your prayers and thank you for all you have done to see your family, your friends, your neighbors, and even strangers through these unprecedented times. But today, with the deepest respect and a grateful heart, we urge you to be persistent in prayer. On this national day of prayer, pray for the families who’ve lost loved ones and pray for those who at this very hour are struggling with the severest consequences of the coronavirus.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","01:03"
"Mike Pence","Pray for our doctors and nurses and healthcare workers who have cared for our families as if they were their own, and have not just provided the health care that any one of us would want for a loved one, but in so many cases our doctors and nurses and healthcare workers and… Literally taken the place of family and loved ones for patients enduring the isolation of the coronavirus. Pray for the police, firefighters, and first responders, who without regard to their personal safety have rendered care and sped those impacted by this dread virus to healing hands. And as we gather today and remember these families and these heroes and all of those who have labored every day to protect our nation during these challenging times, let’s also remember to pray for all of the men and women who defend this nation in good times and bad. Who wear the uniform of the United States, who are standing opposed at this hour in far flung places around the world, who are deploying as we speak to defend this great nation. Let’s remember them as well.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","02:48"
"Mike Pence","And on this national day of prayer, as we pray for the American people, for every American of every creed, let’s do so with faith in those ancient words that Americans have clung to throughout our history. That if his people who are called by his name will humble themselves and pray, let’s know that he’ll do like he’s always done throughout every challenging hour in the history of this nation. He’ll hear from heaven and he’ll heal this land. So, thank you, God bless you and God bless America.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","04:37"
"Speaker 1","In my own life, in times of despair and anxiety, I’ve cherished Psalm 46:10, which says, “Be still and know that he is God.” And I’ve also gotten a lot of comfort from Psalm 62:8, “Trust in him at all times. Pour out your heart to him, for God is our refuge.”","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","05:44"
"Speaker 2","Ladies and gentlemen, the president of the United States and Mrs. Trump.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","07:08"
"Melania Trump","On this national day of prayer, let’s us take a moment to extend our deepest sympathy to the families of those who have lost their loved ones to COVID-19. Let us pray for the ill, the ones who are suffering and those serving on the front lines. When evil darkens our world, give us light. When despair numbs our souls, give us hope. When we stumble and fall, lift us up. When doubts assail us, give us faith. When nothing seems sure, give us trust. When ideals fade, give us vision. When we lose our way, be our guide that we may find serenity in your presence and purpose in doing your will. Amen.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","07:36"
"Donald Trump","Thank you very much. Please sit. Thank you, be seated please. And Melania, thank you very much. On the second anniversary of the Be Best initiative, you’ve done a fantastic job and everybody appreciates it, but I want to… Thank you, and I want to thank you on behalf of the entire nation for all that you do for America’s children and on fighting the drug addiction problem that we have in this country. It’s all over the world, but I want to thank you very much. Great job. You do your work so hard. On this national day of prayer, America is engaged in a fierce battle against a very terrible disease. Throughout our history, in times of challenge, our people have always called upon the gift of faith, the blessing of belief, the power of prayer and the eternal glory of God. I ask all Americans to join their voices and their hearts in spiritual union as we ask our Lord in heaven for strength and solace, for courage and comfort, for hope and healing, for recovery and for renewal.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","08:46"
"Donald Trump","In recent days and weeks, our country has endured a grave hardship. We pray for every family stricken with grief and devastated with a tragic loss. We pray for the doctors, the nurses and first responders waging war against the invisible enemy. We pray for the scientists’ and researchers’ pioneer treatments, that they find therapies and vaccines and that they find them soon. We pray for the frontline workers keeping our nation fed, nourished and safe and secure. May God watch over them all. We’re honored to have with us today our amazing vice president Mike Pence and his wonderful wife, Karen. Great friends of our nation and great friends of mine and Melania’s, and somebody who’s done an incredible job not only as vice president but as heading the task force which has come up with so many solutions and ideas and things that we didn’t even think about two months ago.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","09:55"
"Donald Trump","We’re also profoundly grateful to be joined by many faith leaders who are helping to care for our neighbors in their hour of need. Thank you all for providing meals to families, medical supplies to hospitals, and for providing spiritual strength and encouragement to your communities. Very important people, very respected people, and very much loved people. In every part of our country, we’ve seen grace of God through the love and devotion of our fellow citizens as scripture assures us the Lord your God is not your midst, a mighty one who will save. And I think it’s so true. Think of that, the Lord your God is in your midst, a mighty one who will save. We have been reminded once again-","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","11:05"
"Donald Trump","… who will save. We have been reminded once again that God has blessed our land with heroes of faith. Here with us is Brittany Akinsola from Charlotte, North Carolina. Brittany is a nurse, a pastor, a wife, a mother. When she saw the dire situation in New York City, she volunteered to work at Samaritan’s Purse Field Hospital in Central Park. There she worked 13-hour shifts in the intensive care unit for weeks praying for each patient while giving them the very best care. As Brittany said, “We just keep sharing the love of Christ through our gifts of nursing.”","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","12:03"
"Donald Trump","Brittany, America’s forever indebted to you and the incredible job you have done. We very much appreciate it, Brittany. Please come up. Please come up, Brittany, and say a few words. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-mike-pence-melania-trump-national-prayer-day-speech-transcript","Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","12:42"
