"speaker","transcription","url","headlin","timing"
"George Stephanopoulos","Welcome to our town hall with President Trump. Mr. President, thank you for joining us.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:26"
"Donald Trump","Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:30"
"George Stephanopoulos","We’re here with a group of Pennsylvania voters. As you can see, we’re socially distanced in this COVID era.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:31"
"Donald Trump","I can see, definitely. There’s no doubt about it.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:34"
"George Stephanopoulos","Everyone’s been tested. You should know that some of these people voted for you last time around, some voted for Hillary Clinton, some voted for third party candidates or no one at all. All have written their own questions. The first one comes from Paul Tubiana. Paul, take it away.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:36"
"Donald Trump","Hi, Paul.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:52"
"Paul Tubiana","Mr. President, I voted for you in 2016. I’m conservative pro-life and diabetic. I’ve had to dodge people who don’t care about social distancing and wearing face masks. I thought you were doing a good job with a pandemic response until about May 1st. Then you took your foot off the gas pedal. Why did you throw vulnerable people like me under the bus?","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","00:56"
"Donald Trump","Well, we really didn’t, Paul. We’ve worked very hard on the pandemic. We’ve worked very hard. It came off from China. They should have never let it happen. If you look at what we’ve done with ventilators and now, frankly, with vaccines, we’re very close to having a good vaccine. If you want to know the truth, the previous administration would have taken perhaps years to have a vaccine because of the FDA and all the approvals. And we’re within weeks of getting it, could be three weeks, four weeks, but we think we have a Johnson & Johnson Pfizer. We have great companies and they’re very, very close. It’s a terrible thing. But if you look at as an example, are you from New York? Where are you from?","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","01:22"
"Paul Tubiana","Originally, I’m from New York. I’ve lived in Bethlehem, Pennsylvania for 18 and a half years. It’s the longest place I’ve ever lived.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","02:05"
"Donald Trump","Well, that’s very good. It’s a good place. But actually, if you look at what we’ve done for various things, we built hospitals. New York, we took the Convention Center, converted it to 2,800 rooms. We brought in the ships. I wish they would have used it because frankly they would have saved a lot of people had they used it, but we really are. We’re starting to get very good marks. If you look at what we’ve done compared to other countries with the excess mortality, the excess mortality rate, we’ve done very, very well.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","02:12"
"Donald Trump","When you see our testing, we’re going to be at 84 million tests, 84 million. Think of that. And next would be India with about 50 million less. Our testing program’s far greater. I brought this along today because I think it’s something that’s really very special. We have a new test that came out literally today, that’s just showing you a numbers of how well we’re doing relative to other countries.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","02:40"
"Donald Trump","But this is actually a new test just came out from Abbott, highly sophisticated. You wouldn’t think it’s a piece of a really little light cardboard. This came out and this is a very accurate test and people will be able to have this and they’ll be able to test or ideally go through a doctor. But it’s very simple and very accurate.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","03:05"
"Donald Trump","We supplied governors including this state with equipment like nobody’s ever gotten. We were short on ventilators because the cupboards were bare when we took it over. We’re now making thousands of ventilators a month, many thousands that we’re sending, and we don’t need them in our country anymore. Not one person that needed a ventilator, didn’t get a ventilator. Everybody got a ventilator and, Paul, they’re very complex. They’re very hard to make, but we’re making out tens of thousands a month and sending them to other countries who are in dire need of them.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","03:27"
"Donald Trump","I feel that we’ve done a tremendous job, actually and it’s something that I don’t think it’s been recognized like it should. But when you look at our testing, when you look at our swabs, when you look at our ventilators, when you look at what we’ve done with hospitals, and we’ve made a lot of governors look very good and now some are in a shutdown and some aren’t, we’d like to see it open up and open up as soon as possible. But we’re very proud of the job we’ve done, and we’ve saved a lot of lives, a tremendous number of lives.","https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia","Donald Trump ABC News Town Hall Transcript with George Stephanopoulos in Philadelphia","03:59"
