"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much. Thank you, everybody. Great honor to be here. We’ve worked long and hard. Please sit down. We’ve worked long and hard to get this done. They said it couldn’t be done, and we got it done, one of the largest infrastructure projects in the history of our country. I’m honored to be here in the Rio Grand Valley with the courageous men and women of customs and border patrol. These people are incredible. They’re really incredible. I’ve gotten to know you very well over the last four years. Many of you are friends from all of the work we did in designing the wall. We got it exactly as you wanted it, everything including your protective plate on top.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","03:51"
"Donald Trump","I say, “Why did we put that?” And they said, “We need it for extra protection, climb plate,” and we have everything you want. It’s steel, it’s concrete inside the steel, and then it’s rebar, a lot of heavy rebar in side the concrete, and it’s as strong as you’re going to get and strong as you can have, but we gave you a 100% of what you wanted, so now you have no excuses. I didn’t want you to have any excuses. You set records, and we can’t let the next administration even think about taking it down, if you can believe that. I don’t think that will happen. I think when you see what it does and how it’s so important for our country, nobody’s going to be touching it, and you are very proud of it, and you’re proud of the work you did, because we really designed it together.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","04:32"
"Donald Trump","We’re joined together to celebrate a great achievement, the extraordinarily successful building of the wall on the Southern border. Before we begin, I’d like to say that free speech is under assault like never before. The 25th Amendment is of zero risk to me but will come back to haunt Joe Biden and the Biden Administration. As the expression goes, be careful what you wish for. The impeachment hoax is a continuation of the greatest and most vicious witch hunt in the history of our country and is causing tremendous anger and division and pain far greater than most people will ever understand, which is very dangerous for the USA, especially at this very tender time.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","05:18"
"Donald Trump","And now, I’d like to briefly address the events of last week. Millions of our citizens watched on Wednesday as a mob stormed the Capitol and trashed the halls of government. As I have consistently said throughout my administration, we believe in respecting America’s history and traditions, not tearing them down. We believe in the rule of law, not in violence or rioting. Because of the pandemic, horrible, horrible, invisible enemy, and despite our tremendous success developing a vaccine years before it was thought even remotely possible … Nobody thought it was going to be possible. They said it would take five years. “Sir, it will take seven years.” All of our scientists were saying, our advisers, “It will seven years, five years, 10 years, maybe.” Well, we did it just like I said we would, and we had it out years and years before they thought it was possible, and we’re now delivering it to states, including your state, where your governor and government are doing a terrific job in getting it administered in Texas.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","06:06"
"Donald Trump","Florida’s doing great. Some of them are doing great. Some aren’t doing as well, but they have all they can handle, and we get it to them as fast as they need it and even faster. But they’re calling it a medical miracle, and this has been a difficult year and a very difficult election. The pandemic has made it a very, very difficult year for our country and virtually every country all over the world. Now is the time for our nation to heal, and it’s time for peace and for calm. Respect for law enforcement and the great people within law enforcement, so many are here, is the foundation of the MAGA agenda, and we’re a nation of law, and we’re a nation of order. That is why we’re …","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","07:17"
"Donald Trump","… law and we’re a nation of order. That is why we’re here today to talk about what we must do to uphold the rule of law in America and how we must continue to support our law enforcement heroes, which is exactly what you are. Do you feel like a hero? Yeah, I think you do. Right? You do and you are. I want to thank Customs and Border Patrol Commissioner, Mark Morgan, who’s been incredible. Where’s Mark? Mark, stand up, Mark. Great job. Fantastic. Chief Patrol Agent, Brian Hastings. Brian, thank you very much. Great job. He’s so happy. He said, “Sir, this really works.” And most importantly, the brave law enforcement officers who risk their lives every day to protect our families and our country.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","08:03"
"Donald Trump","I also want to thank a tremendous gentleman, friend of mine, Tom Homan. He’s a great American patriot and he was with us right from the beginning. Right, Tom? You knew exactly … He said, “We need a wall,” when they were saying, “No, no. We need drones, we need drones.” I said, “Why? So you could watch the people pour into our country illegally?” And I want to thank you very much, Tom. What a professional job you’ve done. All of you people, incredible.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","08:52"
"Donald Trump","Everyone here today is part of an incredible success story. This is a real success story. When I took office, we inherited a broken, dysfunctional, and open border. Everybody was pouring in at will. Working alongside the heroes in this great outdoor space, looking at our wall. We reformed our immigration system and achieved the most secure southern border in US history. It is at a level that it’s never been before. We took on the cartels, the coyotes and the special interests and we restored the rule of law.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","09:18"
"Donald Trump","For years, politicians ran for office promising to secure the border, only to get elected and to do the absolute exact opposite. They even promised a wall, if you remember. About 10 years ago, they promised a wall, but they couldn’t get it built. It wasn’t easy getting it built. Getting it financed was tough. Getting it built was even tougher. All the different chains of title and all the different things we had to go through, very, very complex and very difficult, but we got it done, but they had it …","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","09:55"
"Donald Trump","Years ago, you remember that better than anybody, right? And they never got it done. They never, ever completed the task. And then, ultimately, the money was sent back to the federal government, spent, but no wall was built. But unlike those who came before me, I kept my promises. And today, we celebrate an extraordinary milestone, the completion of the promised 450 miles of border wall, 450 miles. Nobody realizes how big that is.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","10:26"
"Donald Trump","I remember when I first came down about a year and a half ago, we’re under construction and I started walking. And I’m looking at the wall and I’m walking and walking. And I’m used to a development project where you could walk a wall; 10 acres, five acres, two acres, one acre. And I realized that’s a long time. That’s a big walk. A lot of the wall you have is incredibly natural. You have the mountains, you have the rives, you have some very powerful water areas, you have some areas that are virtually impossible to get by. So we didn’t need walls everywhere, but where we needed them … because it’s been so successful that we’ve added nearly 300 miles. And that’s currently under construction. This was our original wish, to get these areas done where there was such trouble. And now, we have it. It’s either in construction or in pre-construction, an additional 300 miles.","https://www.rev.com/blog/transcripts/donald-trump-alamo-texas-speech-transcript-january-12-25th-amendment-zero-risk-to-me","Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment “Zero Risk to Me”","10:59"
