"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much, everybody. Thank you. Thank you. Great honor. Please, thank you. Sit down, please. It’s great to be with you. Great company and wonderful location. Quick flight. It’s in and out, but we have some big things to say. Carol, I want to thank you also for doing such an incredible job at this company. I look at your numbers and I’m very jealous. A lot of people are very jealous. But I’m delighted to be back in Atlanta, Georgia, special place. The hometown of one of the most amazing companies on earth, UPS. They never fail. The dedicated men and women of UPS are an inspiration to us all. In the face of every challenge, you always come through for your fellow citizens. Would you say that’s correct? I say it’s correct.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","00:23"
"Donald Trump","Let me start by expressing my gratitude to every driver, worker, and employee who has contributed to this great success and continue to deliver for America throughout our battle against the China virus, it goes by many different names, about 21 that I can figure. We maybe we’ll use a different one every time we hit it, but whatever it is, it was a terrible thing and it could have been stopped and it should have been stopped right where it started in China. Together, we will defeat this virus and emerge stronger than ever before. We’re here today to celebrate a historic breakthrough that will transform the lives of workers and families all across our nation.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","01:22"
"Donald Trump","For decades, the single biggest obstacle to building a modern transportation system has been the mountains and mountains of bureaucratic red tape in Washington, DC. Before I took off, it’s reviews for highways ballooned to an average of nearly 750 pages in length, and they were the good ones, they were the short ones. And I know because I was in business for a long time and I had to go through a process that was so ridiculous. It was so ridiculous. We went through a process for building buildings usually, it would take forever. By the time you start building, the market changed. You said, “The market was good when we started, now the market’s lousy.” So you’d say, “To hell with it. We won’t build.”","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","02:10"
"Donald Trump","Sometimes you’d start building and you’d say, “That was a mistake.” But we went through years and years of litigation and tumult, and it was just not good, but you’d go through it. To an even greater extent, the maze like approval process represented lobbyists that were very rich. They were making a lot of money. I remember I’d go up to Albany, New York and I’d see my lobbyists up there. I’d say, “What are you doing here?” I knew what they were doing. They were trying to make it more difficult so you had to hire them for more and more work, spend millions and millions of dollars for nothing. But too often, they caused massive delays on top of everything else. And that way they got their fees over a longer period of time.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","02:54"
"Donald Trump","It’s one of the reasons why, for example, the average Atlanta driver spends an incredible 77 hours in traffic during a short period of time. But all of that ends today. We’re doing something very dramatic. We just completed an unprecedented, I don’t want to say it’s absolutely unprecedented, top to bottom overhaul should have been done years ago of the infrastructure approval process. This approval process that has cost trillions of dollars over the years for our country and delays like you wouldn’t believe. This is a truly historic breakthrough, which means better roads, bridges, tunnels, and highways for every UPS driver and every citizen all across our land.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","03:37"
"Donald Trump","Together we’re reclaiming America’s proud heritage as a nation of builders and a nation that can get things done. Because with these horrible roadblocks that were put in front of us, you couldn’t get it done. No matter how good you were, you couldn’t get it done. You’d wait and wait. You’d go to the next step. You say you can’t start the next step until you finish the first. Joining us for this special occasion are Council of Environmental Quality chairman, Mary Neumayr. Where’s Mary? Mary. Thank you, Mary. Thank you. Thank you. Thank you, Mary. Good. Secretary of transportation, a very special woman, a great woman, somebody that has done an incredible job, Elaine Chao. Elaine.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","04:29"
"Donald Trump","And she was very much instrumental in getting this done. And when Elaine speaks, we all listen, but she was very much instrumental. Secretary of agriculture, a man who has done a fantastic job for our farmers and ranchers, Sonny Perdue. Sonny. I learned more about farming from Sonny Purdue than all of these consultants that came in. I learned more in a half an hour from that man right there. We had a great call today with the farmers too. Great call. They’re doing very well. A lot of good things have happened, right Sonny? A lot of things have happened. They were targeted by China. They were targeted by others. We just signed the USMCA, which is phenomenal for our country and our farmers. Got rid of one of the worst trade deals in history, NAFTA.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","05:18"
"Donald Trump","One of the worst trade deals ever, how anybody could have signed it, but worse, how anybody could have let it run for 25 years or whatever it was. They just took advantage of us. We had 60,000 empty plants and factories in our country by the time that mess got finished. So we just signed a great deal, USMCA. It’s the largest trade deal ever made, Mexico, Canada, the largest ever made. I know Sonny would like me to thank the UPS, all of the drivers and workers for all of the help in delivering nearly 30 million meals to rural children throughout the country for our Meals-to-You program. Meals-to-You, you know what that is? Meals-to-You. You do, right?","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","06:07"
"Donald Trump","We’re also pleased to be joined by a great senator, somebody that’s done a phenomenal job. And I can tell you, look, he’s a friend of mine, so I’m a little prejudiced, but he’s a man that’s respected by everybody on both sides of the US Senate. He works hard. He loves your state. And I always say, does David get the kind of recognition that he deserves? Because he is a very, very special man. David Perdue, where is David? David, thank you. And a woman who’s come in and done a great job. And she’s been so supportive of me and the agenda, and a good person, a good woman with her husband who’s a terrific man, Senator Kelly Loeffler. Thank you very much. Thank you, Kelly. Great job, Kelly.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","06:53"
"Donald Trump","And warriors, these are warriors. These people fought for us through thick and thin, through very, very unfair territory. We were treated terribly and they came in and they turned out to be tougher than the other side by a lot. And I just want to introduce representatives Rick Allen, Rick. Thanks, Rick. The great Buddy Carter. Buddy. An incredible spokesman, an incredible man and friend, Doug Collins. Doug. Thank you, Doug. Great job, Doug. Drew Ferguson. Drew. Thank you very much, Drew. Jody Hice. Jody. Thank you, Jody. Great job, Jody. And Barry Loudermilk. Barry, thank you very much. And also two people, friends of mine. They’ll be there soon in my opinion because they have to, because we need all the help we can get in Washington.","https://www.rev.com/blog/transcripts/donald-trump-atlanta-speech-transcript-on-rebuilding-infrastructure-july-15","Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15","07:46"
