"speaker","transcription","url","headlin","timing"
"President Trump","Thank you very much. Thank you. Great honor to be with you today. Being here is a really important moment as far as I’m concerned. My first duty as president is to protect the American people. Today, I’m taking action to fulfill that sacred obligation.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","00:06"
"President Trump","In recent weeks, there has been a radical movement to defund, dismantle and dissolve our police departments. Extreme politicians have joined this anti-police crusade and relentlessly vilified our law enforcement heroes. To look at it from any standpoint, the effort to shut down policing in their own communities has led to a shocking explosion of shootings, killings, murders, and heinous crimes of violence. This bloodshed must end. This bloodshed will end. Today, I’m announcing a surge of federal law enforcement into American communities plagued by violent crime. We’ll work every single day to restore public safety, protect our nation’s children and bring violent perpetrators to justice. We’ve been doing it and you’ve been seeing what’s happening all around the country. We’ve just started this process. Frankly, we have no choice but to get involved.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","00:32"
"President Trump","With us today is Attorney General Bill Barr; thank you, Bill, very much; acting DHS secretary, Chad Wolf; Chad, thank you; and FBI Director Christopher Wray; thank you, Chris, very much. We’re also pleased to be joined by Americans who have tragically lost their loved ones to recent violence. To each of you, please know that America grieves with you, that we pledged to honor the memory of your cherished loved ones by fighting to bring safety. Every single community, we will bring that safety, you will see. For decades, politicians running many of our nation’s major cities have put the interest of criminals above the rights of law abiding citizens. These same politicians have now embraced the far-left movement to break up our police departments causing violent crime in their cities to spiral, and I mean spiral seriously out of control.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","01:37"
"President Trump","In New York City, over 300 people were shot in the last month alone, a 277 at least percent increase over the same period of a year ago. Murders this year have spiked 27% in Philadelphia and 94% in Minneapolis compared to the same period in 2019. Perhaps no citizens have suffered more from the menace of violent crime than the wonderful people of Chicago, a city I know very well. At least 414 people have been murdered in the city this year, a roughly 50% increase over last year. More than 1,900 people have been shot. These are numbers that aren’t even to be believed. Yesterday alone, 23 people were shot in Chicago, including at least 15 who were shot in a merciless onslaught of gunfire outside of a funeral home. 63 people were shot in the city this past weekend and at least 12 people were killed. Over the 4th of July weekend, nearly 80 people were shot and 17 were killed. Over Father’s Day weekend, 104 people were shot and 15 were killed, including five young children. The last weekend in May saw the city’s deadliest day on record, 18 murders in 24 hours.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","02:40"
"President Trump","Behind each of these horrifying statistics is a victim, a family, a loved one and a life of cruelly shattered. It’s just so sad to see and so sad to look and so sad to see how these lives have been just torn apart. An African-American father of three was killed while walking into a store to pay his cellphone bill. A 13-year-old girl was killed when a stray bullet came through the window of her home and hit her in the neck in the presence of her family. On Independence Day, 14-year-old Vernado Jones, Jr. was playing basketball with friends in a Chicago park when he was senselessly killed in a massacre that left eight people dead or wounded. Vernado’s mother, Cheryl, is here with us today. Cheryl, please know that all Americans mourn by your side. We will carry your son’s memory. He will not be forgotten. Cheryl? Cheryl?","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","04:13"
"Cheryl Jones","I’m here.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","05:15"
"President Trump","Thank you very much. Thank you for being here, Cheryl. Thank you very much. It’s a great honor to meet you before. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","05:16"
"President Trump","This rampage of violence shocks the conscience of our nation. We will not stand by and watch it happen, can’t do that. The citizens of Chicago are citizens of America and they have the same rights as every other American to live in safety, dignity and peace. No mother should ever have to cradle her dead child in her arms, simply because politicians refuse to do what is necessary to secure their neighborhood and to secure their city. Every American, no matter their income, their race or their zip code, should be able to walk their city streets free from violence and free from fear.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","05:24"
"President Trump","For this reason, today, I am announcing that the Department of Justice will immediately surge federal law enforcement to the city of Chicago. The FBI, ATF, DEA, U.S. Marshals Service and Homeland Security will together be sending hundreds of skilled law enforcement officers to Chicago to help drive down violent crime. Murderers and violent criminals are breaking a wide range of federal laws. We have that. It’s as wide as it can be. We will find them, arrest them and prosecute them. They will be in jail for many years to come. We will work with local police to identify violations of state and local laws to help ensure that offenders are caught and jailed for their crimes.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","06:02"
"President Trump","But, we must remember that the job of policing a neighborhood falls on the shoulders of local elected leadership. We can never forget that. When they abdicate their duty, the results are catastrophic. Americans must hold their city leaders accountable. They must insist that community officials fully support, fully back and fully fund their local police departments. There is simply no substitute for a police department that has the strong backing of city leaders. In the meantime, we will use federal law enforcement to vigorously charge federal crimes and support these besieged communities to the greatest extent possible. This will be hard, painstaking work. It will take time. The tide will not recede overnight, but we will marshal all of the strength and focus and determination that we can possibly do. This is a critical effort. We will continue to call on state and local leaders to do their job and protect their citizens.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","06:52"
"President Trump","The operation in Chicago will be done as part of Operation Legend, which was recently launched in Kansas City, Missouri. Very successfully, I might add, it is named after LeGend Taliaferro, a four-year-old boy who’s shot, think of this, who was shot and killed last month while he lay asleep in his home. LeGend’s mother grieves, our hearts and pains and souls, and we thank you very much for being here. Thank you very much. Thank you very much. Appreciate it. We are profoundly grateful to be joined by Charron. Would you please stand, Charron? Charron, please? Also, LeGend’s father, Raphael, and his grandparents, Alfred and Pauline. Yes? You look so great, so great. Thank you very much. I appreciate your nice statements before, too. Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","07:58"
"Charron Powell","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-news-briefing-transcript-on-operation-legend","Donald Trump Briefing Transcript on Sending Federal Troops to Chicago (Operation Legend)","08:56"
