"speaker","transcription","url","headlin","timing"
"President Donald Trump","Just to see what’s going at our meetings. So I figured let you come in, you’ll look and you’ll see, we have a lot of good things happening. We have tremendous progress on vaccines and therapeutics. We’re getting reports, we’re studying the reports very closely. I think people are going to be very pleasantly surprised with what’s going on the vaccine front and the therapeutic front. This is always the first topic.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","00:00"
"President Donald Trump","Secondarily, but very importantly, we’re working and negotiating with the Democrats on trying to get a plan that helps small businesses, helps people, helps this country, and I think we’ve made a lot of progress on that. And the discussions are going on. Steve, do you want to say a few words as to where we are.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","00:27"
"Steve Mnuchin","Yes, Mr. President. Mark and I have been working very hard over the last two weeks with Mitch and Kevin on really what we see as the focus is kids and jobs. The Recovery Act, Cares 4.0, we’ve spent an unprecedented amount money. The good news is a lot of the $3 trillion, we still have left to put in the economy and put back to work. We’re focused on starting with another trillion dollars. We think that will make a big impact. And the focus is, as I said, is really about kids, and jobs, and vaccines. We’re going to make sure that we have a vaccine by the end of the year for emergency use. And the plan is, we just updated the president and the vice president, they signed off on this. Mark and I will be meeting tomorrow with the Republicans at the lunch to give them a full briefing. And then we will also be reaching out to the Democrats to begin our discussions.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","00:45"
"Steve Mnuchin","But, we are committed that by the end of this month, make sure that before the enhanced unemployment insurance expires, that we pass legislation so that we can protect Americans that are unemployed. Now, we’ve said the number one issue is we have to fix the technical fix on enhanced unemployment. We’re going to make sure that we don’t pay people more money to stay home than go to work. We want to make sure that people who can go to work safely can do so. We’ll have tax credits that incentivize businesses to bring people back to work. We’ll have tax credits for PPE, for safe work environment, and we’re going to have big incentives, money to the States for education, for schools that can open safely and do education. So, these are the priorities as well as liability protection. We want to make sure that frivolous lawsuits don’t prevent schools, universities, and businesses from reopening.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","01:37"
"President Donald Trump","Okay. Mike?","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","02:35"
"Mike Pence","Well, Mr. President, I want to say how much we appreciate the leadership in The House and Senate. Today’s conversation is a continuation of your commitment to do whatever it takes to get the American people, American businesses and communities through this very challenging time. The outbreaks across the Sunbelt are serious, but because of the support that we’ve had from, frankly leaders in both political parties in the Congress of the United States. We’re meeting this moment with expanded testing, personal protective equipment, and as you said, Mr. President, with the development and distribution of therapeutics, and a rapid development of vaccines. That will all continue. But, it’s important that the Congress come together and provide additional resources for families that have been impacted, businesses that have been impacted. We’ll make sure our healthcare workers and our States have the resources that they need, but also, Mr. President, we’re going to continue to advance policies that will make it possible for us to open up America again and open up America’s schools.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","02:38"
"Mike Pence","I look forward, I know as you do, and working with the leaders that are gathered here and members of Congress in both political parties to deliver another important element of a recovery package that will keep on working until we bring our country all the way back, and reach that day that we someday put this Coronavirus in the past.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","03:48"
"President Donald Trump","Okay. Mitch.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","04:09"
"Mitch McConnell","Yeah. Tomorrow begins the process of socializing what we’ve been discussing with the administration over the last two weeks with our members. And if you’re looking for a theme here, think liability protection for those who’ve been trying to deal with the pandemic. We don’t need an epidemic of lawsuits on the heels of the pandemic we’re already short on. Kids in school, jobs and healthcare will be the theme of the proposal that we hope to come together and present to our Republicans. And then as the Secretary of The Treasury indicated, obviously you can’t the bill in the Senate without the Democrats. And we’re going to talk to them as well.","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","04:13"
"President Donald Trump","Kevin?","https://www.rev.com/blog/transcripts/donald-trump-briefing-on-covid-19-transcript-july-20","Donald Trump Briefing on COVID-19 Transcript July 20","04:57"
