"speaker","transcription","url","headlin","timing"
"Donald Trump","Okay. Thank you very much. We have a cabinet meeting? We’ll have a few questions after grace and if you would Ben, please do the honors.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","00:00"
"Ben","Our kind Father in Heaven, we’re so thankful for the many blessings that you have bestowed upon us in this country and we’re thankful for the people of courage who had been here before us, who have fought hard for the rights of our country. We thank you for President Donald Trump, who also exhibits great courage in face of constant criticism. We ask that you would give him strength to endure and the wisdom to lead and to recognize you as the sovereign of the universe with the solution to everything. And the people around the President, the Vice President, the cabinet, the advisors, give us all a understanding heart and a compassionate heart. Those are the things that will keep America great.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","00:09"
"Ben","Help us all to recognize as a nation that separation of church and state means that the church does not dominate the state and it means the state does not dominate the church. It doesn’t mean that they cannot work together to promote godly principles of loving your fellow man, of caring about your neighbor, of developing your God given talents to the utmost so that you become valuable to the people around you, of having values and principles that govern your life. If we do those things, then we will always be successful. We thank you for hearing our prayer, in your Holy name. Amen.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","01:12"
"Donald Trump","Thank you Ben, that was a great job, appreciate it. The economy is doing fantastically well. It’s getting very close to another record. We’ve had many records since we won office. We’re getting very close to another record. I don’t know if anybody saw the household median income for eight years of President Bush, it rose $400. For eight years of President Obama, it rose $ 975 and or two and a half years of President Trump, they have it down as two and a half years, it rose $5,000 not including $2,000 for taxes. So it rose, let’s say 7,000. So in two and a half years, we’re up 7,000 compared to 1,000, compared to 400 and that’s for eight years and eight years. That’s a number that just came out. But that’s a number that I don’t know how there could any dispute or any… I’ve never heard of a number like that. Meaning the economy is doing fantastically well.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","02:00"
"Donald Trump","We need for our farmers, our manufacturers, for frankly, unions and non-unions, we need USMCA to be voted on. If it’s voted on, it’ll pass. It’s up to Nancy Pelosi to put it up. If she puts it up, it’s going to pass. It’s going to to be very bipartisan. It’s something that’s very much needed and will be hundreds of thousands of jobs. Mexico and Canada have approved it. It’s done. They are waiting for our approval and we can’t seem to get the votes. I call them the do nothing, Democrats. I mean that, they’ve done nothing, but this is something they can do very easily. We’ll give them bipartisan approvals and credits, all the credits they want, but they have to be able to do it.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","03:06"
"Donald Trump","So the economy is doing fantastically well. We want to vote on USMCA. We have other trade deals that we’ve done. We’ve done South Korea, which is a fantastic deal for us. It turned out even better than we thought. South Korea was a terrible deal. The person in charge of that particular deal, Hillary Clinton if you’ve heard of her? She’s the one that’s accusing everybody of being a Russian agent. Anybody that is opposed to her is a Russian agent. So that’s a scam that was pretty much put down.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","03:50"
"Donald Trump","Tulsi, I don’t know Tulsi, but she’s not a Russian agent. I don’t know Jill Stein, I know she likes environment. I don’t think she likes Russians. If she does like them, I know she’s not a asset. She called her an asset of Russia. These people are sick, there’s something wrong with them. I think that Tulsi Gabbard probably got helped quite a bit by [inaudible 00:04:46]. I think we were helped, because it shows for two and a half years we end up winning. I had to go through two and a half years, if she would have done this earlier, people would’ve realized what a scam it is. Everybody’s a Russian or an Russian agent or an Russian asset.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","04:21"
"Donald Trump","The economy again is at a level that it’s never been. We are doing, whether it’s household income, whether it’s almost any chart, and I think maybe the best of all is unemployment. Unemployment has reached historic lows, African American, Asian American, Hispanic American reached numbers that nobody ever thought would be possible. Have the lowest ever in history.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","04:59"
"Donald Trump","So if you’re black, if you’re Hispanic, if you’re Asian, anybody, African American, Hispanic American, Asian, the lowest in history. For women, the lowest in 71 years, the best. When I say lowest, I’m talking about the best, both the best unemployment numbers and the best employment numbers. Either way you want to cut it, you can say them both, because it’s best in both. As far as employment is concerned, we have the most people working today than ever before in the history of our country. We’ve never had this close to 160 million people. So it’s some incredible things are happening.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","05:26"
"Donald Trump","Syria, we will be giving a much fuller report, Mike Pompeo, Secretary of Defense, Esper and the different people that are very much involved, Mike Pence, Vice President. We’re having very good news coming out. The ceasefire’s holding, the Kurds are moving out to safer areas beyond the safe zone as we call it. Having the safe zone is not a bad thing. It’s a good thing and plenty of Turks have been killed because of conflict on their border. So you have to look at it both ways. But the ceasefire’s absolutely holding. There’s some skirmishes, but very little, relatively speaking. Of course, if you watched the fake news, it’s pretty wild. It’s really holding.","https://www.rev.com/blog/transcripts/donald-trump-cabinet-meeting-transcript-trump-calls-emoluments-clause-of-the-constitution-phony","Donald Trump Cabinet Meeting Transcript: Trump Calls Emoluments Clause of the Constitution ""Phony""","06:06"
