"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much. Thank you. Let’s see, it’s 1:30. This is a hell of a crowd for 1:30 in the afternoon. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","01:25"
"Donald Trump","Great state. It’s fantastic to be back in North Carolina with thousands of loyal, hard working Americans patriots. 19 days from now, think of that, 19 days, do you believe this? We’re going to win the State of North Carolina, and we’re going to win four more years in the White House. This election is a simple choice. If Biden wins, China wins. Do you see what’s going on? When we win, North Carolina wins and America wins. It’s very simple.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","01:41"
"Donald Trump","For the last 47 years. Joe Biden’s betrayed the workers of North Carolina through one act of economic treachery after another and now you see what’s happening. They got caught stealing folks. Biden’s a servant of the wealthy donors and globalist and special interests who got rich bleeding America dry, taking your jobs from North Carolina and every other place and moving them out of the country. We turned it around. You got to remember that.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","02:22"
"Donald Trump","These corrupt forces, they don’t see our nation as a protector of its citizens, but as a vehicle for personal profit and power at your expense, and you see it happening right now. They hold everyone in contempt and they always put the American worker last and that’s what’s happened until I came along. In fact, it’s the primary reason I came along if you think about it.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","02:56"
"Donald Trump","They keep their jobs while outsourcing your jobs to other countries, countries that you’ve never even heard about. They build walls for themselves while forcing your family to suffer the consequences of illegal immigration, drugs, and crime. You know it very well over here.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","03:24"
"Donald Trump","For five decades, Joe Biden shipped away your jobs, shut down your factories, threw open your borders and ravaged our cities while sacrificing American blood and treasure in endless foreign wars, and you know, they’re all coming back, they’re almost back, our great soldiers. Our great soldiers. Countries you’d never even heard about. He’s the embodiment of the political class that enriched itself while draining economic life and soul out of our country.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","03:42"
"Donald Trump","Yesterday, we learned from newly released emails, and I want to thank the New York Post for showing real bravery, that Joe Biden has been blatantly lying about his involvement in his son’s corrupt business dealings. Joe Biden is a corrupt politician and he has been corrupt for many years and everybody in Washington knew it.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","04:15"
"Donald Trump","And just now, a little while ago, a new story shows up that Hunter made a deal with a wealthy Chinese business magnet for $10 million a year for introductions only. Introductions. I don’t know, “Will you take 10 million a year to introduce people?” “Yeah to introduce dad. Dad say hello, and by the way, dad give them everything they want. Okay? Give them everything they want dad.”","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","04:46"
"Donald Trump","Hunter also referred to another more lasting and lucrative arrangement with the same Chinese businessman that, “Would be so much more interesting to me and my family,” that’s what he said. That’s a quote. These deals were made at the same time Joe Biden was letting China steal your jobs and take away your factories.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","05:14"
"Donald Trump","If Biden is elected, the United States will be owned by China, but we don’t have to worry about it because I can’t believe it’s going to happen. He’s shot, just so we understand. We cannot have a leader that’s just about half-shot. Can we believe we’re even fighting against this guy? But you know what? They’re a powerful party. They’re very corrupt party. They’re in bed with the media, the fake news, right back there.","https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-greenville-nc-transcript-october-15","Donald Trump Campaign Rally Greenville, NC Transcript October 15","05:34"
