"speaker","transcription","url","headlin","timing"
"Chris Wallace","And hello again from Fox News in Washington today from the White House. We’re on the president’s patio, just outside the oval office. President Trump, you’ve agreed to answer all manner of questions, no subject off limits. Thank you, and welcome back to Fox News Sunday.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:00"
"Donald Trump","Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:15"
"Chris Wallace","Let’s start with the surge of the coronavirus across the country in recent months. You still talk about it as, “Burning embers,” but I want to put up a chart that shows where we are with the illness over the last four months. As you can see, we hit a peak here in April, 36,000 cases-","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:17"
"Donald Trump","Cases.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:37"
"Chris Wallace","… a day.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:37"
"Donald Trump","Yeah, cases.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:38"
"Chris Wallace","Then it went down and now since June, it has gone up, more than doubled. One day this week, 75,000 new cases.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:39"
"Donald Trump","That’s right.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:48"
"Chris Wallace","More than double the old-","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:48"
"Donald Trump","Chris, that’s because we have great testing, because we have the best testing in the world. If we didn’t test, you wouldn’t be able to show that chart. If we tested half as much, those numbers would be down. We tested-","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:49"
"Chris Wallace","But this isn’t burning embers, sir. This is a forest fire.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","00:59"
"Donald Trump","No, no. But I don’t say… I say flames. We’ll put out the flames and we’ll put out, in some cases, just burning embers. We also have burning embers. We have embers and we do have flames. Florida became more flame-like, but it’s going to be under control. And it’s not just this country. It’s many countries. We don’t talk about it in the news. They don’t talk about Mexico and Brazil and still parts of Europe, which actually got hit sooner than us, so it’s a little ahead of us in that sense. But you take a look, why don’t they talk about Mexico, which is not helping us? And all I can say is thank God I built most of the wall because if I didn’t have the wall up we would have a much bigger problem with Mexico.","https://www.rev.com/blog/transcripts/donald-trump-chris-wallace-interview-transcript-july-19","Donald Trump Chris Wallace Interview Transcript July 19","01:01"
