"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much. Thank you. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","00:16"
"Audience","USA, USA, USA, USA, USA, USA, USA, USA, USA.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","00:20"
"Donald Trump","Thank you very much. And hello, Circleville Circleville. And it’s great to be back in Ohio to celebrate the return of Big Ten football with a big victory today for the Buckeyes, 52 to 17, not bad, not bad. Do you remember how this all happened? Sleepy Joe said, “President Trump didn’t want to have football.” I said, “What the hell is he talking about?” Sleepy Joe. So I said, “What’s the problem with football?” They said, “Big Ten football is shut down.” I said, “Well, he said I did it?” Yeah, he blamed me. I said, “I had nothing to do with it.” So then I said, “I got an idea. I’m going to get it open, if it’s shut down.” Right? That’s what happened. I think he even took an ad, “President Trump shut down football.”","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","00:34"
"Donald Trump","I didn’t think about it, I must tell you. I’m thinking about China, and I’m thinking about a lot of other things. So I said, “You know what we’ll do? We’ll teach Sleepy Joe and that group that don’t have what it takes, we’ll teach them how to do it.” And I worked hard to bring back Big Ten. And I got together with your commissioner. He did a good job. And we got it back. And today, you won your football game, and we’re very happy about it, because I know that life in Ohio is not complete without the glory of Ohio State football and other football. I’m glad you won the game. I wouldn’t have wanted to come… Can you imagine if you lost the game? And there’s a lot of people in here, but did you see outside? You’re very lucky to be here. Say, “Thank you very much for this wonderful journey, President.” No, you have to see, you have to see, there are tens of thousands of people in the streets out here trying to get in. I think the next time we’ll get a larger field.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","01:27"
"Audience","We love you. We love you. We love you. We love you. We love you. We love you. We love you. We love you. We love you.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","02:43"
"Donald Trump","Thank you very much. Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","02:44"
"Audience","We really do.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","02:44"
"Donald Trump","Yeah, that’s nice. That’s really nice. Thank you. Thank you very much. I appreciate it. And by the way, we got Pac-12 back. You don’t care about Pac-12, but we got Pac-12. We said, “We might as well do out there too.” Right? And we did a double header. 10 days from now, we’re going to win this great state. And we are going to win four more years in the White House. You remember last time about this state, remember they said… For a year, I had to hear it. You cannot win unless you win the great state of Ohio. I heard it so many times. That was these fake people. Look at all of them over there, all those cameras. Look at all those lights that are on, all those lights that are on. But do you remember that? They would drum it. For a year, I heard, “You cannot win unless you win Ohio.” And then I got a poll and it said we’re doing pretty well in Ohio, by the way. Right?","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","02:51"
"Donald Trump","And then we won. Remember they said, “It’s going to be close. It’s going to be hard to win, going to be very, very hard. And Trump, if he doesn’t win Ohio, he’s out.” And then we not only won Ohio, we won Ohio by more than eight points, eight points. And they said, you know the story when it closes, I mean, they do a fast little count if you’re winning big. They said, “The polls in Ohio have closed. Donald Trump has won the state of Ohio.” It was like immediate. It was like in the same sentence. “The polls have closed. Trump has won.” Normally, it would take like hours and whatever if it’s close. No, we won big. And I hear we’re winning big now. And I’m hearing they gave up on the state already. And they’re going to give up on Florida very soon because we’re winning big in Florida, we’re winning big in North Carolina.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","03:45"
"Donald Trump","You don’t want Sleepy Joe to be your president. He draws flies. He’s not drawing anybody. And Obama was there. They called in Obama. They said, “Sir, sir,” this was a few days ago, “Sir, I have bad news.” “What?” “President Obama is going to campaign for Sleepy Joe.” And I said, “Is that good news or bad news?” It’s true. And he said, “Well, he’s going to campaign.” So I guess it started yesterday, the day before, right? They had 42 people show up, 42. We have thousands, tens of thousands, and outside is five times what this is. No, there’s something going on. It happened last time four years ago, this time more. This time more. It happened last time.","https://www.rev.com/blog/transcripts/donald-trump-circleville-ohio-rally-speech-transcript-october-24","Donald Trump Circleville, Ohio Rally Speech Transcript October 24","04:37"
