"speaker","transcription","url","headlin","timing"
"President Donald Trump","… escape China. My administration has enacted $3 trillion in economic relief. It’s been very, very successful and you saw that by the numbers that were issued yesterday and the day before as to used car sales and auto production. They’ve been incredible numbers, actually. Shockingly incredible. We’ve been negotiating in good faith with Democrat leaders in the house to extend relief payments. We’re negotiating right now as we speak and we’ll see how that works out. But if Democrat leaders put partisan demands aside, we would reach an agreement very quickly. It would happen very quickly. In the meantime, my administration’s exploring executive actions to provide protections against eviction. Eviction is a big problem, very unfair to a lot of people. It wasn’t their fault that this virus came from a far away land. As well as additional relief to those who are unemployed as a result of the virus.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","00:00"
"President Donald Trump","Very importantly, I’m also looking at a term limited suspension of the payroll tax. Something that has great support from many, many sides, especially some of our top economists and some people that we have great respect for. So we’re looking at a suspension of the payroll tax. The Democrats are primarily interested in a $1 trillion bailout of the poorly run states. We have some states in cities, you know them all. We don’t have to go through names. But they’ve been very poorly run over the years and we can’t go along with the bailout money. We’re not going to go along with that, especially since it’s not COVID related. Earlier today, I met with a great governor. Arizona governor, Doug Ducey, has really done a fantastic job beyond even the COVID situation, which you’ve been reading about as it pertains to Arizona. A state that is a model for applying a science-based approach to the decreasing cases and hospitalizations without implementing a punishing lockdown.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","01:02"
"President Donald Trump","Arizona’s record in reducing the spread of the virus while maintaining hospital capacity and allowing society to continue functioning and functioning very nicely, very successfully is an example that shows how our path forward can work in other states. Arizona has a record and a record really to be proud of. It’s reduced the number of daily new cases by over 75%, cut the positivity rate in half and reduced ER visits by two thirds, all the while keeping the economy functioning and functioning really well. When cases surged in June, the vice president and Dr. Burke visited Arizona to consult with Governor Ducey. They had long consultations with Governor Ducey and his staff, and the vice president has been in constant contact ever since. My administration is also collaborating with the state and local officials across the South and Midwest to provide similar guidance.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","02:14"
"President Donald Trump","We had a great relationship with the representatives in Arizona, and it’s been such a successful endeavor. The federal government has supplied or delivered more than 400 million pieces of personal protective equipment to Arizona, along with nearly 70,000 vials of remdesivir. We’ve provided over $18 billion in economic support to Arizona, including more than $8.6 million to support over 80,000 small businesses. So we really have been helping Arizona and it’s gotten tremendous results. Our goal is to protect the most vulnerable, increase recovery rates, you know that. It’s something so important, and prevent hospital overcrowding all the while avoiding the kind of stringent lockdowns that would inflict substantial suffering. In the phase and this phase of the battle, we have the tools, resources and knowledge to implement a targeted approach, as we race to deliver a vaccine. And we are really working very hard on the vaccine and I think they’re doing a fantastic job.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","03:22"
"President Donald Trump","I’ve been meeting with officials of some of the greatest companies in the world and meeting with scientists. And they’re getting very close. If not there, they’re getting very close. They’re testing. Any proper analysis of infection control measures must take into account the short term and long term public health harms, including deaths caused by a far reaching shutdown. When you shut down, you have many, many things that happen. From suicides, to depression, to drinking, alcohol problems, to drug problems, to problems with marriages. Problems with marriages. You have people confined to their house, their apartment for long periods of time, you cause a lot of problems with that also. Instead, Arizona’s adopted the following measures. The governor advised residents to aggressively social distance when possible and maintain strict hygiene.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","04:38"
"President Donald Trump","The state encourage mask use in crowded public places, especially when social distancing is not possible. The governor also exercised his discretion to restrict capacity at indoor locations to limit the possibility of super spreading. It’s a big thing. My administration has urged treatments. We got them a lot of treatments and therapies to the state, including nearly 70,000 vials of remdesivir, enough to treat over 11,000 patients. And it’s been very successful, I might add. My administration also delivered PPE and point-of-care testing to over 100 Arizona nursing homes. In total, the federal government has provided massive amounts of masks and equipments and gowns, and you know some of those numbers. But Arizona was a very big beneficiary and they very much really appreciated. More than 1000 national guard and medical personnel have also been deployed in Arizona and they’ve really helped.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","05:34"
"President Donald Trump","They’ve been terrific and I want to thank them. They have been brave and brilliant, combination of both. We also supported our tribal communities. The tribal communities were hit very, very hard. Governor Ducey and I personally delivered rapid testing systems to the Navajo Nation, which has been really, really in originally bad shape and now getting better and very, very quickly. The Navajo Nation now has one of the highest levels of testing per capita, anywhere in the world. We really worked very hard on the tribal areas and in particular, in this case, the Navajo Nation. They’ve done incredibly well. Overall, Arizona has conducted over 1.1 million tests, more than the entire nations of Japan, Mexico, and Switzerland. Arizona’s per capita testing is higher than Germany, South Korea, France, and Canada, and tribal governments in Arizona have received nearly $1.3 billion for the coronavirus relief fund.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","06:41"
"President Donald Trump","Meanwhile, outdoor dining, limited indoor dining and most of the other businesses in Arizona have remained open and very vibrant. They’re doing incredibly well. This is an approach and it’s an approach that’s been incredibly successful. Arizona’s been able to protect high risk population-","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","07:46"
"President Donald Trump","Really successful. Arizona’s been able to protect high risk populations and quickly bring its outbreak under control without the need to impose overly punitive measures.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","08:03"
"President Donald Trump","Thanks to advances in treating the virus, the fatality rate across all age groups in Arizona is very low. Arizona’s scientific and data-driven strategy also preserved hospital capacity, ensuring that those who need care were able to receive it and receive it immediately, very quickly. At the peak, approximately 15% of beds remained available statewide. That was at that peak, with roughly 20% of all occupied beds going to patients hospitalized for the virus.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","08:12"
"President Donald Trump","They kept other things going. They kept other forms of operations going. They kept elective surgery going, did a really amazing job. Today, only 6% of the current hospitalizations in the state are related to the China virus.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","08:46"
"President Donald Trump","Arizona’s also demonstrated success in protecting the state’s African American population. Only 5% of patients hospitalized were African American, and African Americans represent just 2% of all deaths from the virus.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","09:02"
"President Donald Trump","As it has worked to contain its outbreak, Arizona has also been formulating a plan to get children safely back to school as soon as possible. We want our schools open all over the country. We want our schools open. Arizona has worked very hard on this and they’re doing very well. The Department of Education is providing Arizona schools with $625 million. They’re working very hard, and that’s in conjunction with CARES funding.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","09:17"
"President Donald Trump","My administration is actively working with other States in the same way we worked with Arizona. In recent weeks, members of the coronavirus taskforce have visited over 15 states to encourage them to follow our path forward, including Tennessee, Kentucky, Virginia, Indiana, and Ohio. And I’ll be going to Ohio tomorrow. I look forward to it very much. It’s a great place and a great state with an excellent governor. And we look forward to being there tomorrow. Next week, Dr. Birx will be visiting Iowa, Nebraska, Kansas, Missouri, Oklahoma, and Arkansas.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","09:46"
"President Donald Trump","And also, I believe they’re trying to get in West Virginia. A great place, a great state. And I’m sure that will happen because we’d like it to happen. They’d like to see her. So we’re going to try very hard to get the doctor to West Virginia in addition to those states to deliver aggressive, tailored and targeted guidance.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","10:21"
"President Donald Trump","The strategy we’re taking to these states will protect those at highest risk, while allowing others at a lower risk to safely resume work and school. If we do this successfully, it can be really something incredible because we’re talking about a lot of states. We’re talking about many, many states.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","10:39"
"President Donald Trump","It’s really great to see also that Florida, we’re coming down, it’s coming down, and pretty substantially in many locations. And even Miami is starting to come down. Miami was hit very hard. California, likewise, and Texas, likewise, coming down and really starting to be a substantial amount of reduction.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","10:59"
"President Donald Trump","It recognizes that prolonged lockdowns imposed a wide range of serious public health threats, including higher levels of suicide, drug overdoses, and other significant health harms resulting from the depression that we talked about. Social isolation, economic hardship, it’s been very tough for those people that are put in a lockdown position for too long. It really has been a very tough and harmful situation for many people. The fact is that these harms are not measured daily here or abroad. It makes them, really, a very serious threat because people don’t know exactly what they are and how bad they are. But I think they’re very bad.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","11:20"
"President Donald Trump","Going forward, we must continue to remain vigilant in shielding of the elderly and those with underlying conditions. Approximately half of all deaths have occurred in nursing homes and longterm care facilities, which is an incredible number and statistic if you think about it.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","12:04"
"President Donald Trump","I also urge Americans to help us stop the spread of the virus. Practice good hygiene, socially distance, avoid large crowds, and wear a mask where distancing is not possible. It’s a patriotic thing to do. If you are sick, isolate yourself, especially from high risk family members and friends. So important, isolate yourself from high risk family members and friends if you’re not feeling well.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","12:21"
"President Donald Trump","Together, we will defeat the virus and emerge from this safer and stronger than ever. Thanks to the robust federal action in partnership with state and local leaders, new cases of the virus are declining in 80% of the jurisdictions, which is an incredible number. And the overall test positivity rate has declined by 8% since last week. Zero states have seen outbreaks get worse since yesterday. So zero states.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","12:49"
"President Donald Trump","We’re also continuing to make progress in the development of a vaccine. This is something so important. Also, therapeutics are on the front burner. We’re having tremendous… I think. We’ll let you know very soon. I think long before the end of the year. We’re having tremendous success on therapeutics and tremendous success on vaccines, and we’re ready to deliver them literally as soon as they are okayed.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","13:19"
"President Donald Trump","This morning, my administration approved $1 billion for Johnson & Johnson, who’s been working very hard in the [inaudible 00:13:52] have something very special, to manufacture and distribute 100 million doses of a China virus vaccine as soon as one is available. And again, we think that’s going to be soon and we think we’re going to have the vaccines before the end of the year, maybe long before the end of the year.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","13:46"
"President Donald Trump","Finally, today, I’m pleased to announce that the Department of Justice has issued $35 million in grants to 73 organizations nationwide, providing assistance to human trafficking victims. A terrible thing. You think of human trafficking as being an ancient form of crime. It’s not because of the internet. It’s a very modern crime all over the world. Not just here, all over the world, human trafficking. It’s usually in women or women and children. But it’s, again, because of the internet. It’s a terrible situation. Never been like this.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","14:09"
"President Donald Trump","And also, survivors who have faced heightened dangers during the pandemic, it’s actually increased during the pandemic. I guess some reasons are obvious and some reasons are less obvious, but human trafficking, we’re working very, very strongly. The wall is up to 277 miles right now. And it’s going up. By the end of the year, it’ll be largely finished shortly after the end of the year. And it’s had a tremendous impact, a very positive impact on human trafficking. Unbelievable impact actually. My administration will never rest in our fight against the human trafficking [inaudible 00:07:23]. It’s one of the most horrific of crimes, and we worked very hard on that.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","14:46"
"President Donald Trump","With that, we’ll take some questions. Please?","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","15:29"
"Speaker 1","Two quick questions. Thank you, Mr. President. First of all, you said that voting by mail is an invitation to fraud. Could you lay out and tell us exactly where the evidence is right now that mail-in ballots in Nevada and other states will lead to widespread fraud?","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","15:31"
"President Donald Trump","Well, if you read, even The Washington Post had a terrible story on a mail-in, and The New York Times, and many newspapers have had terrible stories. You see them all over the internet. They’ve had some just horrible stories on mail- in ballots. You look at Arizona, you don’t even have-","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","15:45"
"President Donald Trump","… mail-in ballots. You look at Arizona, you don’t even have to have … as you know, they have a provision where they don’t have to check signatures. You sign it, and you could have a totally different signature. It’s okay. It won’t be approved. They have the right to go seven days after the election for approval, so you’re not even going to know who won the state of Nevada.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","16:03"
"Speaker 2","I just wanted to point out we did call Nevada’s Secretary of State’s Office Election Division, and the spokeswoman there said that that simply isn’t true, Mr. President. And that Nevada will continue to check ballot signatures against voter registration cards. It’s done at the county level.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","16:19"
"President Donald Trump","Okay, but that’s not what they said when they approved it. They said they’re not going to check signatures. They’re not going to be able to. And their machinery, which is old, doesn’t allow them to. It’s going to be physically impossible for them to do that, especially in a short period of time.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","16:33"
"President Donald Trump","In addition, you have the November 3rd election, and they’re allowed to count votes until seven days after the election. What does that mean? If Nevada, which is a big state and a great state … a state I like very much, and I think we’re going to do very well there. Are we going to wait a week after November 3rd if it comes down to Nevada, which it could very well? I don’t think so. I don’t think it’s appropriate.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","16:47"
"President Donald Trump","With all of the bundling that you’re going to have, with the harvesting you’re going to have, with people being sent ballots all over that have maybe nothing to do with the state anymore, it’s a terrible thing. In New York, they had the Carolyn Maloney situation, and I criticized it badly over the last two years and two days. I mean, I gave it some very, very strong criticism. And all of a sudden like a miracle, they just approved the winner. Well, what happened? Did the person that was second concede the race, even though it was very close and all mixed up?","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","17:11"
"President Donald Trump","They have a terrible situation in New York with the ballots. You know that. And as soon as I said, “Well, I think you should have a new election,” because the election … obviously, they’re not going to know what to do. “I think you should have a new election.” They all of a sudden announced a winner. I assume it was her, but they announced a winner. Well, I don’t agree with it. Did somebody speak to the person on the other side, the opponent? Did they do something for the opponent on the other side? Take a look at Patterson, New Jersey. Take a look at many things. It’s all over newspapers what’s going on with the mail-in ballots.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","17:47"
"President Donald Trump","They send out millions of ballots. Millions of ballots. They’re totally unprepared to do it, and then they come back in the millions. It’s going to be a disaster. I’m doing our country a big favor by bringing it up. And from a common stance or even common sense standpoint, if you look at it just out of common sense and pure, basic, beautiful intelligence, you know it can’t work. Now, Florida’s worked very hard for years and years in developing a system, and I’m sure they probably have problems also.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","18:21"
"President Donald Trump","But absentee ballots are different than mail-in ballots. What you call universal mail-in ballots. So much different. You have to apply for it. You have to do different things, and it’s a much better system, and it’s a system that can be reasonably accurate. But there’s no system like going to the poll and voting. I would like to find out why all of a sudden out of nowhere in the midst of all of this grief, why is it that they approve the New York race … Why you asked that question?","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","18:55"
"Speaker 2","There’s no evidence of widespread voter fraud. [crosstalk 00:19:25]","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:23"
"President Donald Trump","Oh, really? Well, then you’re reading a different newspaper than me. Go ahead, please. [crosstalk 00:19:32] Go ahead, please. [crosstalk 00:19:32]. Go.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:26"
"Speaker 3","Sir, you said in an interview this morning on the coronavirus, this thing’s going away. It will go away like things go away, despite ongoing cases and death. Isn’t that-","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:33"
"President Donald Trump","It’s going away.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:42"
"Speaker 3","Isn’t that [crosstalk 00:19:43] reality?","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:43"
"President Donald Trump","It’s going away now. It’ll go away. Things go away. Absolutely. No question in my mind. It will go away. Please. Go ahead. [crosstalk 00:19:53] Hopefully sooner rather than later.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:44"
"Speaker 4","Mr. President, do you praise Governor’s Ducey’s handling of the epidemic? In his state, one of the things that he did was delay the start of public schools opening. Is that a model that governors and states experiencing hotspots should do as the beginning of school does [inaudible 00:04:10].","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","19:54"
"President Donald Trump","Well, I’d like to see the schools open. I think many of the schools … most of the schools will be open. I can say that Republican areas want to see them open, and the Democrats probably want to keep them closed until after November 3rd, because they think it’s good for them politically. I actually don’t think it’s good for them politically. Parents want the schools open. We want them open. We want them open safely. We’re going to practice very strong hygiene, and all of the other things that I’ve enumerated many times. But we want to see the schools open.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","20:09"
"Speaker 4","… states to follow Governor’s Ducey’s model. And what part of that model was-","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","20:40"
"President Donald Trump","No, not his model. I just think he’s done a very good job. I mean, he’s really done a great job. You look at the numbers, you look at how it’s dropped, and very rapidly he’s done a great job. He’s a great governor. Please","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","20:44"
"Speaker 5","From an interview this morning, Mr. President, you were talking about opening the schools and you said children are virtually immune from COVID-19. But children have contracted this virus, and some have died from it.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","20:53"
"President Donald Trump","I’m talking about from getting very sick. If you look at children, I mean, they’re able to throw it off very easily. It’s an amazing thing. Because some flus, they don’t. They get very sick, and they have problems with flus and they have problems with other things. But for whatever reason, the China virus, children handle it very well. And they may get it, but they get it and it doesn’t have much of an impact on them. If you look at the numbers, the numbers in terms of mortality fatality, the numbers for children under a certain age … meaning young, their immune systems are very, very strong. They’re very powerful. They seem to be able to handle it very well, and that’s according to every statistic.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-august-5","Donald Trump Coronavirus Press Conference Transcript August 5","21:02"
