"speaker","transcription","url","headlin","timing"
"Donald Trump","-manufacturing back to the USA. We’ve been working on this for a long time. This is a core of our strategy to protect our people from the horrible China virus. It should have never happened. It should have never been here. They should have stopped it.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","00:00"
"Donald Trump","In the decades before I took office, foreign nations were allowed to freely plunder our factories and loot our industries, take our business out of the United States. Millions of jobs were vacuumed out, just taken out so easily. Our politicians let that happen, and our communities were stripped and shipped, in many cases to China and all over the world, countries all over the world.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","00:15"
"Donald Trump","Nearly four years ago, we launched a bold effort to revitalize American manufacturing, enact fair trade deals, and bring our industries back home, where they belong. When the China virus landed on our shores, it became clearer than ever before that restoring American manufacturing is a core matter of national security. We must never be reliant on a foreign nation for America’s medical or other needs, and that includes many other needs.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","00:41"
"Donald Trump","I just want to say that Pfizer just announced a little while ago that they’re combining Phase 2 and Phase 3 trials, and the vaccine looks like it’s really heading in a very rapid direction and very positive direction. First time that’s happened, and they’re many months ahead of any other trial. There’s never been anything like it. So it’s the fastest ever. To me, it’s very exciting.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","01:13"
"Donald Trump","Today I’m proud to announce one of the most important deals in the history of US pharmaceutical industries. My administration has reached a historic agreement with a great American company. You remember this company? It’s called, from the good old camera age, the old days, to begin producing critical pharmaceutical ingredients. It’s called Kodak, and it’s going to be right here in America. So I want to congratulate the people in Kodak. They’ve been working very hard.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","01:39"
"Donald Trump","Members of my administration are present in Rochester right now, Rochester, New York, good place, and they’re trying to finalize this groundbreaking deal. They will be announcing this deal. I want to thank Governor Andrew Cuomo and his representatives. We’ve worked really well together on this deal. It’s a big deal. It’s going to be a great deal and a great deal for New York and a great deal for Kodak.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","02:12"
"Donald Trump","90% of all prescriptions written in the United States are for generic drugs. We have approved more generic drugs than any other administration by far. Generic drugs can be just as good as the brand names, but cost much less. Yet less than 10% of the active pharmaceutical ingredients needed to make these drugs are currently manufactured in America. More than 50%, however, are made in India and China.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","02:35"
"Donald Trump","You’ll be seeing a lot of things that have happened. It’s been happening, but it’s happening at a more rapid pace right now. With this new agreement, my administration is using the Defense Production Act to provide a $765 million loan to support the launch of Kodak Pharmaceuticals. It’s a great name when you think of it, such a great name. Was one of the great brands in the world. Then people went digital, and Kodak didn’t follow. But now under very extraordinary leadership, they are following, and they’re doing something that’s a different field. It’s a field that they’ve really hired some of the best people in the world to be taking care of that company and watching that company, watching over it.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","03:06"
"Donald Trump","But it’s a breakthrough in bringing pharmaceutical manufacturing back to the United States under this contract, our 33rd use of the Defense Production Act. Remember when you were saying I didn’t use it enough? I didn’t use it enough? Then now you heard it’s the 33rd use. We don’t talk about it all the time. We used it, and we used it as a little bit of a threat, frankly, with certain companies that weren’t doing as we were asking them to do. It came through as both a threat and a usage, but this is our 33rd use of the Defense production Act.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","03:51"
"Donald Trump","Kodak will now produce generic active pharmaceutical ingredients, which is a big deal. Using advanced manufacturing techniques, Kodak will also make the key starting materials that are the building blocks for many drugs in a manner that is both cost-competitive and environmentally safe. We’ll be competitive with almost all countries and soon with all countries.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-july-28","Donald Trump Coronavirus Press Conference Transcript July 28: Talks Kodak, Vaccine, DACA","04:25"
