"speaker","transcription","url","headlin","timing"
"David Muir","I want to start with reopening the country. I know this is your first trip back out into the country …","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","00:00"
"Donald Trump","Yes.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","00:05"
"David Muir","… In Quite some time. And you’ve said that the decision to open the economy is the biggest decision I’ve ever had to make. How do you, and I suppose this is the central question, how do you save livelihoods without risking more lives?","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","00:05"
"Donald Trump","Well, I think actually the decision to close the country was the biggest decision I’ve ever had to make and I’ve said that very loud and clear. I mean we had the greatest economy in history, in the history of the world, not only our economy, it was our greatest economy, best employment numbers, best numbers in every single way. And they said, sir, we have to close the country. I said, what are you talking about close the country? Because nobody’s ever heard of such a thing. And we saved millions of lives by doing it. And by putting the ban on China very early was a big thing.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","00:19"
"Donald Trump","But the biggest decision I’ve ever had to make is closing the country. And certainly this is now also a big decision, but the people want to go back to work.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","00:50"
"David Muir","I want to ask you about what Dr. Fauci said last night about the reopening of the country. He said it’s the balance of something that’s a very difficult choice. How many deaths and how much suffering are you willing to accept to get back where you want to be? Do you see it that way? Do you believe that’s the reality we’re facing, that that lives will be lost to reopen the country?","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","00:58"
"Donald Trump","It’s possible there will be some because you won’t be locked into an apartment or a house or whatever it is. But at the same time, we’re going to practice social distancing. We’re going to be washing hands. We’re going to be doing a lot of the things that we’ve learned to do over the last period of time and we have to get our country back. People are dying the other way too. When you look at what’s happened with drugs, it goes up. When you look at suicides, I mean take a look at what’s going on. People are losing their jobs. We have to bring it back and that’s what we’re doing.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","01:19"
"David Muir","Let me ask you about testing …","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","01:51"
"Donald Trump","Yeah.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","01:52"
"David Muir","… Right now in America. Early on there were hurdles. Dr. Fauci at the time acknowledged it was a failing. But for Americans who do want to go back to work, should they be able to have access to a test now? Should they know whether they’ve been exposed to the virus? Should they know if somebody’s at the workplace asymptomatic and they simply don’t know, or do they have to go back to work having faith in their leaders and you, Mr. President, that the workplace will be safe?","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","01:53"
"Donald Trump","Yeah. No they don’t. They have to test if they want. Some people are strong believers in testing.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","02:17"
"David Muir","So right now for any American worker who’s nervous about going back, if they want to get tested to see if they’ve been exposed to the virus, they can have access to both the antibody test …","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","02:24"
"Donald Trump","They should have not problem. They should have no problem. And as good as this is, we’re even getting better. We came up, don’t forget the cupboard was bare. The other administration, the last administration left us nothing. We didn’t have ventilators. We didn’t have medical equipment. We didn’t have testing. The tests were broken. You saw that. We had broken tests. They left us nothing and we’ve taken it and we have built an incredible stockpile, a stockpile like we’ve never had before.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","02:33"
"David Muir","Many people heard you say that along the way, and have wondered though, you’re three years into your first term, you’re now applying for the job again. What did you do when you became president to restock those cupboards that you say were bare?","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","02:58"
"Donald Trump","Well, I’ll be honest, I have a lot of things going on. We had a lot of people that refuse to allow the country to be successful. They wasted a lot of time on Russia, Russia, Russia. That turned out to be a total hoax. Then they did Ukraine, Ukraine, and that was a total hoax. Then they impeached the president of the United States for absolutely no reason and we even had 197 to nothing vote by the Republicans.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","03:10"
"David Muir","Let me ask you about something Governor Cuomo said today, and this is really the debate I think for a lot of Americans who really do want to go back to work …","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","03:36"
"Donald Trump","Sure.","https://www.rev.com/blog/transcripts/donald-trump-david-muir-interview-transcript-covid-19","Donald Trump David Muir Interview Transcript on Coronavirus","03:44"
