"speaker","transcription","url","headlin","timing"
"Brian Kilmeade","… Trickle it out in friendly outlets.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","00:00"
"Steve Doocy","Well, apparently a draft report has been circulating to people who were involved, and some of the information has now made it out there. We are joined right now, it is our great pleasure to welcome the President of the United States, Donald Trump, calling in. Mr. Trump? Good morning to you.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","00:02"
"Ainsley E.","Good morning.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","00:19"
"Donald Trump","Good morning.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","00:19"
"Steve Doocy","Good to have you on Fox & Friends today. As you said in your tweet, another slow news week. Let’s start with the fact that … the story that Griff just brought us, and it sounds like a former FBI lawyer, it sounds like, was doing something with the FISA application. That person got removed. And this goes to your argument that somebody at the FBI was out to get you, right?","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","00:20"
"Donald Trump","Well, it certainly does. And they were spying on my campaign and it went right up to the top, and everybody knows it, and now we’re going to find out. You have Bull Durham, who is supposed to be the toughest. I’ve never met him, never spoke to him, but he’s supposed to be the smartest and the best, and he works for Bill Barr, who is a great Attorney General. We would maybe have ended this thing a lot sooner had he been there originally, but you have some people that are great people now, patriotic people, they love our country. And this was spying on my campaign, something that has never been done in the history of our country. This was an overthrow attempt at the presidency. They tried to overthrow the presidency. This is a disgrace, but I’m not surprised to see it. It’s just starting to come out, but I think this is nothing compared to what you’ll see over the next couple of weeks.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","00:45"
"Ainsley E.","These media outlets are-","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","01:35"
"Donald Trump","Because people are sick.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","01:36"
"Ainsley E.","These media outlets are saying that the FBI lawyer manipulated and altered key documents related to that warrant application so that they could get permission to surveil Carter Page. He was on with Maria, Mornings With Maria, a few minutes ago, and he says it’s a cover up. Listen.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","01:37"
"Carter Page","They have just been putting false information out there to the media. The Democrats and their allies in Washington and in the media. Constantly pushing lies after lies, and then finally, this gets picked up by a court, it gets picked up by the Comey/McCabe FBI, and they got a warrant, a fraudulent warrant I believe, to spy on myself as a way of getting into the Trump campaign.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","01:53"
"Carter Page","There has been a continued cover up to this very day. We still don’t have the truth, but hopefully we’ll get that soon.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","02:22"
"Ainsley E.","How does this compare with what happened with that Ukraine conversation? Democrats want to impeach you because of that conversation, but this looks pretty bad.","https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings","Donald Trump Fox and Friends Interview Transcript – Trump Interviewed After Impeachment Hearings","02:29"
