"speaker","transcription","url","headlin","timing"
"President Donald J. Trump","The fake news, they said that this is supposed to be a roundtable, but it looks like a rally, but it is a rally because we love each other. No, it is a roundtable and we’re here to really listen. We’re here to discuss the Latinos and the Hispanic Americans. I want to say you have a great Governor. He has been fantastic. Thank you. I love you, too. And we’re really doing well. The country is doing numbers that… You will see. Next year is going to be, you know, you had your greatest year ever, Doug, last year, the best year you ever had. Then we had to close it up. We had to stop and we saved millions of lives by doing it. We saved millions of lives. And then we restarted and now we’ve set all kinds of records and we’re setting records. And I think next year you’re going to have a fantastic year. It’s going to be great. We’re cutting taxes even further. And we’re going to have big growth. A lot of good things happening. But I’m thrilled to be back in Arizona with the… Thank you.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","00:55"
"Audience ","Four more years! Four more years! Four more years!","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","02:02"
"President Donald J. Trump","By the way, I just looked. I see Artie over here. You’ve done a great job. How’s Albert? Is he good? He’s a good guy. Good job, Artie. So it’s really great to be back.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","02:02"
"Audience ","We love you!","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","02:50"
"President Donald J. Trump","This is good. You know, this is what the polls are all saying too. As a Republican, Republicans don’t do as well as perhaps they should. And probably some shouldn’t do very well, but the polls came out and were leading sleepy Joe by a lot. And so it’s a great honor to be here.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","02:53"
"President Donald J. Trump","But we’re here to discuss my administration’s unwavering devotion to Hispanic American communities, Hispanic Americans embody the American dream and they are great business people like this guy right here. They’re great business people. Great, great business people. I know that because I’ve had to compete with them. They’re not easy to compete with. I want to say that. Hispanic Americans strengthen our nation beyond description. You protect our nation as brave members of the military and as members of law enforcement, great, great members of law enforcement. You uplift the communities and promote our shared values of faith and family, community, hard work and patriotism. You’re an amazing group of people. And I love you and we’re taking care of you and I’m never letting you down. You’ll never let you down.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","03:17"
"President Donald J. Trump","We’re glad to be joined by your fantastic Governor, Doug Ducey. He’s done a fantastic job. You’ve done a great job.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:12"
"Gov. Doug Ducey","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:20"
"President Donald J. Trump","He really has. It’s been incredible. So, and thank you, Doug.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:24"
"Gov. Doug Ducey","Thank you very much, Mr. President.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:26"
"President Donald J. Trump","Also, thanks to Arizona Republican Chairwoman, Kelli Ward. How are we doing, Kelli, by the way?","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:28"
"Kelli Ward","We’re winning!","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:47"
"President Donald J. Trump","Thanks, Kelli. Arizona State Representative T.J. Shope. Thank you very much. Thanks, T.J. Arizona Corporation Commissioner Leah Marquez Peterson. Thank you very much. Thank you very much. Thank you. Sergeant Jimmy Chavez of the National Troopers Coalition. Sergeant, thank you. We have the law enforcement from all over the country. Just got Florida, all the sheriffs, all the law enforcement, Ohio, Texas, everywhere, New York. We got New York’s finest. They said they’ve never endorsed before, but they’re endorsing this year. That took a little courage, too, because they’re in very unfriendly territory politically. But New York did and we just got Chicago. Can you believe that? With that wonderful, wonderful mayor.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","04:53"
"President Donald J. Trump","We also have a man that I have a lot of respect. I like baseball. I’ve always liked baseball and he’s done a fantastic job. Arte Moreno, the owner of the Los Angeles Angels. Doing a fantastic job. How is Albert Pujols doing? Good. I think he’s great. Huh? Good. And you have a Mike Trout. So is he as good as they say? They say he’s the best player. He said he’s better. He’s better. Right? But they say is the best player in baseball.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","05:48"
"Speaker 1","One of the best.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","06:15"
"President Donald J. Trump","That’s great. That’s very good. Thanks, Arte. Congratulations on your success, too. Great job. Also with us are two wonderful Arizona Republican nominees for Congress, Tiffany Shedd and Brandon Martin. Thanks, Tiffany. Good luck. Good luck Thank you, Brendon. And you have my complete endorsement, you know that. Complete and total, as they say, complete and total, okay? And we’ll be out working with you. We’ll be helping you a lot. I hear both of you are doing really well. Very important. Doug is working hard on that. Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-hosts-latinos-for-trump-event-transcript-september-14","Donald Trump Hosts Latinos for Trump Event Transcript September 14","06:16"
