"speaker","transcription","url","headlin","timing"
"Jeanine Pirro","Mr. President, thanks so much for doing this. Joe Biden has indicated after the Woodward information came out that your handling of the coronavirus and that situation was not only despicable but it’s almost criminal. What do you say to Joe Biden?","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","00:18"
"Donald Trump","Well I think a statement like that is criminal because we did a much better job than he could ever have done. As you know he was months later before he even thought the ban was a good thing and ultimately he had to apologize for what he did. We would have lost hundreds of thousands of lives and what I said to Woodward was actually good. I said calm, we need calm. We don’t need panic. You want me to jump up and down and start screaming, is everyone going to die, is everyone going to … That’s not what leadership is about. I’m a cheerleader for the country. We need calm. That’s all I’ve said, and by the way, that was done after, that was done after I had already banned China –","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","00:34"
"Jeanine Pirro","Right.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","01:08"
"Donald Trump","From coming into the country. So I took big steps.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","01:08"
"Jeanine Pirro","That was in February. You did the ban January 31.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","01:09"
"Donald Trump","So Jeanine, I took tremendous steps, everybody knew how I feel, otherwise I wouldn’t be banning China and then shortly thereafter I banned Europe. We saved hundreds of thousands of lives with each one of those bans and saved probably two or two and a half million lives by doing what we did early.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","01:12"
"Jeanine Pirro","So you say that your timing was good but let me ask you about Bob Woodward’s timing. He did this interview with you on February 7 where you talked about how dangerous the virus was and yet he waited until September, seven months later, to announce to the American public how dangerous you said it was. Was his timing good?","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","01:28"
"Donald Trump","Look, he is an opportunist and not a bad guy to be honest, he’s doing his thing. His first book I didn’t have anything to do with it and he wrote things that were false and untrue and I could have straightened it out and I said, “Let me do,” I took quite a few phone calls, 16 phone calls or something like that and we had some good conversations, not long, but good conversations. I don’t even know if the book is good or bad. I can tell you that what this says is that I said don’t panic, we don’t want panic. The press will make everything look bad because it’s fake, the fake news, most of it. I’d say 85% unfortunately, that’s the number we’re up to. But I discussed with him lots of different things. I think that they were very good discussions. We’ll see how it comes out but on this subject if you look, and he’s actually being [inaudible 00:02:37] because if he thought it was wrong, then he should have reported it early. If lives were going to be lost, he should have reported it early. The truth is he didn’t think there was anything wrong with it and I think that he thought it was surprising that the press even picked it up. It’s fake news. It’s all fake news.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","01:48"
"Jeanine Pirro","Well in fact when he called you in March a month later you said to him, “I didn’t want to cause panic,” and that’s precisely why I as a leader didn’t go out just say everyone’s going to die.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","02:52"
"Donald Trump","Well go out and look at the great leaders of the world. Winston Churchill stood on the rooftops in London, very calm, making speeches. Winston Churchill. You want calmness. You don’t want to somebody going to be jumping up and down. I could do that too. I could jump up and down, say, “Oh, this is terrible. This is terrible.” We want strength, we want leadership and we don’t want panic.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","03:05"
"Jeanine Pirro","What about the vaccine itself? Now Joe Biden and Kamala Harris and the Gallup survey that they just did says that the acceptance of the vaccine is pretty much going along political lines. The Democrats don’t want to accept it because they don’t trust it because it’s coming out of your administration.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","03:25"
"Donald Trump","They don’t want it because they think it’s going to make me look good and it wins the election for me but we’re very close to a vaccine. We also have already come out with therapeutics. If you look at remdesivir and others, the plasma, you take a look at the things that we’ve come out with already and the number, we’re 85% better in terms of fatalities. You look at the kind of numbers, I don’t know if you’ve been seeing this but we’re really rounding the corner and this is actually without anything further than we already have and we have some very good things out there already in terms of … I would say in terms of … You can’t use the word cure yet but pretty close to a cure. You’re going to be pretty close to a cure. The vaccine itself, I mean it could come out in October, but whether it’s October, November, December, it’s going to come out very soon. We have great companies that are very advanced and the results are going to be very good.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","03:42"
"Jeanine Pirro","Well the numbers, you’re correct, the numbers are going down, and there’s a question as to whether or not the lockdown works, that maybe people need to get outside and if the coronavirus cases are dropping and Joe Biden now is coming out and saying, “On the advice of the scientists I would shut it all down again.” How do you think that’s going to work for him?","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","04:34"
"Donald Trump","Well it would be a disaster and we’re setting records on job production. We’re 10.4 million for the last four months. Nobody’s ever seen numbers like this, we’re setting records by millions and millions of jobs. The country’s coming back, it’s a super V, it’s beyond a V, it’s a super V, retail sales are beyond any number they were ever at. I mean think of it, we’re doing numbers now as we’re rounding I think the final turn, and that’s with, without, it doesn’t matter. With or without. Having the vaccine is great, it’s going to happen very soon. Could happen in October, it could very well happen October but we’re rounding the turn on the virus. They have to open up. It’s only the Democrats that are closed and in my opinion they’re closed for political reasons. They have North Carolina, you have Michigan, you have a couple of other states that are …","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","04:54"
"Donald Trump","New York, I mean, look at New York, what they’re doing in New York, that poor city with the restaurants. You can’t go to a restaurant. It’s like a ghost town. What they’ve done to New York and people are leaving is disgraceful between Cuomo and DeBlasio. That combination, I’ve never seen anything like it in my life. Coming from New York, it’s a very sad thing to witness, but we have to open up our states, totally open them. They’re keeping them closed because they want on November 3, they want to have the numbers as bad as possible. Based on the numbers that you’re seeing it’s not even affecting this but probably it would be better if these states were open. Forget about numbers though. The people that are inside those lockdowns, they’re suffering between depression, losing their jobs, drugs, alcohol, all of the different things that are happening to those people. That’s causing much more damage than the virus itself.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","05:41"
"Jeanine Pirro","Well what’s interesting, you mentioned North Carolina. Voting has already started in North Carolina. They’re on lockdown. How do you think that impacts people who want to vote for you?","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","06:32"
"Donald Trump","Well look, I’d like people to go out and vote but if they want to sign something … You have solicited and unsolicited ballots –","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","06:39"
"Jeanine Pirro","Right. Mail-in. Yep.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","06:46"
"Donald Trump","In the country. They’re going to send out 80 million unsolicited. In other words people that don’t even know what a ballot is, all of a sudden, here comes a ballot. Now we don’t even know if the people are going to get it. That’s my problem. Supposing they’re not sending them to Republican neighborhoods. Supposing they’re not sending them to wherever. Or supposing the people aren’t giving them back, or they go out and they harvest them. Somebody … It could be either way, but the Democrats seem to do that. I mean they played that game for a long time.","https://www.rev.com/blog/transcripts/donald-trump-judge-jeanine-pirro-interview-transcript-september-12","Donald Trump Judge Jeanine Pirro Interview Transcript September 12","06:47"
