"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much, everybody. Appreciate it. This is mostly an economic conference and we have Steven Mnuchin with us, Larry Kudlow. I’d like to just announce the spectacular news for American workers and American families and for our country as a whole. There’s not been anything like this at record setting. It was just put out that the United States economy added almost five million jobs in the month of June, shattering all expectations. I was watching this morning and the expectations were much lower than that. The stock market is doing extremely well, which means to me jobs. That’s what it means, jobs. This is the largest monthly jobs gain in the history of our country.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","10:04"
"Donald Trump","The unemployment rate fell by more than two percentage points down to just about 11%. We’re down to the 11% number. We started at a number very much higher than that. As you know, we broke the record last month and we broke it again this month and in an even bigger way. This news comes on top of May’s extraordinary jobs report, which was revised upwards, by the way, to 2.7 million jobs. It was 2.5. That was last month, and that was a record setter. But it actually got a little bit better. We revised it. It was revised upward to 2.7 million jobs for a combined total of 7.5 million jobs created in the last two months. And that’s a record by many millions of jobs. So it’s 7.5 million jobs created in the last two months alone. Today’s announcement proves that our economy is roaring back. It’s coming back extremely strong. We have some areas where we’re putting out the flames of the fires and that’s working out well. We’re working very closely with governors and I think it’s working out very well. I think you’ll see that shortly.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","10:55"
"Donald Trump","In June, we added 2.1 million leisure and hospitality jobs, 740,000 retail jobs, 568,000 education and healthcare jobs, 357,000 service jobs. These are all historic numbers. And 356,000 manufacturing jobs. And manufacturing looks like it’s ready to really take off at a level that it’s never been before. And a lot of that has to do with our trade policy because we’re bringing manufacturing back to our country and these take a long time to get going, and they’re now going. So these are historic numbers. I’m really happy when I see 356,000 manufacturing jobs. And that’s just a small number compared to what it will be soon because of our great trade deals.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","12:07"
"Donald Trump","African American workers, really happily for me, made historic gains with 404,000 jobs added last month alone. And that’s a record. And the second largest jump will be last month. And what we have, if you add the two months together, it’s 700,000 jobs for African American workers. Add in to the last two months, and that’s a record by a lot. Likewise, Hispanic employment is up by 1.5 million jobs, a record by a lot. Hispanic employment up 1.5 million jobs. Three million more women were employed in the month of June. A record. Never had a number like that. Workers with a high school education or less made the biggest strides of all. So people that have just a high school education or have less than a high school education, with unemployment, those without a high school diploma drop a full 3.3 percentage points. That’s the largest drop in recorded history. 80% of small businesses are now open. 80%. And we think we’re going to have some very good numbers in the coming months because others are opening, especially as we put the flame out, getting rid of the flame, it’s happening.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","12:56"
"Donald Trump","New business applications have doubled since late March. That’s a number that is not even thinkable to achieve this early into a pandemic. The latest ISM manufacturing report rose 25 percentage points, with new orders jumping a remarkable 25 percentage points, all a record. Consumer confidence, which is great. That’s a great number to me because that means confidence is really good. If you don’t have good consumer confidence, it’s like life, if you don’t have confidence you’re not going to do very well. Consumer confidence has risen 12 points since April. At six months, job expectations hit an all-time high. So think of that for a second. With all we go through, with all of the trials and tribulations that we read about every night, much of it totally fake news, fortunately, and if the consumer didn’t get it, you wouldn’t have good consumer confidence. We have consumer confidence has arisen 12 points since April. An all-time high. Think of that.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","14:26"
"Donald Trump","Retail sales surge an astonishing 18%. So retail sales went up an astonishing 18% in May. That’s the largest increase in the history of our country. That’s a tremendous number, 18%. And what it means to me is jobs. The number of unemployed Americans reentering the labor force rose by 43%. And fewer workers are dropping out of the labor force than before. And the crisis is being handled.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","15:42"
"Donald Trump","If you look, we were talking this morning, something to think about. China was way early, and they’re getting under control just now. And Europe was way early, and they’re getting under control. We followed them with this terrible China virus. And we are likewise getting under control. Some areas that were very hard hit are now doing very well. Some were doing very well and we thought they may be gone and they flare up and we’re putting out the fires. But other places were long before us, and they’re now… It’s a life. It’s got a life. And we’re putting out that life because that’s a bad life that we’re talking about.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","16:19"
"Donald Trump","All of this, suggested workers are confident about finding a new job. The stock market is soaring with the best gains in over 20 years. In the second quarter, the Dow Jones increased 18%. This is in a quarter. These are not numbers that people have heard about. It’s the best in 33 years. The S&P 500 increased by almost 20%. The best since 1998 for the quarter. And Nasdaq increased over 30%. The best since 1999. And we had a 15 month, if you look over a long period of time, a phenomenal number. But if you look since the election, we’ve gone up. The Dow went up close to 45%. The S&P 500 went up 47%. And Nasdaq Composite went up getting close to 100%. So these are numbers that are not numbers that other presidents would have, and they won’t have it. The only thing they can kill, it’s a bad president or a president that wants to raise taxes. If you want to raise taxes, this whole thing, your 401ks will drop down to nothing and your stock market will drop down to nothing. This is not just luck what’s happening, this is a lot of talent.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","17:07"
"Donald Trump","All of this incredible news is the result of historic actions my administration has taken working with our partners in Congress to rescue the US economy from a horrible event that was formed, took place in China, and came here, and they could have stopped it. They could have stopped it. Nobody likes to write that, but they could have stopped it. They know it and I know it.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","18:36"
"Donald Trump","Through the paycheck protection program, we’ve extended over $520 billion in loans to nearly 5 million small businesses, saving and supporting the jobs of tens of millions of American workers. This has been a tremendous success. Levels that nobody’s ever seen before. But we saved all of those jobs and all of those small businesses, and some will be large businesses soon, perhaps. We also rushed urgently needed relief to millions and millions of hardworking taxpayers. They got that directly and we’re working on a phase four. We’re working with Congress. That work has started. Steve Mnuchin can give you a little briefing. Talking about payroll tax cuts, we’re talking about more money being infused. And it comes back to us. It comes back. It’s all coming back. It’s coming back faster, bigger, and better than we ever thought possible. These are the numbers. These are not numbers made up by me, these are numbers.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","19:03"
"Donald Trump","These are not numbers made up by me. These are numbers. We’ve implemented an aggressive strategy to vanquish and kill the virus, and protect Americans at the highest risk, while allowing those at lower risk to return safely to work. That’s what’s happening. Our health experts continue to address the temporary hotspots in certain cities and counties, and we’re working very hard on that, where the relationship with the governors is very good. We made a call, Mike Pence made a call just yesterday, and said, “What do you need?” Not one governor needed anything. They don’t need anything. They have all the medical equipment they can have. “Thank you, US government.”","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","20:02"
"Donald Trump","All of the ventilators they have, we’re giving many ventilators, and selling in some cases, and giving when needed, but we’re the ventilator king. We’re now producing thousands of ventilators, thousands of ventilators a week, and we’re helping other countries, and other countries are desperately in need of ventilators. Because this is now at 189 countries. That changes all the time, that number. Our last count is 189 countries, and many of them don’t have money, and almost all of them don’t have a capacity to build a ventilator, which is hard to build, very complex, very expensive. Very big, in many cases. We’ve done an incredible job. So we have assembly lines building ventilators, and we’re building thousands a week.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","20:45"
"Donald Trump","All of these people are working with governors and local officials to restore best practices, and that’s what we’ve done. That includes face covering, social distancing, testing, and personal hygiene. Wash your hands. State officials will decide how rapidly to open their economies. That’s largely up to them. If we see something that’s egregious, we’ve gotten involved with a couple of them where we thought it was unfair. We’d like to see churches opened quickly, and some of them just don’t want to do that. In New York, we got a great ruling from a judge, thank you, Judge, that they can open.","https://www.rev.com/blog/transcripts/donald-trump-july-2-press-conference-transcript-on-coronavirus-new-job-numbers","Donald Trump July 2 Press Conference Transcript on Coronavirus, New Job Numbers","21:36"
