"speaker","transcription","url","headlin","timing"
"Donald Trump","We called some people, wished them a very happy Labor Day and they told us how they’re doing. And we really celebrate the American worker. We are in the midst of the fastest economic recovery in US history. So we have a lot to be thankful for including this really beautiful day. So I thought we’d do this outside as opposed to your more normal place. The United States experience the smallest contraction of any major Western nation. You probably know that you look around and see how we’re doing compared to every other nation. And our rise is spectacular and we’re rebounding much more quickly from the pandemic. The US economy added 1.4 million jobs last month. We’ve added a record setting 10.6 million jobs since May… 10.6 million jobs since May, that’s a record that is not even close as second place it’s a long ways away. In July the congressional budget office was projecting unemployment over 10.5% through the end of 2020. So they thought 2020, and maybe it would be a lot longer than that. Some projections where you go through the entire year, and that includes a lot of months in the following year, 2021. And instead the unemployment rate plunged, really to the surprise of many all the way down to 8.4% in August and that’s the second largest single month decline on record and we have the first, we have both of them. So we have the two number one declines, decline meaning positive, not negative.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","00:00"
"Donald Trump","We’re currently witnessing the fastest labor market recovery from an economic crisis in history, world history. By contrast Biden presided over the worst, the weakest and the slowest economic recovery since the Great Depression. It was a long slow slog and it was a very small … Very small in growth and very small in every other factor that you need. It was the weakest recovery. Under my leadership, next year will be the greatest economic year in the history of our country I project and some people are starting to agree. We have a V shape, it’s probably a super V and you see what’s going on with the stock market where it’s … In certain cases already setting records. The NASDAQ has set 17 records already and this is as we’re hopefully rounding the final turn in the pandemic. First we’ll end the pandemic under Operation Warp Speed. We’ve pioneered groundbreaking therapies reducing the fatality rate. 85% since April. You don’t hear that from the press very often. They don’t like to talk about that. So the fatality rate, 85%. Think of that since April. The United States has experienced among the lowest case fatality rates of any major country in the world and we are an absolute leader in every way.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","00:26"
"Donald Trump","Under my leadership we’ll produce a vaccine in record time. Biden and his very liberal running mate, the most liberal person in Congress by the way, is not a competent person in my opinion would destroy this country and would destroy this economy. Should immediately apologize for the reckless anti-vaccine rhetoric that they are talking right now, talking about endangering lives and it undermines science and what’s happening is all of a sudden you’ll have this incredible vaccine and because of that fake rhetoric, it’s political rhetoric, that’s all it is, just for politics because now they see we’ve done an incredible job and in speed like nobody’s ever seen before, this could have taken two or three years and instead it’s going to be done in a very short period of time. Could even happen during the month of October. So contrary to all of the lies, the vaccine … They’re political lies, they’ll say anything and it’s so dangerous for our country what they say but the vaccine will be very safe and very effective and it will be delivered very soon. Now you could have a very big surprise coming up. I’m sure you’ll be very happy but the people will be happy, the people of the world will be happy.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","01:56"
"Donald Trump","Next we’ll return to unprecedented prosperity through our pro-American policies. We’ll pass new tax cuts to boost take home pay, we’re going to be cutting taxes very substantially, we get it back through growth. We had tremendous growth until we got hit with the China virus. We’ll continue our historic regulatory reduction campaign. As you know in three and a half years we’ve cut more regulations than any other administration, no matter how long, what period of time you’re talking about. We’ll enact fair trade deals and we’re working on seven major fair trade deals right now and when I say fair, fair to our country because our country was ripped off by every nation, friend, foe, didn’t matter. Every nation was ripping us off at a level that it’s just unbelievable to be honest.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","03:18"
"Donald Trump","We’re going to be expanding opportunity zones and we will keep that going, it’s been a tremendous program. I want to thank Senator Scott in South Carolina for coming up with that whole concept because he came up and I liked it right away, it’s really turned out to be a tremendous thing, especially for African-Americans, Hispanic-Americans. We’ll continue to unleash American energy, we’re number one in the world and we’re totally energy independent right now and in 2021 we’ll create 10 million jobs at least in the first 10 months. Joe Biden and the radical socialist Democrats would immediately collapse the economy. If they got in they would collapse it. You’ll have a crash the likes of which you’ve never seen before. Your stocks, your 401(k)s. Remember, it’s the people that own these massive listed companies. A lot of people, rich people, not so rich people, middle income people and those stocks will crash like you’ve never seen before.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","04:12"
"Donald Trump","The Biden plan begins with a four trillion dollar tax hike and that will end everything including growth. It won’t be growth it will be total contraction. Biden’s also pledged to demolish the U.S. energy industry and implement the same policies causing blackouts in California. He wants to have things lit up with wind. He’ll have to talk to China, Russia, India, lots of other countries because they’re not doing that and if they’re not doing it, puts us at a tremendous economic disadvantage and it doesn’t work. You take a look at the blackouts in California, it’s really rather amazing what’s going on [inaudible 00:05:54] they’ve tried to go and that’s just with a small portion going that route. That doesn’t work and it can’t fire up our big plants. We’re going to have this great industry that we’ve created. Can’t fire up our big plants.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","05:14"
"Donald Trump","Biden’s plan for the China virus is to shut down the entire U.S. economy. He’s going to totally rely on somebody to walk up, “Yes sir, it’s time to shut it down.” He’d be laying off tens of millions of workers and causing countless deaths from suicide, substance abuse, depression, heart disease and other very serious illnesses. Because when you do a shutdown, there’s a problem on the other side. It’s not just from the virus, you have a big problem with suicides, with losing your jobs, with all sorts of things that you just take a look. Depression is a massive problem and what happens is they turn to substance abuse, alcohol, drugs. So we can’t do that and then we’d have to give up all the gains that I’ve been talking about over the last three months.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","06:06"
"Donald Trump","What we have done is incredible. We’re setting records all over the world no matter where you go. Nobody has done what we’ve been able to do. So we’re setting records in jobs, we’re setting records in numbers, and you’re going to see some very big numbers. Third quarter numbers are coming out right before a very special day, November 3. So you have the numbers coming out and they’re I think going to be fantastic. I think they’re going to be fantastic. The best numbers of all if somebody doesn’t come along and raise taxes, double, triple, quadruple your taxes will be the numbers from next year but you’re going to have a good third quarter number coming out and I think it’s going to be hard for even the media to disparage that number.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","06:52"
"Donald Trump","Biden wants to surrender our country to the virus. He wants to surrender our families to the violent left wing mob and he wants to surrender our jobs to China. Jobs and our economic well-being. I’ve taken in billions and billions of dollars from China, no other president’s done what I’ve done. I’ve given much of it to the farmers, I’ve given it to farmers, manufacturers, but I’ve given most of it to the U.S. Treasury. Nobody’s done that, we haven’t taken in $0.10 from China ever. They targeted our farmers and I targeted them and I gave $28 billion to our farmers. Our farmers wouldn’t be existent right now. Right now they’re very happy.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","07:33"
"Donald Trump","In fact they’re setting records on purchases. China is purchasing more corn than they’ve ever done, record purchase of corn and soybeans, beef because they know I’m not happy with them. They know I’m not happy at all and frankly I don’t want to set the world necessarily to thinking too much about it right now but there’s been no country anywhere at any time that’s ripped us off like China has. We lose billions and billions of dollars, for years and years, decades. We’ve lost billions and billions and billions of dollars by dealing with China. We get nothing from China. They give nothing other than getting our money and they take that money and they build their military and you see they’re building up a powerful military and it’s very lucky that I’ve been building ours up because otherwise we’d be dwarfed right now by China. we would be a terrible thing. A terrible thing. We’re way ahead on the nuclear front. We’ve upgraded our nuclear, hope to God we’d never have to use it but we would be in a position that we are not in right now with China spending the money we give them to build up their military. So when you mention the word decouple, it’s an interesting word. So we lose billions of dollars and if we didn’t do business with them we wouldn’t lose billions of dollars. It’s called decoupling see, you’ll start thinking about it. You’ll start thinking. They take our money and they spend it on building airplanes and building ships and building rockets and missiles and Biden has been just a pawn for them. He’s been so easy they dream about Biden. There was a report today that they hope that Joe Biden becomes president. If Joe Biden becomes president China will own the United States and every other country will be smiling also. They’ll be smiling.","https://www.rev.com/blog/transcripts/donald-trump-labor-day-press-conference-transcript-criticizes-pentagon-leaders-for-accommodating-arms-makers","Donald Trump Labor Day Press Conference Transcript: Criticizes Pentagon Leaders for Accommodating Arms Makers","08:12"
