"speaker","transcription","url","headlin","timing"
"Laura Ingraham","Mr President, thank you so much for joining us.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","00:01"
"Donald Trump","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","00:03"
"Laura Ingraham","On Friday, Ted Wheeler, the Mayor of Portland sent a letter to you saying, basically we don’t want your help. You make matters worse. Saturday, one of your supporters is murdered in Portland by it looks like a suspected Antifa individual. And then on Sunday, Wheeler comes out and Biden, and essentially tries to blame shift to you for the violence there. Your reaction.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","00:04"
"Donald Trump","Well, these are terrible and very incompetent people. Portland’s been burning for many years, for decades it’s been burning, but now it’s gotten to a point they don’t want to do… I watched the Mayor try and get in with these people. And he went to a protest and he went in there. They almost killed him. If he didn’t have security, whatever he had, five security guards, he would have been dead, just like they would have done to Rand Paul, who’s a great guy, and his wife, Kelly. It is a disgrace. When you look at what’s happening. Now, we sent in Homeland Security. The reason we sent them in was to protect our courthouse. We have a $300 million courthouse, and they wanted to blow up our courthouse or burn it down. “Take your choice, blow it up, or burn it down,” they said, and I said, “No, no, that’s not happening.”","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","00:28"
"Donald Trump","So they wouldn’t protect it, because the Mayor said he doesn’t care. So we sent in our Homeland people, they did a great job. Homeland Security. Immediately, it was protected. And that’s the only reason they were there. I’ve offered to send in the National Guard. I’ve offered to send in anybody they want. I could put that out in 45 minutes and it would stop. And I think the people of Portland and the people of Oregon, I know it’s a liberal state, considered liberal. They’re tired of it. They’re tired of living with this curse. They’re living with a curse. They say that when you walk through the streets of Portland, this is years and years of burning and it’s not-","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","01:13"
"Laura Ingraham","The last 90 days it’s been really [crosstalk 00:01:57]","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","01:55"
"Donald Trump","It’s been horrible the last 90 days. But no, it’s been going on for many… It’s been going on for many, many years. It’s like, you’re in, I won’t name the city, but it’s the city someplace in the world that’s not so good, okay? It’s a terrible situation.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","01:57"
"Laura Ingraham","The Oregon governor said, “No one is safe in Donald Trump’s America.” They’re trying to turn the tables on you after months of… They’re not really saying much about the violence.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","02:10"
"Donald Trump","Right? But they won’t ever criticize anybody that truly, that’s a violent person, frankly. That’s violent. They stick up for the violence. The people that are getting hurt, they don’t care about. They don’t care about these people. It’s a weird thing. It’s like warped minds. And for the last 93 days, I’ve been offering to send in… And as you know, they have to take the offer. They have to ask to have help. I’ve been standing and I’ve been saying, “Anytime you’re ready, we’ll put it out.”","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","02:21"
"Laura Ingraham","What’s motivating them, Mr. President?","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","02:49"
"Donald Trump","I think it’s a sickness, actually. I think they’re are also, there’s a fear. I watched the way they treated this Mayor Wheeler when he was standing there. And I’ll tell you how unfair the news is. NBC news didn’t show that he was being shouted at and cursed at. And he ran, literally he had to run for his life, because they were going to really hurt him. He had security. If he didn’t, he would have probably-","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","02:51"
"Laura Ingraham","Well, they shot up an apartment building [crosstalk 00:00:03:17].","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","03:14"
"Donald Trump","How he can still stick up for them. I think there’s a fear. I think he’s afraid.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","03:16"
"Laura Ingraham","Are they afraid that Oregon could be in play because of people’s concern about law and order?","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","03:20"
"Donald Trump","I don’t know. No, I think that like the Mayor Wheeler, I think he’s probably afraid for his life. Because if you would have seen him… But I’ll show you, had this on NBC news put on and they didn’t have the people shouting, they had him standing there, and they talked about how it was a show of great unity. The mayor standing with the people. Those people were going to kill him. They were saying things that I can’t repeat right now, but horrible things. But they didn’t put that on. I actually happened to see the real tape on Fox. He escaped with his life, and yet he doesn’t want any help. It’s so unfair to the people of Oregon. We could solve that problem quickly. Like I did in Kenosha. You know, Kenosha went through three or four days of that. You wouldn’t have a Kenosha right now. We demanded that they send in the National Guard. Called the governor. And in all fairness, the governor did it. Not enough, but it was enough to put it out. And we ultimately put in where we had 1,000 people and we put it out quickly. You wouldn’t have Kenosha right now.","https://www.rev.com/blog/transcripts/donald-trump-laura-ingraham-interview-transcript-august-31-says-people-in-the-dark-shadows-controlling-biden","Donald Trump Laura Ingraham Interview Transcript August 31: Says People “in the Dark Shadows” Controlling Biden","03:26"
