"speaker","transcription","url","headlin","timing"
"President Donald Trump","Thank you very much. It’s great to be in Lumberton. And I’ll tell you, we have a lot of friends here. They said, “Please stop by.” We said, “Let’s do a quickie.” We’re on our way to Wisconsin and Ohio. We have some rallies, but we wanted to stop. I have a lot of friends in this group, so thank you very much. And 10 days from now, can you believe it? 10 days, 10 days, it seemed like it would never happen. Right? Four years, 10 days, we’re going to win the State of North Carolina for more years in the White House. At the debate this week, the American people a contrast between a 47 year career politician who’s seen better days. Had to use public office and really has used public office to enrich himself. You see that, right? And a businessman who entered public service. Believe me, with me, it’s only a loss of money. I did this and I did it gladly because nobody has ever done what we’ve done in the last four years when you look at it. Nobody’s been able to do it.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","00:00"
"President Donald Trump","For the last half a century, Joe Biden’s been outsourcing your jobs, opening your borders and sacrificing American blood and treasure and endless and ridiculous foreign Wars. I fight for the middle class and Biden and his cronies serve only one class. They serve the donor class, believe it or not. Now in all fairness to the donor class, I would be the greatest in history. All I have to do is call them, send 10 million, send 10 million. Everyone would send 10 million. But once you do that, you can’t deal with them anymore. Once you do that, you can no longer do what’s right for you. And it’s just one of those little things. In 2016, North Carolina voted to fire this depraved political establishment and you elected an outsider as your president, happened to be me. And we’re putting American… I love the sound of that drum, that sound. That’s why I’m here. That’s why I’m here. That’s why I’m here for these people.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","01:52"
"President Donald Trump","You didn’t think I’d come, did you? Huh? They didn’t think, because you haven’t been treated well for a long time. You haven’t been treated well, but now you’re being treated well. You work hard. You raise your families, you follow your laws, you support your church. You serve your community and you give your love and your loyalty to your country. But now you finally have a government and a president that is loyal to you. Joe Biden’s allegiance is due, his donors, and my allegiance is to the people of this country. That’s it, that’s it. In every meeting and every situation in dealing with every foreign leader, I am your voice and together, we are the voice of a great country. We are the voice of the United States of America. And we are respected again as a country, not like in the past where everybody took advantage of us. We are the voice for every citizen who has been neglected, abandoned, ignored, and forgotten. And maybe that’s another reason I’m here, because this is a group that has been forgotten.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","02:59"
"President Donald Trump","On November 3rd, we will ensure the forgotten men and women of our country are never forgotten again. And I said that four years ago. I said that four years ago and they said, ” Where are all these people coming from?” And by the way, just a little sacred, you got to see all the people that have voted. They haven’t figured it out yet, the fake news. Check out what’s going on in Florida. Check out the numbers. I’m not talking about the polls. The polls, although we have some good polls too. But they’re the hottest ones. Is that sun hot or what? I’m going to be a lobster. You mind if I cut this one at about one-third, because I’m going to be one hell of a sunburned person. Is there anybody who has some sun protection for your President? This is beautiful. Oh man. I said if I can stay out of the sun, always use sunblock. Hey, always use sunblock, and here I am. That’s really brilliant. With your vote, we will continue to bring back your jobs, lower drug prices, cut your taxes, continue to cut regulations. Even more important than the taxes. You know, you got the biggest tax cut in the history of our country. I got it for you. You also got the biggest regulation cut in history and you want to know the truth. This is probably the reason we’re so strong. We’re coming back stronger than anybody that… They’re going crazy. This is not a V anymore. It’s a super V. What till you see the numbers that are coming out? You support our police, protect your Second Amendment, defend our borders. And assure more products are proudly stamped with that beautiful phrase, Made in the USA. Made in the USA. Been a long time since you’ve heard that.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","04:15"
"President Donald Trump","When I was growing up, you’d have a car made in the USA, made in America and you were very proud of it. Other countries used to take a dollar bill, and they’d put it on the window of their car. Just a dollar bill, because they were proud of it. Now we’re proud of it again. Now we’re proud of it again. It’s true. I have a friend from a country in Europe that used to take it a dollar bill. Everybody took a dollar bill and they put it in there because they wanted to know it was made in America. Then we lost that pride. We lost it, but we’re getting it back at a level that nobody would have thought possible.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","06:19"
"President Donald Trump","Remember when I first started campaigning, the department stores wouldn’t use the word Merry Christmas. Those words, Merry Christmas. They’d say happy new year, everything would be in red and snow and all this stuff, but did say happy new year. And I said, “They will soon start saying Merry Christmas again.” Now they’re all saying Merry Christmas again.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","06:58"
"President Donald Trump","We will deliver record prosperity, epic job growth.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","07:19"
"Speaker 2","Four more years, four more years.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","07:36"
"President Donald Trump","I just watched Biden making a speech. And he goes, “Oh, oh, thank you for everybody. Thank you.” People in cars. I don’t get it, they’re in cars. There were so few cars. I’ve never seen an audience like this. And he’s going, “Oh, thank you. All those people out there.” There’s a few cars. And the cars weren’t in a little circle. They were too close together I think. They weren’t socially distanced. But I there was so few of them, it didn’t matter. No, but he’s going like this. And then the… I’ll tell you his partner, the media, they made a mistake, a tragic mistake. They showed the crowd. It was a disaster. They was screaming, “Don’t do it. Don’t do it. Don’t show the crowd please.” We love to show the crowd. My problem is they never show the crowd. They never show the crowd. You just made it. I’m watching, I just can’t… You should watch. You should watch it because you’re supposed to learn. You can’t watch. It’s not watchable, but he’s going like this, “Thank you. All those people out there. Thank you very much. Thank you.”","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","07:37"
"President Donald Trump","Actually I didn’t think he had that kind of sense in him to do that, to be honest. I was surprised he did that actually. They showed it, it was a tiny, tiny little crowd. You heard a couple of horns, honk, honk. The weirdest thing, you might get a speech and get people honking. I like the drum behind me. Because that really represents something. Look at those women, they follow me all over the place. Look at them back there. See those women. They’re very wealthy women from North Carolina. And I saw them two rallies ago. This isn’t a rally. This is a get together with friends of mine.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","08:50"
"President Donald Trump","And I saw them two rallies ago in North Carolina. You have a big state. This was seven hours away from where they live. They live in a very wealthy area, I suspect. But there were 10 of them and they follow. And I said, “How many is it so far?” They said, “61.” I said, “You mean, you’ve gone to 61 rallies.” And then the last time we saw them, two nights ago, they were with their husbands. It can’t be that easy to be married to them if they’ve got to follow 61. So I gave their husbands tremendous, where are their husbands? Two of their husbands are right there. Two of them, we have a good time, right? We have a good time. You have great wives. You have great women. They’re great women. Thank you very much. It’s always an honor. We have a lot of people. They follow. I hate to say this.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","09:38"
"President Donald Trump","We have somebody, he comes in in a brick shirt, did you ever see these guys have brick? Because the wall is almost complete, can you believe it? But the brick represents the wall. I’d mention who is paying for the wall, they like to have you say no, no. Once it was complete. Once they knew the wall, oh we can’t talk about the wall anymore. Then they said, “Ah, oh, listen, but Mexico’s not paying for it.” No, they are paying for it. Totally. They don’t know what the hell to do. It’s just one of those things. They don’t know what to do. Anyway, but we are honored to have you all. Great friends, some great friends right here. We appreciate it. This election is a choice between a Trump super recovery a Biden depression. Okay? Oh, by the way you look at Ohio tonight? Ohio and Wisconsin. Ohio, you should hop a plane. Come on.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","10:25"
"President Donald Trump","Maybe we’ll take them on Air Force One tonight, husbands. We’ll leave you behind. It can definitely carry them, that’s for sure. One thing about Air Force One, there’s always plenty of room. That plane is the largest plane. It’s probably got more television sets in Air Force One than that at any department store in the country, I suspect.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","11:20"
"President Donald Trump","But it’s a choice between a Trump super boom and a Biden lockdown. Did you hear him the other night? It’s going to be a cold, dark, winter. Very inspiring guy. He’s very inspiring. I even said, “Whoa, whoa.” Now we got to have spirit, our country. We’re coming back. We’re rounding the turn, we’re doing great. Our numbers are incredible. And despite the fact that they’re keeping certain states, North Carolina, get your Governor to open up your state, please. This guy should be defeated.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","11:41"
"President Donald Trump","I think they’re going to be voting for Dan, your Lieutenant Governor. I think they’re going to be voting for Dan. You got to get your Governor to open your state. Got to get him. This is crazy what’s going on here. And you know what they’re doing. They’re keeping it open until the election, because they think that there’ll be less business. So I’ll report worse numbers, but the numbers are so good. The Fed, Atlanta Fed, I guess. I think it was the Atlanta Fed said they think a GDP, 35%. Now who knows? I’d take 20 right now. I’d take 15 right now. Nobody’s ever heard of 35. They predicted just two days ago a 35% GDP. Nobody’s ever heard of that before. There’s never been.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","12:16"
"President Donald Trump","I think the record is 7% or 8%, right? So we’ll be at 35. I would say that’s not doing too bad. I would not put Joe in charge, because you will come crashing down because he wants to raise your taxes massively. How about the other night of the debate. He was doing okay. He was doing okay. He was doing… And then the last question I said, “You mean you’d get rid of oil?” He said, “Yes, I’d wean ourselves off of oil.” I said, “We just won Texas. We just won Pennsylvania. We just won a lot of different places. And then they spent the next two days trying to convince you that he didn’t really mean that. Nah, Joe is not what you need. I know. I know what you need. I know what you need. You need Trump, you need Trump. I know what you need.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","13:00"
"President Donald Trump","We’re making such deals. Even as an example. That’s all right, don’t worry about it. Listen, even as an example, we got off that crazy Iran deal, right? The Iran nuclear deal, where Obama gave them $150 billion for the privilege. We’re making deals in the Middle East. They’re signing up like hotcakes, right? No blood in the sand. No nothing, no wars. We just signed yesterday Sudan. So we have Bahrain. We have United Arab Emirates led by a great leader, a great warrior. And we have many others right in the back. Can you imagine if somebody else had to take over the negotiations of the Middle East deal, that would be the end of it. You can say bye-bye Middle East peace. They’ll spend a thousand times more money and they wouldn’t get it done. We’re spending nothing. We’re getting them to be smart. They don’t want to fight. They fought so long. Even though a lot of them are warriors, they’re tired. You get tired of fighting.","https://www.rev.com/blog/transcripts/donald-trump-lumberton-nc-rally-speech-transcript-october-24","Donald Trump Lumberton, North Carolina Rally Speech Transcript October 24","13:58"
