"speaker","transcription","url","headlin","timing"
"Donald Trump","Well, thank you very much. We have the tourism industry executives, the biggest anywhere in the world. These are the great ones, and they’re going to say a couple of little words pretty soon, I think, we’ll talk about their company quickly and the number of employees, and what’s happened since the Chinese virus came about, and they’ll be discussing that. So we’re join this afternoon by the true leaders of our nation’s travel, hospitality and tourism industries, and I want to thank you all for being here. I’ve known many of you for a long time. Great people. I want to thank vice president Pence for his tremendous leadership on the task force. He’s done a great job, and thanks also to secretary Mnuchin over at the Hill. They’ve been working and Wilbur Ross, and everybody basically, they’re all working. We’re all working very hard. We’re profoundly grateful to all of the companies and organizations here today representing tens of thousands of American workers, and really representing something so important.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","00:00"
"Donald Trump","It’s a place to stay when they come to our country. Such a big business. One of the biggest businesses. And thank you for adopting additional protocols to keep Americans healthy, including enhanced cleaning processes throughout your hotels and buildings. We know that your industry is among the hardest hit by the economic impact of the virus. Our goal is to beat the virus, and we will, we call it the hidden virus, the hidden enemy, with aggressive action now, so that we can rebound stronger than ever before, and that’s what we’re doing. And everyone’s cooperating. We’re really getting tremendous spirit, the Republicans are getting along with Democrats, and a lot of good things are happening. Yesterday we issued new guidelines for how all Americans can minimize their risk of exposure, and stop the transmission of the virus. My administration has taken decisive action to support American workers, and businesses. We love our workers. We love those workers. They’re incredible. And we’re going to come out stronger than ever before, and it’s not going to be so long. The IRS will defer tax payments for effected individuals and businesses.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","01:01"
"Donald Trump","Today, the Senate has taken up legislation to provide for free testing, and that’ll happen, paid sick and family medical leave and nutritional assistance for the vulnerable, we’re announcing, and we will be announcing again later on, that we’re working with Congress to provide rapid relief for affected workers in industries. And this will allow us to emerge from the strongest economy on earth, because we had literally the strongest economy on earth. And now this is in, as of last count, over 124 countries, I understand. 124 countries, unbelievable. But we’ll emerge, I really believe we’ll emerge stronger, because we’ll be doing things differently than this country’s done them in the past for many, many decades. And we’re deeply committed to ensuring that small businesses have the support they require, the Small Business Administration announced disaster loans, which provide impacted businesses with up to $2 million. And we’ve asked Congress to increase the SBA lending authority. We’re going to be going up to 50 billion, and actually much more than that for small businesses. So there’ll be help. In your cases, they’re very big businesses, but it’s a lot of employees, and so we appreciate it very much.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","02:09"
"Donald Trump","We appreciate your being here, and maybe in front of the media, you could say a couple of words about your companies, and the number of people that you employ. I pretty much know every one of you in that respect. It’s a lot of people, and they’re great companies. Please.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","03:27"
"Chris Nasetta","All right. Hi, I’m Chris Nassetta. I am CEO of Hilton, and we have 6,000 hotels around the world, about 4,500 hotels in the great United States of America. We employ globally about 450,000 people, about 260,000 people here in America. Mr President, on behalf of everybody, I’m sure you’ll hear this from others, we appreciate you having us here. We appreciate all that you’re doing today to keep all of us safe, and secure first, and working on trying to secure a good future for the economy, as you point out that was quite strong, but obviously being impacted by this, Vice President Pence, to you and all others that are working on this day and night, we appreciate it. As the president pointed out, we’re one of the biggest industries in the country, we’re one of the biggest employers in the country.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","03:41"
"Chris Nasetta","And our industry as you will hear from others has been impacted in a devastating way. I’ve personally lived through many crisis starting with the SNL, the 9/11 crisis, the great recession. I’ve been doing this for 35 years, never seen anything like it. And so we’re hoping to have a constructive dialogue about how we protect the small businesses that make up the bulk of this industry, and how we protect the people on the front lines of this industry that number five billion people that at this point, given what’s going on in our industry are in harm’s way.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","04:33"
"Donald Trump","And tell me, so you’re in many countries, and how are you doing in other countries? Some are in very, very bad shape.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","05:08"
"Chris Nasetta","I was looking at our numbers for last night, it is strikingly similar everywhere in the world. If you look around the world, within, I would say just a few days or maybe a week, we will probably be running 10 to 15% occupancy.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","05:14"
"Donald Trump","And that’s pretty much all over the world.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","05:33"
"Chris Nasetta","That’s everywhere in the world. It’s a little bit better here, but catching up. If you look at the major cities around the United States, they’re running in the single digits, which means, for the first time in a hundred years, Hilton has been around a hundred years, we’ve never closed a hotel that wasn’t going to be demolished for rebuilding, the bulk of our hotels in the major cities are closing as we speak.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","05:35"
"Donald Trump","Well, we’ll get it open soon and we’re doing a Yeoman’s effort. I think we’re going to be very successful. You’ll be back in business soon. But we have to keep your employees going. And the businesses going.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","05:57"
"Chris Nasetta","We do. That’s our first priority.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:09"
"Donald Trump","And we will be able to do that, Chris, thank you. But all over the world it’s a disaster.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:11"
"Chris Nasetta","All over the world it’s a disaster. There’s not one part of the world that’s not getting severely impacted.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:16"
"Donald Trump","Yep. Thank you very much. Please.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:19"
"David Kong","Mr. President, Mr. Vice President, Secretary Ross, thank you for taking the time to see us, and thank you for everything that you are doing.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:22"
"Donald Trump","Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:27"
"David Kong","We very much appreciate it. I’m the president and CEO for Best Western, and also World Hotels. We have about 5,000 hotels around the world, half the hotels are in the United States. We employ tens of thousands of employees in our company. As Chris has already alluded to, This is a very difficult time, and very challenging times for us. Just today on a call with one of our franchisees, he was lamenting that although he owns about 10 different hotels, and different brands, and some with us and some with other brands, he was lamenting, I’m going to lay off hundreds of people in his company, some of them have been with them for 20, 30 years and he was really concerned about their livelihood, and their safety net, and the other thing that he mentioned was if the government can help with liquidity, and access to capital, that would be of great assistance, and he specifically mentioned that his loans were swap loans and therefore there are severe penalties if you finance. And so if there’s any way to alleviate that burden-","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","06:29"
"Donald Trump","With the banks.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","07:34"
"David Kong","That would be most grateful.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","07:35"
"Donald Trump","Yeah. We’re dealing with the banks too. The banks have been very accommodating. They will be. I think they will be.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","07:36"
"David Kong","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","07:42"
"Donald Trump","Thank you David. Appreciate it. Please.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","07:43"
"Arne Sorenson","Arne Sorenson, CEO of Marriott. Thanks for giving us your time this afternoon, and appreciate the leadership of all of you as we go through this crisis. I don’t need to repeat much of what’s been said. We think we have about 750,000 people that wear our name badge around the world every day. Probably about two thirds of those in the United States.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","07:45"
"Donald Trump","How many hotel rooms now, worldwide?","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","08:04"
"Arne Sorenson","1.4 million, just shy of 1.4 million hotel rooms. And as you know, the business is made up of hotels we run, often hotels are owned by other investors, but we will operate them. And then also by franchise operators. And they are typically owner operators. They might range from a Fairfield Inn in a suburban or rural market all the way up to a Ritz Carlton or a St. Regis someplace. And you asked about the globe. In January, of course this all starts in China. Business falls by 90%.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","08:05"
"Donald Trump","And this all started in China.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","08:37"
"Arne Sorenson","All started in China.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","08:39"
"Donald Trump","That’s where you first saw the problem, and it’s where you first got hit.","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","08:40"
"Arne Sorenson","Absolutely. Third week in January, and within a week-","https://www.rev.com/blog/transcripts/donald-trump-meeting-transcript-with-tourism-industry-reps-amid-coronavirus-pandemic","Donald Trump Meeting Transcript with Tourism Industry Reps Amid Coronavirus Pandemic","08:42"
