"speaker","transcription","url","headlin","timing"
"President Trump","Police representatives in the country here, maybe the best, I would say. Pat, what do you think? The best. Representing more than 240,000 of our nation’s courageous police officers. I want to thank the association president and a friend of mine, Mick McHale, who has been tremendous. Who I call on occasionally to say, what the hell is happening in a certain location and he gives me the advice and I was very honored to receive the endorsement. That was a great endorsement. We very much appreciate it Mick. The entire leadership team is here today, representing large portions. What would you say the percentage of police in the country are represented in this room? Big portion.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","00:11"
"Mick Mchale","Yes, sir.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","00:54"
"President Trump","Very big portion. I appreciate it. Also, I want to thank our Vice President, Mike Pence. He’s been very involved in a lot of issues, but this issue is one of his very important ones. I think we can say Mike, right?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","00:55"
"VP. Mike Pence","Thank you Mr. President.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","01:05"
"President Trump","We’re here to discuss the unwavering support of our nation’s courageous police officers and our determination to defend the safety of all Americans. I just spoke on Portland. I just spoke with Chad Wolf who’s doing a fantastic job at Homeland and the courthouse is totally secure. It has been ever since we’ve been there. We had to move in about a week and a half ago because they were going to take down the federal court house. This is not even believable. You tell these stories, it’s not even believable. Homeland Security moved a team of very talented people, strong, tough people. And the courthouse has been in very good shape. They’re not an offensive team, they’re a defensive team. They’re not allowed to be offensive, unfortunately. And you had radical anarchists. You had horrible people. You had agitators.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","01:07"
"President Trump","There weren’t protesters, they might’ve been protesters, but the ones that were the problem were absolute anarchists and in many cases, professionals. So a lot of people have been arrested and we’ve told the mayor, we told the governor, you better get in there and do your thing. And they finally, after… they should have done the 60 days ago, a lot of people have been hurt and a lot of law enforcement people have been hurt and they should have done this 60 days ago. So now they freed up the park, cleaned out the park and they’re moving their way in. And if they have any other problems, we’re going to take a very strong, offensive force. Nothing started because the federal government was there. In fact, if we weren’t there, you would not have a courthouse right now. The media, some of the media, not all of it, but some of it, they are saying that because the federal government walked in, they became worse. No. Because the federal government walked in we saved the US courthouse, the federal courthouse, which was a magnificent, it will be shortly.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","01:58"
"President Trump","But there’s graffiti all over it and everything else. That’s why we moved in because the local police were not protecting federal property. So Homeland Security has done a fantastic job. I appreciate it. Chad Wolf and the entire team have been fantastic. And it seems to be cleaning up. And if it doesn’t clean up, we’re going to do something very, very powerful because we have no choice. Not that I want to do it. I don’t want to do it, but we have no choice. In recent weeks, law enforcement has become the target of a dangerous assault by the radical left. The left wing extremists have spread mayhem throughout the streets of different cities. In particular, Portland. If you look, Portland is one. Seattle, certainly would be another. And we were getting ready to go into Seattle. We would have solved that problem very quickly.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","02:57"
"President Trump","When they heard that we were going in, they went in and by that time, the anarchist were exhausted and they just raised their hand. They were exhausted and tired and they had a lot of drugs and a lot of alcohol and they just gave up. They just raised their hands. They were sleeping there long enough. They took over actually a piece of Seattle, if you can believe that. Seattle being a major city and they took over a piece. So we were ready to go into Seattle, everyone knows that. We were going to go in with force and we didn’t have to because the day before we were going in, and we let them know. The day before we were going in this is what happens. They went in and the anarchistic and agitators gave up and they gave it back. Joe Biden’s pledge to cut police funding, you do know about that, Mick.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","03:44"
"Mick Mchale","I do, sir.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","04:34"
"President Trump","You’ve heard [inaudible 00:04:36]. This guy has been dragged so far left. Biden has been taken further left than Bernie ever was. Bernie was never this. I mean, totally opened borders and the sanctuary city stuff that… he’s approving things that Bernie never thought of. It was supposed to be they were going to take them right. They took Biden way left of where Bernie was because they have the manifesto. I don’t know. Have you seen the manifest or they’ve got? Now I understand they can’t get any police in Milwaukee because you’re not allowed to use pepper spray or tear gas, because if you have cramps, but I don’t think there’s any other way, other than the obvious way, which would be horrible. And that’s shooting itself, which would be horrible. But I don’t know how you can control a crowd if the crowd is… if that crowd’s anything like what you have in Portland, there’s no way you could possibly do it without your tear gas and pepper spray. Pat, would you say that’s a correct statement?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","04:35"
"Pat","I agree. You have to control the streets. You have to do it fairly but you have to do it.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","05:30"
"President Trump","That’s pretty amazing, right? So you have no police that want to go to Portland because they know they can’t do their job. You have to give them the equipment to do the job. That’s incredible. They’re not going to go to Milwaukee. So what’s going to happen in Milwaukee, Mick? What do you think?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-law-enforcement-leaders-transcript-july-31","Donald Trump Meeting With NAPO Law Enforcement Leaders Transcript July 31","05:34"
