"speaker","transcription","url","headlin","timing"
"Prime Minister Benjamin Netanyahu","So, thank you. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","00:00"
"President Donald Trump","Thank you very much. Fantastic. Now we look forward to being outside. Yes, please. Any question?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","00:01"
"Speaker 3","[crosstalk 00:00:08]. This is a great event and these are tremendous achievements and we know that Israel is getting a lot. What is Israel giving back?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","00:12"
"Prime Minister Benjamin Netanyahu","This is the Israeli press that wants to chip away at this. [crosstalk 00:00:23].","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","00:15"
"President Donald Trump","Well I think what really Israel is getting… I think what Israel is getting and what we’re all getting, but what Israel is getting more than anything else is peace. They’re going to have peace. As you know, UAE, United Arab Emirates, is a great warring nation, a very powerful nation in the region, and they very much wanted to do this. Muhammad’s a tremendous leader like Bibi is a tremendous leader and it was important to have them first, very early. And the relationship is fantastic and a lot of people are surprised to see it. And as you know, we have Bahrain and we have many nations ready to follow, many nations. I can’t, no, not now. I won’t, but you’ll see and we’ll be signing up other nations. And these are very strong agreements. These are very strong. This is really peace. This is serious peace. And so I think what Israel gets, the most important thing that they’re getting by far is peace. [crosstalk 00:01:24]. Excuse me. One at a time please.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","00:23"
"Prime Minister Benjamin Netanyahu","Take the other one.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","01:25"
"President Donald Trump","Who? Which one?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","01:28"
"Prime Minister Benjamin Netanyahu","See the one in the white. One in the white.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","01:29"
"President Donald Trump","In the white. Go ahead.","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","01:32"
"Speaker 4","Yes, thank you. Is it possible to know which countries will be following the [crosstalk 00:01:40]?","https://www.rev.com/blog/transcripts/donald-trump-meeting-with-benjamin-netanyahu-transcript-september-15","Donald Trump Meeting with Benjamin Netanyahu Transcript September 15","01:36"
