"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much. Thank you. Whoa, what a crowd. Oh, what a crowd. I’ve been here many times. I say we want car plants built here. We’re building a lot of them. We’re building a lot of them. Well, hello, Michigan. Great to be with you. Great. Special place. It’s great to be back in this incredible state with thousands of loyal, hardworking American Patriots. We’re all Patriots. 17 days from now, we’re going to win this state of Michigan. We’re going to win four more years in the White House.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","00:20"
"Donald Trump","I’d like to speak with you today about one of the most vital issues in this race. You know what it is? It’s the radical left’s plan to erase American history, purge American values, and destroy the American way of life, and that’s what they’re trying to do. You see it every day. That’s what they’re trying to do. We’re not going to let that happen.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","01:01"
"Donald Trump","This election will decide whether we preserve our magnificent heritage or whether we allow far left radicals to wipe it all away. That’s not going to happen. Joe Biden, sleepy Joe, has made a corrupt bargain in exchange for his party’s nomination. He has handed control of his party over to the hardcore militant left. You know that. You see that every day. The Democrat party you once knew, just no longer it exists, right? This is not the same party. These people are crazy. It’s now the party of socialists, Marxists and left wing extremists. If Biden wins, the lawless demonstrators in our streets, that are around Democrat run cities and state, not Republican run. These are Democrat run and we want to go in and we want to help them. And largely they don’t want to be helped. It’s an incredible thing, but they’re all over our streets and these areas will be ended. We want to end it. We want to end it.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","01:25"
"Donald Trump","And you know, in theory, they’re supposed to say, please come in. They don’t like to say it. Minneapolis, they said it. We went in and boy did that take about what, 30 minutes to solve that problem? And that’s why we’re going to win Minnesota. Hasn’t been won since 1972 by a Republican. We’re going to win Minnesota. Of course, having people like Omar doesn’t hurt either. Omar, Ilhan Omar. She doesn’t love our country too much. I don’t think so. They crave power and God help us if they ever did get it. God help us. I can tell you that. You just have to look all over the world at different places. God help us.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","02:33"
"Donald Trump","This election day, the people of Michigan must stop these anti-American radicals by issuing Joe Biden and his group a thundering defeat at the ballot box. And by the way, it seems to be happening. Seems to be happening. Seems to be happening. I don’t want to speak too early, but you know, there’s a big story out right now. Do you know that? Do you know about it, right? You know, we’re supposed to be way behind you until election day when all the Republicans go and you’re going to have a red wave like you’ve never seen before. And even the fake news media saying that we’re going to have a wave. We’re going to have a wave like you’ve never seen before, but we’re supposed to be way behind for the first few days.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","03:19"
"Donald Trump","So it just came out. We’re leading. What’s that? Early voting. But let’s not talk about it. You know they call that an early maybe signal, right? Maybe. Who knows. But there’s a lot of concern going on out there. This sounds like a little bit like four years ago, but this should be much bigger because we’ve done everything we said and more. We’ve done it all. In your case, we brought your plants back.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","04:06"
"Donald Trump","Do you remember 12 years ago or so I got Man of the Year in Michigan. I said, “Well, that’s nice.” I came to Michigan and I made this speech like why are you allowing them to take your automobile business, your car making business? Why are you allowing them to take it to Mexico and Canada and every place else? Why are you allowing? I made this big deal. I actually got blasted for it. They named me Man of the Year and I’m complaining, right? But no, it’s probably why I’m here. It’s probably the number one thing what they were doing to us [inaudible 00:05:07]. But now Michigan has many, many factories. You didn’t have a factory built for 40 years. Now you have many factories being built, already built. And a lot of them being expanded. It’s a whole different ball game. A whole different ball game.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","04:39"
"Donald Trump","And they come in from Japan. I’ll tell you, he just a retired, a great man. Prime Minister Abe. And I said to him, six months ago, I said, “Mr. Prime Minister, you got to get us some more factories. You’re selling cars to us. We’re not taxing you. You know, a lot of crazy policies, but you got to get us.” And he said, “Well, this is a thing for companies.” I said, “You have great power.” He said, “Well, the government doesn’t get involved.” “You got to do it.” And he said, “Well, we will look into it.” Next day, they announced five factories coming in. [inaudible 00:05:57] And he was a great Prime Minister and a great guy and he’s a friend of ours. And he was forced. He had a medical difficulty, but I’ll tell you what, what a fabulous guy. But we had, I mean, what you’re doing in Michigan has been amazing.","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","05:26"
"Donald Trump","Now you got to get your governor to open up your state. Okay? And get your schools open. Get your schools open. The schools have to be open, right?","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","06:12"
"Audience","Lock her up! Lock her up! Lock her up!","https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17","Donald Trump Michigan Rally Speech Transcript October 17","06:36"
