"speaker","transcription","url","headlin","timing"
"Speaker 1","USA, USA, USA, USA, USA, USA, USA, USA.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","00:06"
"Donald Trump","Well, we won Pennsylvania last time and we’re going to win it by a lot more this time I can see. Because four years ago we had a lot of enthusiasm, but we have more now. Even the fake news will admit that. They [crosstalk 00:00:23]. There’s more than we’ve ever had.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","00:08"
"Donald Trump","Hello Pennsylvania. Thank you very much for being here in the rain. As we stand together in the rain, it’s supposed to bring luck and we’ll take it. Ah, my man. I just came from the Rose Garden of the White House. Thank you very much, and I love you too. I do. Thank you. Or I wouldn’t have done this. I wouldn’t have done it.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","00:27"
"Donald Trump","But we’re doing well. Our country’s going to be stronger than ever before very soon. You watch. It’s happening. It’s all happening beautifully. It’s happening. We had to close it down. We saved millions of lives. We opened it up and we’re doing record kind of numbers, and we’re going to have the best year and we’re going to have a great third quarter, so thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","01:12"
"Donald Trump","I’ve just come from the Rose Garden of the White House, where I proudly nominated Judge Amy Coney Barrett to the United States Supreme Court. Judge Barrett is a brilliant legal mind, an extraordinary scholar. You know that. Number one in her class. You know the professor, one of the most respected people, he said the greatest student he’s ever had. That’s pretty good. That’s a little better than Biden, wouldn’t you say? She should be running for president instead of …","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","01:39"
"Donald Trump","Now it’s a little bit better, academically, slightly better. Most important of all, she will defend your God-given rights and freedoms. She will. Judge Barrett would become the third Supreme Court justice along with over 300 … think of this. This is our third domination. We have Justice Gorsuch, Justice Kavanaugh, and now we have Amy, along with over 300 federal judges by the end of this term. We’ve confirmed to uphold our laws and constitution as written, and that’s a record.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","02:15"
"Donald Trump","Joe Biden has refused to provide his list because the names will be handpicked by socialists like Representatives Alexandria Ocasio-Cortez, AOC plus three and Ilhan Omar. That’s a great one. She’s a great one. Always complaining. She’s always complaining. Came here, things worked out for her. How did she come here? Does anybody know how she came here? AOC plus three. That’s a beauty. That’s a group of real … They love our country so much.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","02:54"
"Donald Trump","They’ve given power. The far left will pack the Supreme Court with radicals who will terminate the second amendment. That’s what they want to do, strike the words under God from your Pledge of Allegiance, tear down crosses from public spaces and force taxpayers to fund extreme late-term abortion. That’s what they’re looking to do.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","03:32"
"Donald Trump","These left-wing justices will cripple police departments, protect sanctuary cities and declare the death penalty unconstitutional for even the most depraved mass murders. It’s unconstitutional. We will save your second amendment and together we will save our country, and that’s what we’re doing.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","03:56"
"Speaker 1","USA, USA, USA, USA, USA, USA, USA, USA.","https://www.rev.com/blog/transcripts/donald-trump-middletown-pa-rally-speech-transcript-sept-26-first-rally-after-scotus-nomination","Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","04:18"
