"speaker","transcription","url","headlin","timing"
"Mike Pence","(singing).","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","00:00"
"Mike Pence","Well, hello Minnesota. It is great to be back in the North Star State. Thank you for that warm welcome. But I’m here for one reason, and one reason only, that Minnesota and America need four more years of President Donald Trump in the White House. Like all of you, I’m here because I stand with President Donald Trump. When this president stands up for American workers, from the cities to the Iron Range, I stand with President Donald Trump. When this president stands up for faith, and freedom, and the American flag, I stand with President Donald Trump. And when this president stands up to the radical Democrats in Congress trying to overturn the will of the American people with endless investigations and partisan politics, we stand with President Donald Trump.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","00:17"
"Mike Pence","You know what began four years ago has grown into a movement, a movement of everyday Americans from every walk of life. All of you believe we could be strong again. You believe we could be prosperous again. America said yes to president Donald Trump in 2016, and Minnesota, I know you’re going to say yes to four more years of president Donald Trump in 2020.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","02:04"
"Mike Pence","When you think of the last three years, there’s only one way you can describe it. It’s been three years of action. It’s been three years of results. It’s been three years of promises made and promises kept. But we’re just getting started, Minnesota. I mean, think about it, this president promised to rebuild our military, and President Trump has signed the largest investment in our national defense since the days of Ronald Reagan.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","02:43"
"Mike Pence","He promised to stand with our veterans and give our veterans access to the real-time world-class healthcare that you earned, we reformed the VA, and Veterans Choice is now available for every veteran. And this president promised to secure our border, we made historic investments in border security. Apprehensions on our Southern border are already down by 60%. And we’ve already started to build that wall on the Southern border of the United States. We’re doing it.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","03:29"
"Crowd","Build the wall. Build the wall. Build the wall. Build the wall. Build the wall.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","04:14"
"Mike Pence","Oh, we’re building it.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","04:25"
"Mike Pence","And President Trump promised to appoint principled conservatives to our federal courts at every level. And at last count, he’s appointed 180 men and women who will uphold the God-given liberties in our Constitution, like the freedom of religion and the Second Amendment right to keep and bear arms. And this president promised, he promised to stand with the men and women of law enforcement at every level. And we’ve done just that. As the Cops for Trump know, Trump’s for cops.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","04:28"
"Mike Pence","And finally, President Trump promised to revive the American economy, he cut taxes across the board, we rolled back red tape at a record level, unleashed American energy, and Minnesota’s economy is booming. It’s true. Since Election Day 2016, 6.4 million new jobs have been created by businesses, large and small. Unemployment’s at a 50-year low, and there’s more Americans working today than ever before in the history of this country.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","05:17"
"Mike Pence","On one promise after another, President Donald Trump delivered. And thanks to the president’s leadership and our strong conservative allies in Congress, like Congressman Tom Emmer, Congressman Jim Hagedorn, Congressman Pete Stauber, we’ve made America great again. It’s true. But to keep America great, we need you to decide right here and right now that Minnesota is going to vote for four more years of President Donald Trump in the White House.","https://www.rev.com/blog/transcripts/donald-trump-minnesota-rally-speech-transcript-minneapolis-mn-rally-october-10-2019","Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","06:07"
