"speaker","transcription","url","headlin","timing"
"Savannah Guthrie","It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","03:50"
"Speaker 1","This is an NBC news special presentation of Today with Savannah Guthrie.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","04:35"
"Savannah Guthrie","Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","04:40"
"President Trump","I’m feeling great, I don’t know about you. How is everyone feeling?","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","04:48"
"Savannah Guthrie","With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","04:51"
"President Trump","It’s great to be back in my home state, Florida, to make my official return to the campaign trail.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","05:00"
"Savannah Guthrie","With just 19 days to go, the President makes his case.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","05:06"
"President Trump","My goal is to fight for you and fight for your family.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","05:10"
"Speaker 1","From NBC News, Decision 2020, President Trump Town Hall. Live from the Perez Art Museum in Miami, here’s Savannah Guthrie.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","05:16"
"Savannah Guthrie","Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.","https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15","Donald Trump NBC Town Hall Transcript October 15","05:28"
