"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you, thank you. What a nice group, and thank you Marianne. I think you like Marianne a lot. I was listening. I said, “Who’s out there that they like so much?” It was Marianne. Please sit down. Please. Before I begin, I want to send my warm wishes to the great people of Tennessee in the wake of the horrible, very vicious tornado that killed at least 19 people and injured many more. We’re working with the leaders in Tennessee, including their great governor, Bill Lee, to make sure that everything is done properly. FEMA is already on the ground and I’ll be going there on Friday. Our hearts are full of sorrow for the lives that were lost. It’s a vicious thing, those tornadoes, I’ve seen many of them during a three year period, and I’ve gotten to see the results and they are vicious. If you’re in their path, bad things happen. Really bad things happen.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","00:04"
"Donald Trump","I went to Alabama nine months ago and I saw the devastation that that left in Alabama too, and everybody was so incredible. The people were so incredible, but so many people get killed if you’re in the path. And we’ll be going, as I said, to Tennessee on Friday. We send our love and our prayers of the nation to every family that was affected. We will get there and we will recover and we will rebuild and we will help them and condolences. Tough, tough situation. It’s such bad news when you see that.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","01:09"
"Donald Trump","I’m honored to be here with the National Association of Counties at your annual legislative conference. It’s a great group of people. I’ve dealt with you for a long time over the years, and every once in a while I’ll find one I don’t like, but generally speaking you’re fantastic. And when one of you are in the way, it’s very tough to get that job done. And when you’re helpful, it’s real easy and we get it done and we produce a lot of jobs and good results, and I just want to say you’re very important. People that are doing what I do before I got here, we realize how important you are. Incredible job really. I’ve met some of the most incredible people doing exactly what you do. Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","01:45"
"Donald Trump","So, in this room there are over 1,200 county leaders whose incredible devotion, talent and drive directly and profoundly improve the lives of millions of Americans each and every day. I want you to know that my administration will always be your friend and partner and ally and resource as you work to deliver an amazing future for your counties and for your communities and for the country itself. As I said in my State of the Union address, three years ago … I’ve had a number of State of the Unions already. Can you believe it? But this was three years ago. We launched the great American comeback, and we really did. We launched it with a vigor and with a certain splash that nobody’s seen in a long time. And what we’ve done in our country has really been incredible. Our country is so strong now. We’ve rebuilt our military, we’ve cut taxes, we’ve cut regulations. You know regulations.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","02:36"
"Donald Trump","You know the regulation business. I think you know the regulation business better than any group I can think of. Now sadly, about 5% of you are saying, “Oh gee, I wish they wouldn’t have cut,” but 95% of you are saying it was redundant and it was a problem and I talk about highways that would take to get approved. It would take 18, 19, 20 years. I can give you many examples too. Not even big highways, sometimes roadways, but we’ve cut regulations at a level that nobody has ever thought possible and we’ve done it with the extraordinary help of local officials, people like yourselves that worked with us and worked with the Department of Transportation and all of the other departments that we work with. We’ve got it down to where it would take sometimes 20, 21 years to get approvals for a highway. We think we have it down to two. I want to get it down to one, meaning that it could get rejected. We have safety concerns that we have to look at. We have environmental concerns, many concerns we have to look at.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","03:40"
"Donald Trump","But to go 20 years and then get a rejection. How about that? How many of those have, where you wait, let’s say 10 years, and then at the end of 10 years they vote and they reject you? Okay. There’s been a couple. I guarantee there’s some people in the room. I’ve been involved in a couple of them. That’s not fun. You devote a big chunk of your life to something and then you lose three to two. You go home. How did you do, darling? Not good.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","04:41"
"Donald Trump","A lot of power in this room. You don’t know the power you have. Yes you do. But we’ve hosted nearly 50 White House events welcoming over 3000 county leaders from all 50 states to forge powerful new bonds of cooperation. As we speak, my administration is working very closely with state and local leaders to confront the coronavirus. We’re really working hard on it. Vice President Mike Pence is leading the White House coronavirus task force. He’s doing a really fantastic job too. We have already met with state, county and health officials in 30 states and conducted regular briefings with governors to coordinate our response and contain the disease. It just shows you what can happen. Six weeks ago, eight weeks ago, you never heard of this. All of a sudden it’s got the world aflutter, but it’ll work out. But it’s just unseen. You have it all the time. Not to this extent, sometimes to a greater extent, relatively speaking, but things happen that you never would even think would happen and then you have to confront it.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","05:09"
"Donald Trump","You have to do a lot of good work and you take care of the situation. You people do that better than anybody that I can think of. America has the world’s most advanced public health system. We know that our county health officials play a frontline role in battling public health threats and we are working with Congress very closely to pass supplemental legislation that ensures state and county health departments get everything they need. I asked for two and a half billion. It looks like they’re going to give us eight and a half billion. I don’t think that’s ever happened to me before. So I think I should say, “I’ll take it,” right? Right? I asked for two and a half, they give me eight and a half. I say, “I’ll take it.” But no, everyone’s working together very well to prevent the uncontrolled spread of the disease. I ordered sweeping travel restrictions and did them very early, as you probably have heard, earlier than people wanted me to do them and it turned out to be a wise decision.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","06:21"
"Donald Trump","We increased travel advisory levels, established screening measures and imposed historic quarantines. We urge all of you to share information about basic health and safety practices with your communities back home. CDC has all of the information. It’s listed all over and it’s a good thing to refer to, but that’s why following my remarks today, you’ll hear from Dr. Robert Redfield, the Director of the Center for Disease Control and Prevention, and they’re doing a fantastic job. They are working round the clock. America has the world’s greatest professionals working and they are working very, very hard. We’re moving aggressively to accelerate the process of developing a vaccine.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","07:21"
"Donald Trump","I met yesterday with the biggest drug companies, Pfizer and Johnson and Johnson, and many of the other great companies. A lot of good things are happening and they’re happening very fast. I said, “Do me a favor, speed it up, speed it up,” and they will. They’re working really hard and quick. We’re moving at a maximum speed to develop the therapies, not only the vaccines but the therapies. Therapies is another word for cure where you have it, it helps get the people better faster and take down the severity of the illness. And they’ve done so much. If you look at what’s happened with AIDS and the tremendous job they’ve done there. We will be, as an example, AIDS free within nine years. Nobody would have thought that was possible. They are doing a fantastic job.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","08:09"
"Donald Trump","The revival of American strength over the last three years has put our country in the best possible position to deal with this challenge. Our economy is prospering like never before. We’ve relocated supply chains back to the United States. A lot of the chains now are back in the United States. And we’ve also, as you probably have noticed, for two years I’ve been complaining about the medicines are made outside of the United States. I want them to be back here. If there’s a reason why we can’t use a certain country for lots of reasons, I want it to be made here. And we’ve already started that process before this happened. But this sort of explains why we have to do it pretty well.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","08:59"
"Donald Trump","Jobs and growth have soared in the United States at a level that’s unprecedented, historic. Also we’ve had historic new investment in our country. No country on earth has had greater power to overcome adversity. What we’ve done in so many different ways, we’ve rebuilt our military, two and a half trillion dollars. It’s wonderful to have a good budget, but if we don’t have a strong military … You never want to be in a position where you’re trying to explain to people that well, at least we had a good budget, as people are running up the front lawn of the White House. No thank you. You look over, you say, “We did a hell of a job in that budget. Should’ve spent a little more money on the military I guess.” But when I took over, our military was totally depleted. It was an embarrassment and we’ve totally rebuilt our military, most of the equipment. Much of it’s already there. New planes and new missiles, rockets, do everything. We make the greatest military equipment in the world, all made in the USA. All made in the USA.","https://www.rev.com/blog/transcripts/donald-trump-national-association-of-counties-speech-transcript","Donald Trump National Association of Counties Speech Transcript","09:40"
