"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you. Wow.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","06:54"
"Crowd","USA. USA. USA. USA. USA. USA.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","08:23"
"Donald Trump","Thank you very much. Hello, Newport News. I know it well. I know it well. I know it well. You know, my father and I had a couple of little jobs here and they were great. When the ships came in, they were packed. When the ships out, they were stone cold empty. I said, “This is a different kind of a place.” But we loved it, and it’s a great place. And I’m thrilled to be back in the Commonwealth of Virginia with the thousands of loyal, hardworking American patriots. And I also want to thank the great people of North Carolina. Who’s here from North Carolina? Not bad, it’s a little area there.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","08:35"
"Donald Trump","39 Days from now, we’re going to win Virginia. We’re going to win North Carolina. We’re going to win four more years in the white house and keep doing what we’ve been doing because it’s never been anything quite like it. This is the most important election in the history of our country. One of the biggest issues for the people of Virginia is your second amendment. And if sleepy Joe Biden wins, your second amendment will be eliminated and your firearms will be confiscated. Whether you like it or not. When asked if a Biden administration was coming after your guns, Biden replied, “Yes.” Fully had to say yes.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","09:23"
"Donald Trump","He promised to put the gun grabber, Beto O’Rourke … you know Beto, Beto. Remember Beto? He was on the cover of a third rate magazine and he said, “I was born to run for president.” That was the end of his run. That’s what it ended. Anytime they say they were born to do it they got problems. That didn’t work out, it was a steep drop. But he put Beto in charge of his assault on your guns and you know what happened with Beto, Beto went crazy. He wants to take your guns away. Biden vows to impose punishing taxes on gun owners. Outlaw many of the most popular firearms in America, create a national gun registry, and wage the most aggressive war on gun rights in US history.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","10:15"
"Donald Trump","Biden will disarm law abiding Americans. At the same time, they’ll have riots down your street and that’s just fine. That’s okay. That’s okay, according to the left wing. Only by voting for me can you save your country and can you save your second amendment.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","11:06"
"Donald Trump","So I was told not to go for Virginia. We did really well last time and I never came, I never did anything, and we did really well. I said, “Why didn’t I go for Virginia?” But it’s traditionally not a Republican state over the last number of decades. And I said, “Why not?” You have a crazy governor and every time I see it, every two weeks he’s trying to take your guns away, right?","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","11:27"
"Donald Trump","And he’ll attack constantly right to life. And you know, he’s so far left, he doesn’t even talk about late term, he talks about after the baby was born. Which is the first time I ever heard of that. You hear late term, but he said and after the baby is born we’ll start talking to mother. In other words, he’s talking about execution of the baby. Execution. You have a governor that thinks he’s Michael Jackson. Remember his wife saved him. Remember he wanted to prove that he was just dressed up like Michael Jackson and that he sometimes thought when he was young that he resembled Michael Jackson. I don’t think so. And you remember he wanted to moonwalk across the stage and his wife said, “No, no, don’t do it, darling. Don’t please, darling.” Nobody moonwalks like Michael. That would have been good, I wish I could have seen that. That would not have been pretty.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","11:58"
"Donald Trump","So based on your governor and based on the fact that he’s always … every like month you’re fighting for guns. If I’m not here, your second amendment is gone and I’m talking about all over the country. Forget about just Virginia. So I said, “Let’s give Virginia shot.” We’re nearby, right? We’re nearby. I even said, “We’ll bring in the heavy artillery. We’ll bring in our great vice president, Mike Pence.” Did he do a good job?","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","13:05"
"Donald Trump","I’ll tell you what, Kamala, Kamala is no Mike Pence. She’s no Mike Pence. No, he’s great. He’s done a fantastic job. And he’s with you all the way. So I said, “Let’s give it a shot.” And you know, there’s a big difference. I tell you what, there’s never been a bigger difference between candidates or parties, never been. No party that supports, as an example, what he would do to a child after it was born is fit to be even involved in any way in this nation, let alone running this nation. As you know, sleepy Joe Biden endorsed your governor. So that means he endorsed the policy of your governor. That means he endorsed breaking up your second amendment. So it’ll either be totally broken up or it will be wiped out. Essentially it won’t be that much different.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","13:45"
"Donald Trump","So here we are in Virginia. Like I had nothing to do today. I woke at six in the morning, I read some papers. I read the fake news. And then I was in Florida early in the morning, and then I went to Florida and we did a big round table with the Hispanics. They were great. And then we flew to Atlanta from Florida, Palm Beach. And then we flew … We started off in all different places. We were all … And then we flew, we went to Miami. We started off. But I’ll tell you what, Florida’s great. We’re going to win Florida. We’re way up in Florida. Way up. Way up. Even a poll that gave me … I mean, I’ve never had a good number. ABC/Washington Post poll, it’s a terrible poll, always been bad. I think it got everything wrong four years ago. They said I’m four up or more, but I’m four up in the State of Florida. So anyway, so we went to Miami, went to a beautiful place actually in Miami, you know where that is, right? And we had, I won’t say because then they’ll say I’m advertising if I do [inaudible 00:15:58]. I won’t say. I won’t say the name of the place, but it is beautiful. And then what happened is we went to Atlanta and we … so we left the great Hispanics. We call them the Latinos for Trump. Latino.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","14:41"
"Donald Trump","Where we are polling at numbers that I guess no Republican has ever polled before. Perhaps Abraham Lincoln, but in those days he wasn’t big into the Hispanic movement. I think Abraham had other things to think about, don’t we think? But I will say this, nobody has done more for many communities, but I always say for the Black community, nobody has done more for the Black community than Donald Trump since Abraham Lincoln. Nobody.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","16:18"
"Donald Trump","So we flew to Atlanta and we had an unbelievable two hours. And this was with the African American community, the Black community. I always say, “What do you like better? Tell me what you like better.” They say, “Usually the Black community.” And what is the answer, tell me? African American. I don’t want to hear from other people, I want to hear. African American. What do you like better? African American or Black? It’s Black. Yeah, that’s what we hear. I’ll go with whatever you want. That’s your choice. We can use either one. I’ll go with whatever you want.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","16:52"
"Donald Trump","We had a great two hours, incredible people, Herschel Walker introduced me. Serious, serious guy. We had a lot of champion fighters, a lot of great people. It was an amazing time.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","17:33"
"Donald Trump","And then we flew to Washington where we had a round table. And then I say, “Well, that’s it for the night, right?” You know, this starts at six in the morning. So I said, “That’s it for the night? Is that it? I’ll go back home to the White House.” No, sir. Well, I wonder what … You’re going to Virginia, sir. Good. That’s good. Thank you, very much. This was like, I asked the question about an hour ago,” where am I going now?” Put me in coach, you ever hear the expression? Just wind me up and put me in coach. I said, “Where are we going tonight?” I said, “Let’s go back to the White House, let’s see our first lady.” And they said, “No, sir, you have a rally scheduled. You have a rally scheduled.” Where is it? In Virginia. I said, “That’s good. How many people?” They said, “A hell of a lot of people. That’s [inaudible 00:18:40].”","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","17:50"
"Donald Trump","Well, I wouldn’t. I’m kidding. I’m kidding. I’m kidding. When you have rallies like this, you don’t forget them. You don’t forget them. Thank you, go ahead. Go ahead. What the hell.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","18:39"
"Crowd","Four more years. Four more years. Four more years. Four more years. Four more years. Four more years. Four more years.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","19:05"
"Donald Trump","No, so we’re going to put a heavy play in for Virginia. Seriously, we’re going to put a heavy play in Virginia. And I think we can win this state. Man, that crowd is big. Look at that, it goes way back to the hanger. That is a big crowd. That’s good. You know, I always tell the cameras, “I don’t want to bore people with this,” but I implore them, turn the cameras around and show them the size of this crowd. It Goes back to the building. But they never like doing it because they don’t like including Fox, they don’t like showing big crowds. You know, they don’t like showing big crowds. We left Ohio. We’re way up in Ohio. Way up in Ohio. We’re way up in Georgia. We were in Georgia today though with the governor and the senator, Senator Perdue. And Representative Doug Collins, great guy, Kelly Loeffler, great person, Senator, and Senator Perdue. And I said, “How are we doing?” They said, “You’re winning by a lot in Georgia. You’re winning by a lot.” Of course, if you see these people, they’ll say, “He’s pretty close in Georgia. Too close to call.” And then we have election night comes, the polls in Georgia are close. Donald Trump has won the State of Georgia.” You only win if you’re up by, like a lot. If you’re by a lot, they announce it … That was what happened with Texas last time. They said Texas is too close to call. All for months and months and months. The only one that didn’t believe that were the people in Texas. So when it closed, they said the polls in Texas are closed, Donald Trump has won-","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","19:17"
"Donald Trump","The polls in Texas are closed. Donald Trump has won that state, like in the same breath. Nah, we’re doing great in Texas. We’re doing great all over the place. We’re doing great all over. I hear we’re up in New Hampshire, which is great. Last time that one got taken away from us with the people that just came in with buses all over the place. They had buses coming up from Massachusetts. You have the RINO governor, you know, the RINO governor of Massachusetts, right? Baker. He’s a RINO but I guess he does whatever he can to get elected.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","21:03"
"Donald Trump","The Democrat party is now run by socialists and Marxists who want to destroy our laws, our values, and want to destroy your way of life. To uphold our Constitution as written, tomorrow I will be announcing my nominee to the United States Supreme Court.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","21:33"
"Crowd","Fill that seat. Fill that seat.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","22:10"
"Donald Trump","Fill that seat. Oh, we’re going to fill it, don’t worry about it. And the Republicans have been very unified. You see that, very unified. Even a couple of people that normally don’t vote for with us. You know, they usually don’t vote with the Republicans, but they are. And we have tremendous unity in the party. Mitch is doing a good job. Kevin is doing a good job. We’re going to take over the House. We’re going to take back the House. People are tired of craziness. They’re tired.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","22:11"
"Donald Trump","We want to get some stimulus out. She doesn’t want to give it, only for political reasons. It’s not your fault. Do you know, whose fault it is? China’s fault. That’s whose fault it is. That’s whose fault it is. But you know, it’s an amazing thing because the Democrats are saying, “Well, it’s the end of a term.” You know, we have a lot of time left. Think think of this. If it were them… Don’t forget, we don’t have to do it by the election. But we should be really able. That would be a great victory, going into the election with that biggest of all victories.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","22:41"
"Donald Trump","You know, they say the biggest thing you can do is the appointment of judges, but especially the appointment of Supreme Court Justices. That’s the single biggest thing a president can do because it sets the tone of the country for 40 years, 50 years. I mean a long time. So we’re going to be announcing somebody great. I just watched, the great thing about Air Force One there are more televisions on that plane than any plane. They got them in every room. You open up for closet. You want a shirt. Let me open, “Oh, there’s a television.”","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","23:15"
"Donald Trump","And I’m watching the Democrats saying how terrible it is that we’re appointing. We have the right. We won the election, right? Then we have the right. We won the election. We have a lot of time, and if they weren’t in opposition, they would do the same thing. Maybe they would just do it more rapidly. Okay? More rapidly. So tomorrow I think is going to be a big day. Five o’clock tomorrow at the White House, we’re going to be naming the nominee, hopefully will be on that court for 50 years. Five-oh, fifty years. Be on there for 50 years. The only thing I can tell you for sure is it will be a woman. Is that okay?","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","23:50"
"Crowd","Yay.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","24:31"
"Donald Trump","Does anybody have any objections to that?","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","24:34"
"Crowd","No.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","24:36"
"Donald Trump","Please raise your hand. A lot of cowards out there. Look at you, men. There’s not one man here that has the guts to raise your hand. Not one. If given the power, the radical left we’ll pack the Supreme Court with extremists who will strike the words “under God” from the pledge of allegiance as they did twice. I heard their pledge of allegiance. They had it in their caucus. I’m watching. I said, “Oh, they made a mistake.” I said to the First Lady, “Darling, they made a mistake. They left the words ‘under God’ out.” And then I heard it a second time and they made the same mistake. I said, “This is strange.”","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","24:36"
"Donald Trump","This is like the guys on the Mueller team. They cleaned their phones, right? 31 phones. And they said, “Oh, we made a mistake.” And they all made the exact same mistake. The odds of that are a billion to one, right? They all made… Oh, they got caught. Did you see what’s going on. Oh, they got caught. Hey, I feel sorry. That’s a shame.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","25:19"
"Crowd","Lock them up.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","25:42"
"Donald Trump","Yeah. They should be, I’ll tell you. They should be. They’re crooked people. They’re crooked people. So they cleaned up their phones. Hillary took her phones and smashed them. She took 33,000 emails and deleted them after Congress requested them. And I think they’re looking at that too. I think so. I think so.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","25:42"
"Donald Trump","Can you imagine? I have a friend he’s very smart. Rich guy made a lot of money, but he’s a very streetwise guy. He said, “You know, you’ve been under investigation by these thieves, and they’re smart.” They just weren’t smart when they all use the same exact method to clean their phones. That wasn’t smart. You know, at least put it in a little bit different. 31 different phones. Like what is it? 21 people, 31 phones. But that’s okay. That’s okay. That’s only illegal. But this friend of mine said, “You know, they’ve gone through everything. They’ve gone through your taxes. They’ve gone through your financials. They’ve gone through everything. You have to be the most honest guy in the world.”","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","26:09"
"Donald Trump","And they come up, no collusion. Oh, if they found anything. No, it’s a bad group of people headed by Robert Mueller. Bad group of people. Who wanted the job at the FBI. But he lied to Congress. He said he didn’t say that, but he did. I bet he did. We have all the proof. So he is in the same group you know? But they’re actually in worse shape because at least with Mueller, you can say, he probably didn’t know what the hell he was doing. Sort of like Joe Biden. I figure about the same. Does that make sense? Does anybody under-","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","26:49"
"Donald Trump","How would you like to you’re getting a divorce or something, and you say, “I got to be represented by Bob Mueller.” You think so? You saw his performance in Congress, right? I want to be represented by Bob Mueller. No. The same thing. How can we have Joe Biden representing this country?","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","27:24"
"Crowd","Boo.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","27:43"
"Donald Trump","And he’s on the lid. You know the lid, right? The lid is where they say we’re going to put a lid on it. So I guess it means probably what it’s supposed to. I have no idea. The lid, it’s a lid. But it’s an expression. And every day, early in the morning, they say, “Joe, Joe.” I mean, Joe Biden, sleepy Joe. He’s put a lid on it. Sir, Biden has put a lid on it. What does that mean? That means he’s not working today. This guy takes more days off. You will have to have a president that’s going to work his ass off for this country. We need everything. We need a very energetic president.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","27:47"
"Donald Trump","They said, “How do you think he’s going to do in the debate?” I think good. He’s been doing it for 47 years. I think he’s going to do good. I think. And one thing we know if he does just okay, just okay, they’re going to say, the fake news, they’re going to say it was the single greatest debate performance in history. It was unbelievable, far better than Winston Churchill in his prime. Winston Churchill was nothing compared to this sleepy Joe.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","28:24"
"Donald Trump","So you know that. If he finishes the debate, if he finishes, which I think he will. And he might even do well. But if he does well they’re going to say it’s the greatest debate. And they have it already written. They have a couple of scenarios. If he does really poorly, they’re going to say he wasn’t bad. He wasn’t bad. If he does modestly well, like he did against Bernie, they were sort of even. If he does like that, they’ll say it was the greatest performance in history. But with your vote, I will preserve our Constitution and ensure law and order.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","28:51"
"Crowd","Yay.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","29:22"
"Donald Trump","Joe Biden is weak. He surrendered his party to the flag burners, the rioters, the anti-police anarchists, the radicals. All these guys running around these Democrat-run cities and states, look at it. 10 out of 10. We could fix up Portland so fast. They have to invite us. And I want to be invited into that one. We would fix that like we did Minneapolis. We would fix that up in less than a half an hour. Remember Minneapolis, they were a riot. I mean, the problem is they invited us in about two weeks. By the time they invited, it was a lot of flames behind them. Remember the reporter, he’s standing there. “This is a peaceful protest,” and behind him, you have like blocks. It looked like Berlin during the war, didn’t it? I never saw anything. This is the craziest thing. It’s a peaceful performance.","https://www.rev.com/blog/transcripts/donald-trump-newport-news-virginia-campaign-rally-transcript-september-25","Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","29:26"
