"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you. Thank you very much. Ah, go ahead, sit down. We’ll be here for a little while. Sit down. Thank you also, Lee Greenwood, thank you to Lee Greenwood. But I’m thrilled to be in Arizona with thousands of patriotic, young Americans who stand up tall for America and refuse to kneel to the radical left. That’s true. That’s true.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","02:04"
"Donald Trump","There is something going on. You feel it right? You feel the spirit. The other night, a speech I made, on Saturday night, at a very good place. And we had a great evening and the ratings came out you saw that, on television. It was the number one show in Fox history for a Saturday night. Number one. Ratings. For them, it’s all about the ratings. I know that the other folks back there, CNN, and MSDNC I know they’re very happy. They’re very happy to see that Fox said the number one show. This is the number one show in the history of Fox News. That’s pretty good. Saturday night.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","02:29"
"Donald Trump","Let us also show our appreciation to my good friend. Charlie. I’ll tell you, Charlie is some piece of work. Who is mobilizing a new generation of pro-American student activists. That’s what you are and really smart. And you’ll be up here someday. Somebody in that audience, maybe a few of you. You’re going to be up here. Right here. Who are tough and smart and determined and truly unstoppable. You are. I want to thank also Kimberly and I want to thank my son. Boy, I watched my son. I got here. Wow. I said, “What’s this all about?” He’s good. And the people like him. People like him a lot. To everyone here today and watching live all across our country, Thank you for bravely defending our nation, our values and our great American heroes. You know what’s going on, because you’re on the front lines of a tremendous intellectual struggle for the future of our country. That’s really what you’re talking about. The future of our country. You see what’s happening. It’s a disgrace. It’s a disgrace. If we weren’t here, you could forget it. But we’re going to be here and then you’re going to be here and we’re going to keep it going for a long time.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","03:19"
"Donald Trump","November 3rd is a big day. Get out, get the parents, get the friends, get the husband, get the wife, get everybody. Now, the difference is they get everybody. Even if they’re not registered, if they’re not citizens, if they’re here illegally, they get everybody. That’s one of the little difficulties. And , you go through a whole nation and you see what’s going on and they report zero illegality, check out California, sometime.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","04:46"
"Donald Trump","No, check out the deal that they signed with Judicial Watch. I think Judicial Watch was 1 million, or 1.5 million people they settled. They agreed that that many people either voted illegally, shouldn’t have been voting, a lot of things. They settled. And Judicial Watch said, “Look, we were so high. What difference did it make? What difference would it make?” No. But they play a very dirty game. You’re fighting against an oppressive left wing ideology that is driven by hate and seeks to purge all dissent. And you understand that. Amazing at that age. You’re young people, generally, a couple of oldsters out there, friends of mine.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","05:19"
"Donald Trump","The radical left demands absolute conformity from every professor, researcher, reporter, journalist corporation, entertainer, politician, campus speaker, and private citizen. But we have Charlie and we have our people and our people is stronger. Our people are stronger And our people are smarter and we are the elite. We are the elite. If you haven’t noticed, they said it two weeks ago. I was talking to somebody who says, “Well, you know, the elite.” I said, “What are you talking about the elite? Who’s the elite? They’re the elite?” They’re not the elite. You’re the elite.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","06:03"
"Donald Trump","You’re smarter, you’re better looking, have a better future, you know your way around to better. Believe it or not. There’s only one thing they have. They’re more vicious. They are vicious. They are vicious people. Anyone who dissents from their orthodoxy must be punished, canceled, or banished. That includes from television. You see it. But you will not be silenced. And the bottom line, I get interviewed by people and I’m sitting there the other day in the Oval Office. And I didn’t like the tone. And I said, “It’s really nice because I’m here and you’re not.” The Oval Office.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","06:45"
"Donald Trump","And I’ve said it before, you’re the courageous warrior standing in the way of what they want to do and their goals and standing up for faith and family, God, country and freedom, freedom. Unbelievable spirit. I appreciate it. Thank you very much. But the radical left, they hate our history. They hate our values and they hate everything we prize as Americans, and we’re right, because our country didn’t grow great with them. It grew great with you and your thought process and your ideology.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","07:40"
"Donald Trump","The left wing mob is trying to demolish our heritage so they can replace it with a new repressive regime that they alone control. They’re tearing down statues, desecrating monuments, and purging dissenters. It’s not the behavior of a peaceful political movement. It’s the behavior of totalitarians and tyrants and people that don’t love our country. They don’t love our country. The left is not trying to promote justice, or equality, or lift up the downtrodden. They have one goal, the pursuit of their own political power, for whatever reason, but that’s their goal. That really seems to be their goal. Their goal, or their sickness. And if you give power to people that demolish monuments and attack churches and seize city streets, and set fire to buildings, then nothing is sacred and no one is safe. We stopped them last night. Did you see that? Andrew Jackson. And brought some to jail and others are going to jail. The problem we have is states. They’re weak. Many of the governors, many of the mayors, you see what’s going on. And by the way, just so you understand, it’s all liberal Democrat states. Could you imagine if sleepy Joe ever became president, this country would be a mess. They would rip down everything, everything. Sleepy Joe. And he wouldn’t call the shots. He would have nothing to do with him. “Lock him in the Oval Office. Let’s just do what we want to do.” And today he’s with Obama, President Obama. It only took him, how long, a year and a half to endorse him? What did it take, a year and a half to endorse him? Even after he won, he didn’t endorse him for a long time.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","08:51"
"Donald Trump","Then he’s fighting. He’s fighting for sleepy Joe. He really feels strongly about it, so strongly that he was fighting. He wanted everybody to win, but Joe. Joe won. But if you remember in my campaign, he fought harder than crooked Hillary. President Obama fought me harder. He said, “You cannot let him win. You cannot this…” He was all over the place. I said, “This guy’s spending all of his time campaigning against me.” Who won? That’s right. And don’t forget. Don’t forget. I’m only here because of him and Biden. I’m only here because of them, because if they did a good job, we wouldn’t have been here. There would have been no reason. I’m only here because of President Obama and the job he did and sleepy Joe Biden and the job that he didn’t do other than he did a good job for his son. He did a good job for son.","https://www.rev.com/blog/transcripts/donald-trump-phoenix-arizona-speech-transcript-turning-point-usa","Donald Trump Phoenix, Arizona Speech Transcript – Turning Point USA","11:04"
