"speaker","transcription","url","headlin","timing"
"Donald Trump","You’re setting records at the border. You’ve been unbelievable. And I know the wall is helping. In two weeks we will have hit 300 miles of wall and this is a small version of it because actually the real deal goes up 30 feet. This is much smaller than that. If this is a small version of i this is what the finish will be. Those are anti-climb plates at top. So that makes it much more difficult when you get to the top, because you see these guys climbing up with drugs on their back. And when you see that they look at the wall and they say, “Let’s pass, let’s take a pass on it.” So it’s been a really incredible success. So within two weeks we’ll be in 300, general I think in 300 miles.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:00"
"Speaker 1","So we’re actually going faster than that. We’d like to think we didn’t get the 300 by the end of this week.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:45"
"Donald Trump","Wow!","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:50"
"Speaker 1","Yes sir.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:50"
"Donald Trump","And we’re doing about how many a week? About 10 miles a week.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:52"
"Speaker 1","Over 10 miles a week, over two miles a day.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:54"
"Donald Trump","That’s fantastic. That’s fantastic. So it’s a great feeling to have closed up the border. Now people come in if they come in through Meredith, they come in legally. But they don’t come in like they used to. And human trafficking I think went down 96% or something. It’s been incredible. Mark, why don’t you say a few words please.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","00:56"
"Mark","Yes, sir. So thank you. So first of all what you see behind me has saved American lives. Every single bit of concrete and steel that goes into the ground, the operational capacity of the men, women that you’re seeing right here goes exponentially higher to stop dangerous things and people from coming into this country. Drugs [inaudible 00:01:40] us, shape the behavior of the cartels.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","01:17"
"Mark","It puts us in an offensive position just like the president said. Because of that this year to date we’ve seized over a million pounds of drugs. Think about that. This year to date a million pounds of drugs and this wall is helping shape the behavior so that we can get better at doing that. We talk about criminals, we apprehend thousands of criminals every single year. Think about that. A lot of these individuals, violent criminals because of this wall we’re able to apprehend and stop these criminals from coming to this country. [inaudible 00:02:14] other offenses, we have fewer victims of United States citizens because of the wall, because of what this president has provided us.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","01:45"
"Mark","Let’s talk about gangs. Every single year we stop hundreds and hundreds of gangs from pouring into this country like MS- 13, whose motto is rape, kill and control. That’s their motto, rape, kill and control. Just recently wasn’t that long ago they used machetes to hack up their victim and they actually leave them decapitated. That’s what we’re talking about when we’re talking about what this tool provides us. And then of course illegal immigration. Even during the height of a global pandemic illegal immigration continues. And they allow themselves to be put in stash houses that are unsanitary, unsafe. They’re put in a tractor trailers for days. I mean it’s like a COVID Petri dish, but yet they’re coming across. But because of the tools that we have like this wall, we’re able to stop the individual that have COVID to protect our citizen of this country. And Mr. President, I can say I’ve been a law enforcement for over 30 years, my entire adult life. And I want to personally thank you. You absolutely understand the threats that we face along our borders.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","02:23"
"Mark","You understand that border security is national security and what today represents is a tremendous achievement that shows our commitment and the president’s commitment to do what he said he was going to do from the beginning. And that’s everything that we can to give these men and women the tools that they need to safeguard the health, safety and security of the American people. So on behalf of the customs and border protection Mr. President, I want to say thank you for your continued commitment.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","03:29"
"Donald Trump","Done a great job. You’ve done a great job Mark, I’m impressed. You’ve been my friend and you’ve been with us from very early on and we appreciate it. We’ve made a lot of progress. You don’t hear about the wall anymore because we won. When you win if you’re us you never hear about it again. And we have page after page of achievement that you never hear of anymore. That people say, Oh, let’s not talk about space force, let’s not talk about all of the things we’ve done. But the wall is something that probably was the most visible of all. And it’s working so incredibly. 280 miles a little more than that. And again, that’ll be great whether it’s next week or the week after knowing the general will do it next week, but we’ll be at that 300 mile mark. And the difference is like day and night. Number one, you can use a lot less people so you can be doing other things, which is great because once you have the wall nobody gets through it. Additionally, the wall is equipped with various things. It’s set up the cameras and all sorts of elements. You control a lot of things even from the air or within the wall. Interestingly if you look this is steel the exterior, but inside the steel is hardened concrete. Very, very strong, heavy strength concrete. And inside the concrete is rebar. So you have steel, you have concrete, you have rebar, you have all different materials.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-august-18-border-wall-update","Donald Trump Press Conference Transcript August 18: Border Wall Update","04:00"
