"speaker","transcription","url","headlin","timing"
"President Donald Trump","Thank you. So as we begin Labor Day weekend, America’s unprecedented economic recovery continues. You see what’s going on. It’s been pretty amazing. The United States economy added today, announced this morning, 1.4 million jobs last month, bringing the total to over 10.6 million jobs created in just four months. That’s a record by far. In August, we added 249,000 retail jobs, 174,000 leisure and hospitality jobs, and 29,000 new manufacturing jobs. The unemployment rate plummeted to 8.4%, the second largest single month drop ever recorded, surpassed only by our big decline in June. Last month, we saw large declines in the unemployment rate for African Americans, Hispanic Americans, and Asian Americans. Very big declines. We’re witnessing the fastest labor market recovery from any economic crisis in history, by far. By contrast, the last administration had the slowest, weakest, and worst recovery in American history. That was well-documented, as you know.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","00:00"
"President Donald Trump","This year, the United States has seen the smallest economic contraction of any major western nation. And we are recovering at a much faster rate than any other nation business. Business confidence is higher today in America than in any other G7 or EU country. That covers a lot of territory. So we have the business confidence is higher than many in any of those countries. In July retail sales, not only recovered, but reached a new all time high. So think of that. Retail sales, that’s a very basic statistic, and it’s a big statistic. It not only recovered, but reach the highest level ever. Auto sales have surged to an incredible 74% since their April low and are nearly back to their pre-virus levels. And that’s been a tremendous thing. Used cars and new cars have been both doing incredibly well. Mortgage applications with 27% higher in August. Then during the same period last year, home builder sentiment reached the highest level on record indicating that more high paying construction jobs are on the way. Home building has been great and lending has been really incredible.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","01:21"
"President Donald Trump","US manufacturing activity reached a 19 month high in August. While my administration has fought every day to restore prosperity, however, Nancy Pelosi and the Democrats in Congress are holding additional China virus relief hostage to reasons that nobody understands. I guess I do. I think I understand, it’s called politics. And speaking of politics, I think North Carolina, I think that Michigan and Pennsylvania and other states, they should open the governor’s, the Democrat governors should open the states. They’ll open them on November 4th, but they should open them now. It’s very unfair to the people to have those shutdowns continuing at the level that they continuing.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","02:41"
"President Donald Trump","Democrats are insisting on a massive taxpayer bailout of badly run blue states, stimulus checks for illegal aliens, and the mass release of inmates from jail. They want to release a lot of inmates, some of them for very serious reasons. They want to release them from jail. They want that as part of a stimulus package. Can you believe it? It’s time for the Democrats in Congress to start working across the aisle and put the American people first. Now, we have $300 million in an account that we didn’t use. $300 million, and we are willing to use that. I would be willing to release it subject to Congress and use that as stimulus money. And it would go right to the American people. So we have $300 billion sitting in an account that we didn’t need because things are going so well with the economy, but it would be a very appropriate thing to release that to the American people. And I am willing to do it. All we need is a sign off, but that doesn’t mean that we’re going to release prisoners. Some prisoners, some very vicious people, actually.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","03:25"
"President Donald Trump","We’re not going to put them on the streets like the Democrats want us to, and we’re not going to give stimulus checks to illegal aliens. They came into the country illegally, and now we give them a check. We want to give the checks to the American people. So remember we have $300 million, it’s there. We don’t need the money. We don’t need anything. Just let that money get released to the American people. As our economy rebounds, there’s only one thing that could stop the extraordinary economic comeback and wipe out the future of American workers, and that’s what the Democrats want to do with a $4 trillion tax hike, implementing things that will be really bad for our country. And this will just absolutely cripple what we’re doing on regulations and so many other elements of success. We had the greatest economy in history prior to the China virus coming in.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","04:39"
"President Donald Trump","Now, they want to stop regulations. They want to bring up regulations to a level stop. The things that we’re doing, which are at a much smaller level and bring up regulations at a level that nobody’s ever seen before. They want to do things that will make it impossible for any economy to grow. They want to ban fracking. And as you saw ban ban ban, and all of a sudden he sees his polls going down. And now he says, “Well, I was only talking about not maybe banning fracking,” but he wants to ban fracking. And it doesn’t matter what he wants to ban. The people that control him want to ban fracking. And whether it’s Pennsylvania, Texas, Oklahoma, North Dakota, so many other states, you can’t ban fracking. That would be a disaster. Ohio.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","05:34"
"President Donald Trump","Want to abolish America and energy. I mean, that’s, what’s going to happen. Adopt disastrous trade deals and inflict a devastating shutdown. As you know, he said “We want to shut it down.” And we would be willing to shut it down. And you don’t shut down when we’re setting records. And by the way, we’re rounding the corner. We’re rounding the corner on the virus. Joe Biden’s blanket shutdown would collapse our economy would cause countless deaths from suicide, drug, alcohol abuse, heart disease, and more. Shutdowns cause a lot of problems, a lot of very serious problems, more so than the virus itself. Biden’s plan is not a solution, it’s a virtual surrender. And our country is doing so well. We’re starting to do so well. I think we’re going to have a great third quarter. I mean, you’re going to see it for yourself because the numbers will be announced sometime prior to the election on November 3rd.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","06:21"
"President Donald Trump","And as you know, Joe spent his entire career sending American jobs to China and other far, far away countries. For 47 years, people were pillaging our country, taking our jobs, taking our companies. And that’s never going to change with that mindset and with that group. Biden is not going to be standing up to these foreign countries, he’s not going to be standing up, maybe more importantly, to the people that run the Democrat party. He doesn’t have the strength to do that. He refuses even to condemn Antifa, a bad group, a far left domestic terrorist organization. He doesn’t want to say anything bad about it. His plan to appease the domestic terrorists is the exact opposite of what I’m doing.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","07:17"
"President Donald Trump","I think you saw that last night, yesterday, the US Marshals, we sent them in, US Marshals. We were waiting for a local government to take care of it, but they didn’t do that. So the US Marshals went in law enforcement, they took down the Antifa member who murdered a man in the middle of a street in Portland. The suspect was killed after drawing a weapon when officers attempted to take them into custody. They wanted to take him into US Marshals. Incredible people. So I want to thank them for their strength, their bravery, and I really do wish that the mayor of Portland and the governor of Oregon would get going and stop the crime in that city. Be so easy to do.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","08:06"
"President Donald Trump","While we’re focused on creating good paying jobs, the radical left has focused on unleashing really violent mobs. And you see that whether you’re conservative or liberal, Republican, Democrat, or Independent, we must all agree the need for peace and order and safety. Under my administration, law enforcement is conducting arrests nationwide of rioters, looters, and domestic terrorists. The reasons we didn’t put Chicago into our list, while we’re holding back funds from some of these states and cities that are doing such a poor job, such an incompetent job, a job that nobody can even imagine how bad. And we’re holding it back until they get their act together, and we are having a lot of people in Chicago right now, and you notice that their numbers are going down rapidly, but we’ve deployed a lot of federal law enforcement inside of Chicago. And they’re taking out quite a few people and they’re being arrested. They’re being put in jail. And that’s way you see those numbers going down, that’s why you see that with respect to the mayor, we did not hold back funds in Chicago.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","08:56"
"President Donald Trump","But New York is experiencing a tremendous crime wave, in some cases up over 300%, and they have to do something quickly. We just spoke to Mayor Bowser and she’s willing to do whatever’s necessary. And we had very good talk with her. That’s in DC, and the other places they speak for themselves. We’re working with the state and local authorities to comb through hours of video tape, identify and arrest suspects and prosecute lawbreakers. We’ve already got over 300 in jail and we have tremendous evidence, and I want to thank the media for helping us out because they’re taking different angles. We have it from every different angle. You can’t probably have any better than what we’ve got. We see it from the sky, and the ground, and from the right and from the left. So when they say they didn’t do it, we say, “Well, what’s this?” So we get that from the media free of charge.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","10:04"
"President Donald Trump","Under Operation Legend, we’ve surged federal law enforcement to cities plagued by violent crime. The initiative has already resulted in tremendous success. And nationwide, we have over 2000 arrests, and we don’t talk about it too much, but now we might as well. So we’ve arrested over 2000 criminals, they’re criminals. And in a single month, the murder rate in Chicago, as you know, and as I said, it was cut in half, actually. So on the China virus front, the nations of Europe have experienced a 38% greater excess mortality than the United States. 38% more greater excess mortality than the United States. A lot of you don’t want to report that. And if we took New York out of the equation, there’s nobody even close. The job we’ve done is incredible and we don’t get any credit for it, but we’ve done an incredible job.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-september-4-addresses-alleged-fallen-soldier-remarks","Donald Trump Press Conference Transcript September 4: Addresses Alleged Fallen Soldier Remarks","11:03"
