"speaker","transcription","url","headlin","timing"
"President Donald Trump","Thank you very much. Good afternoon. Thank you. I’m here today to talk about our relationship with China and several new measures to protect American security and prosperity. China’s pattern of misconduct is well known. For decades, they’ve ripped off the United States, like no one has ever done before. Hundreds of billions of dollars a year were lost dealing with China, especially over the years during the prior administration. China raided our factories, off shored our jobs, gutted our industries, stole our intellectual property and violated their commitments under the World Trade Organization.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","00:07"
"President Donald Trump","To make matters worse, they are considered a developing nation, getting all sorts of benefits that others, including the United States are not entitled to. But I have never solely blamed China for this. They were able to get away with a theft, like no one was able to get away with before because of past politicians and frankly, past presidents.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","00:54"
"President Donald Trump","But unlike those who came before, my administration negotiated and fought for what was right. It’s called fair and reciprocal treatment. China has also unlawfully claimed territory in the Pacific Ocean, threatening freedom of navigation and international trade. And they broke their word to the world on ensuring the autonomy of Hong Kong. The United States wants an open and constructive relationship with China, but achieving that relationship requires us to vigorously defend our national interests.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","01:19"
"President Donald Trump","The Chinese government has continually violated its promises to us and so many other nations. These plain facts can not be overlooked or swept aside. The world is now suffering as a result of the malfeasance of the Chinese government. China’s coverup of the Wu Han virus allowed the disease to spread all over the world, instigating a global pandemic that has cost more than 100,000 American lives and over a million lives worldwide. Chinese officials ignored their reporting obligations to the World Health Organization and pressured the world health organization to mislead the world When the virus was first discovered by Chinese authorities.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","01:57"
"President Donald Trump","Countless lives have been taken and profound economic hardship has been inflicted all around the globe. They strongly recommended against me doing the early ban from China, but I did it anyway, and was proven to be 100% correct. China has total control over the World Health Organization, despite only paying $40 million per year, compared to what the United States has been paying, which is approximately $450 million a year.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","02:47"
"President Donald Trump","We have detailed the reforms that it must make and engage with them directly, but they have refused to act. Because they have failed to make the requested and greatly needed reforms, we will be today terminating our relationship with the World Health Organization and redirecting those funds to other worldwide and deserving urgent global public health needs. The world needs answers from China on the virus. We must have transparency. Why is it that China shut off infected people from Wuhan, to all other parts of China? It went nowhere else. It didn’t go to Beijing. It went nowhere else, but they allowed them to freely travel throughout the world, including Europe and the United States.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","03:20"
"President Donald Trump","The death and destruction caused by this is incalculable. We must have answers not only for us, but for the rest of the world. This pandemic has underscored the crucial importance of building up America’s economic independence, reassuring our critical supply chains and protecting America’s scientific and technological advances. For years, the government of China has conducted elicit espionage to steal our industrial secrets of which there are many. Today I will issue a proclamation to better secure our nation’s vital university research and to suspend the entry of certain foreign nationals from China, who we have identified as potential security risks.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","04:13"
"President Donald Trump","I am also taking action to protect the integrity of America’s financial system, by far the best in the world. I am instructing my presidential working group, One Financial Markets, to study the differing practices of Chinese companies listed on the US financial markets, with the goal of protecting American investors. Investment firms should not be subjecting their clients to the hidden and undue risks associated with financing Chinese companies that do not play by the same rules.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","05:03"
"President Donald Trump","Americans are entitled to fairness and transparency. Several of the most significant actions we’re taking pertain to deeply troubling situations unfolding in Hong Kong. This week, China unilaterally impose control over Hong Kong security. This was a plain violation of Beijing’s treaty obligations with the United Kingdom in the Declaration of 1984 and explicit provisions of Hong Kong’s basic law. It has 27 years to go. The Chinese government’s move against Hong Kong is the latest in a series of measures that are diminishing the city’s longstanding and very proud status. This is a tragedy for the people of Hong Kong, the people of China, and indeed the people of the world.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","05:39"
"President Donald Trump","China claims it is protecting national security, but the truth is that Hong Kong was secure and prosperous as a free society. Beijing’s decision reverses all of that. It extends the reach of China’s invasive state security apparatus into what was formerly a bastion of Liberty. China’s latest incursion, along with other recent developments that degraded the territory’s freedoms, makes clear that Hong Kong is no longer sufficiently autonomous to warrant the special treatment that we have afforded the territory since the handover.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-on-china-hong-kong-and-the-who","Donald Trump Press Conference Transcript on China, Hong Kong, and the WHO","06:36"
