"speaker","transcription","url","headlin","timing"
"Sauli Niinisto","Thank you very much. I am waiting for our discussions.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","00:00"
"Donald Trump","Yes, yes. See, he’s a man of few words and he gets it done.. That’s what I like about him anyway, okay, thank you all very much.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","00:04"
"Speaker 3","President Trump, how are you responding against charges that you are putting the whistleblower’s life in danger?","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","00:14"
"Donald Trump","Well, the whistleblower was very inaccurate. The whistleblower started this whole thing by writing a report on the conversation I had with the president of Ukraine. And the conversation was perfect. It couldn’t have been nicer. I saw a Rick Scott. I saw many of the Senators talking about it. Many of the congressmen talking about it. Not a thing wrong. Unless you heard the Adam Schiff version where he made up my conversation. He actually made it up.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","00:19"
"Donald Trump","It should be criminal. It should be treasonous. He made it up. Every word of it, made up and read to Congress as though I said it, and I’ll tell you what, he should be forced to resign from Congress. Adam Schiff. He’s a lowlife. He should be forced to resign. He took a perfect conversation, realized he couldn’t read it to Congress because it was perfect. It was a very nice conversation. I knew many people were on the phone. Not only were many people on the phone, we had stenographers on the phone taking it down word for word.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","00:44"
"Donald Trump","He took that conversation, which was perfect. He said, “I can’t read this.” So he made up a conversation and he reported it and said it to Congress and to the American people. And it was horrible what he said. And that was supposed to be coming from me, but it was all fabricated. He should resign from office in disgrace. And frankly they should look at him for treason because he is making up the words of the President of the United States. Not only words, but the meaning. And it’s a disgrace. It should not be allowed to happen.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","01:15"
"Speaker 3","Your own DNI said the call transcript was consistent with the complaint. So, should [crosstalk 00:01:54].","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","01:47"
"Donald Trump","No, no. He didn’t say that. You have to take a look. No, no, no. He did not say that. And in fact, if you look at what he said, he found everything to be very normal. He’s a good man. And Joe, and he found it to be very normal. I saw Schiff trying to go 15… I call him Shifty Schiff. We don’t call him Shifty Schiff for nothing. He’s a shifty, dishonest guy, who by the way was critical of one of the great Secretary of States, graduated number one in his class at West Point, graduated top of it. One of the top of his class at Harvard Law School, the most honorable person, Mike Pompeo. And this guy was negative when Mike Pompeo… There’s an expression, “he couldn’t carry his blank strap.” I won’t say it because they’ll say it was so terrible to say, but that guy couldn’t carry his blank strap. You understand that?","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","01:53"
"Donald Trump","So you deal with bad people. And I watched China over the last few days and I watched some of these other countries build up, build up, build up, and we’ve built up more than any of them because of me. But no help due to the Democrats. They’re a disaster. They’re the Do Nothing Democrats. They don’t do any work. All they want to do is try and win the election in 2020. So they come up with this impeachment nonsense and everyone knows. The conversation, all based on one phone call that I had where I’m talking to the president of Ukraine. You’ll hear from our ambassadors, you’ll hear from some of the folks that know all about the call, why the call was set up and everything else. It’s perfect. The call was perfect. In fact, Lindsey Graham said, “I didn’t know you could be so nice.”","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","02:45"
"Donald Trump","There was no quid pro quo. Remember before they said, the only reason I put that out, and I did it with the approval of Ukraine by the way, otherwise I couldn’t have done it, was because the whistleblower was so dishonest. The whistleblower said terrible things about the call, but I then found out he was second hand and third hand. In other words, he didn’t know I was on the call. No, these are bad people. These are dishonest people.","https://www.rev.com/blog/transcripts/donald-trump-press-conference-transcript-with-finland-president-trump-calls-for-schiff-to-resign","Donald Trump Press Conference Transcript with Finland President: Trump Calls for Schiff to Resign","03:31"
