"speaker","transcription","url","headlin","timing"
"Brian Kilmeade","Here’s the President of the United States. Mr. President, thanks so much for joining us from 1600 Pennsylvania Avenue.","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:00"
"President Donald Trump","Well, thank you very much, and congratulations on 10 years on radio. Wow, that’s pretty good. I remember when you were one day on radio. It’s been a long time, but that’s great job. You’re doing a great job, Brian.","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:06"
"Brian Kilmeade","You were hosting… Thanks, so much, Mr. President. You were hosting The Apprentice back then. You were number one-","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:18"
"President Donald Trump","That’s right.","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:23"
"Brian Kilmeade","… in the ratings when we started-","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:23"
"President Donald Trump","That’s right.","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:24"
"Brian Kilmeade","… and I got the number one job in the country. I just was curious, the place you used to live where the mayor, Mayor de Blasio, the National Guard is not going to work here. They’re not trained to handle unrest. Do you agree with that?","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:25"
"President Donald Trump","No. Not at all. If you look at what happened in Minnesota, they were getting decimated, and after three days of watching it, I demanded that the National Guard be utilized, and in one day, it was over. In fact, they got there at a certain time in the late afternoon, and by the time they finished, it was, I always say a somewhat sarcastically, but the safest place on earth to… and Minnesota was really, really having a hard time, and we took care of it. The governor is a nice man, and he was not using enough, and he was… You saw the police were running in Minneapolis, and they were running away from their precinct, which is something I’ve never seen before.","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","00:39"
"President Donald Trump","You have a liberal mayor that, frankly, was having a lot of trouble, and you have a very liberal mayor in New York too. Do you notice that all of these places that have problems are not run by Republicans, they’re run by Liberal Democrats, so there is something into that philosophy, and yet they’re also the ones keeping everybody locked up in their apartments and their homes for too long a period of time, so it’s very interesting how that changes, but no, the National Guard, we could solve that problem in New York, and in fact, if they don’t get their act straightened out, I will solve it. I’ll solve it fast.","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","01:18"
"Brian Kilmeade","Last night was one of the best nights in day eight, especially in New York. We didn’t see the riots. We saw the protests. Even though it wasn’t perfect, do you think we’ve turned the corner according to the reports you get?","https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection","Donald Trump Radio Interview Transcript: Admits Going to Bunker During Protests, But Was for an ‘Inspection’","01:52"
