"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much, Allentown. Thank you very much, Allentown. I know it well. Eight days, you believe that? Eight days from now, we’re going to win the Commonwealth of Pennsylvania, and we are going to win four more great years in the White House. I want to begin today by discussing an issue of existential importance to Pennsylvania. Very, very important. Last week, sleepy Joe Biden made perhaps the most shocking admission ever uttered in the history of presidential debates. In other words, he blew it on live television. 91 to nine, did you see that? 91. And you know what that means? 91 to nine, but we won’t talk about that [inaudible 00:01:53] fake news.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","00:58"
"Donald Trump","Joe Biden confirmed his plan to abolish the entire US oil industry. That means no fracking, no jobs, no energy for Pennsylvania families, Texas, all the other [crosstalk 00:02:08]. He wants to go wind, let’s go wind. Let’s go have brownouts and blackouts all over Pennsylvania, all over the country. He wants to go wind, he wants to go with windmills that are made in Germany and China and send big, big carbon into the air when they’re making them, you know that, right? From a different continent, but that’s okay.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","01:57"
"Donald Trump","Biden’s plan is an economic death sentence for Pennsylvania’s energy sector. I mean, I think you all know that. Did you see it though? Do you believe it? And even the anchor, who I thought did a very good job, by the way, Kristin, I thought she did a very good job. She said, “Why do you say that?” Do you remember that? “Why are you saying that? Why do you say that?” He will eradicate your energy and send Pennsylvania into a crippling depression. Somehow, that doesn’t sound good, Mr. Congressman [inaudible 00:03:04]. The Biden energy shut down, and he wants to shut down the whole country and we’re rounding the turn. All they want to talk about is COVID. By the way, on November 4th, you won’t be hearing so much about it. COVID, COVID, COVID. COVID! Today, let’s talk about COVID. All over Europe. Europe’s spike, they don’t talk about that.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","02:32"
"Donald Trump","Now we’re rounding the turn and we have the vaccines coming out very soon, years ahead of schedule. If he would have done it, like he did the H1N1 swine flu, one of the worst handled, that was an epidemic. It was a disaster, he had no idea what the hell he was doing, but you know that. The Biden energy shutdown would inflict deep pain and misery on Pennsylvania, mass layoffs, constant blackouts and brownouts, soaring gas prices. Nice to have that $2 gasoline, isn’t it? Surging energy bills, no air conditioning in the summer, no heat during the winter, and no electricity during peak hours. “Let’s watch President Trump on television. I’m sorry. We won’t be able to do it. The wind isn’t blowing today, darling, we won’t be able.” No, it doesn’t power those big factories that were opening up all over the country.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","03:26"
"Donald Trump","Biden’s running mate, Kamala Harris. Did you see her last night on television with the laugh? She was laughing at a horrible question about her and she just laughed, she found it so funny. She’s the most liberal Senator by far. She’s most liberal than crazy Bernie. Even sponsored the $100 trillion Green New Deal. The Green New Deal. I don’t think so. The Green New Deal would be an economic disaster for our nation. Certainly for this state. Biden and Harris have a pledge to join and rejoin the Paris… Look, do you know about Paris? The Paris Climate Accord. One of the great disasters of all time. Just call up France, “How’s Paris doing?” Shipping your energy jobs to foreign polluters all over China, all over the rest of the world. And it was hard bringing them back, we brought our jobs back. A lot of our jobs are coming back now. They’re coming back now. Speaking about jobs, I want to thank the people that own this plant. You have a governor named Tom Wolf, I guess, Tom Wolf. This thing was set up just a few hours ago, that’s why it’s so incredible that people across the street, trying to get in. This was set up because your governor made it almost impossible for us to find any site. Normally we would have had an airport, we would’ve gotten in, we would have had a… I mean, this is really a nice place. No, I want to thank the trucking company, they’re great, they’re supporters. Well, we just found it a little while ago because they were shut out. We had a deal, it was a deal and they broke the deal, headed by governor Tom Wolf, who’s got your whole Commonwealth shut down. Whole Commonwealth is shut down. Although probably on November 4th, it’ll open. They’ll announce it November 4th. Did you see the one governor said, “No, I think we should be open by around November 4th.” Thank you, [inaudible 00:06:36]. No, they think they’re going to inflict harm in bad numbers, our numbers are so good, our comeback numbers are the best anywhere in the world. Doesn’t matter. But you know what, it does inflict tremendous harm on the people that are shut out of their jobs, that are going to lose their jobs with suicides and drugs and alcohol and all the problems. So Tom Wolf, next time, give us a little notice governor. And I’ll remember it, Tom, I’m going to remember it, Tom. “Hello, Mr. President, this is Governor Wolf. I need help. I need help.” You know what, these people are bad. We go out of our way, regardless, Republican, Democrat, when they have a problem, but he shut us out and he tried shutting us out of two other venues. We have three of these today in Pennsylvania. Three of these. And these just came out. I have to say, because I watch… In the fake news, there has never been anything like what’s happening now. But these just came out, so Rasmussen just came out, “Trump is leading.” That’s been one of the most accurate [inaudible 00:00:07:49]. You don’t read it. In fact, a pollster called us yesterday, said, “You have really good numbers.” But they won’t accept them, when we put them out, they don’t put them out. Unless they’re negative, the press doesn’t put them out. This is serious. And how about big tech? How about the Biden scandal? And they’re not even covering it. They don’t want to talk about. And by the way, that’s a real scandal. And the press doesn’t want to write about it, except for the New York Post, the press won’t write about it and big tech won’t take it.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","04:21"
"Speaker 1","Lock him up!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","08:26"
"Donald Trump","People have no idea what’s going to happen in Pennsylvania, that I can tell you. I know Pennsylvania. Don’t forget, I went to school in Pennsylvania. I went to school in Pennsylvania. College and I know it much better than he does. He’s always talking about, “I grew up in Pennsylvania.” He grew up nowhere. He didn’t grow up. No, did you watch him on 60 Minutes last night? Did you see yesterday when he called me George? No, I don’t know if I like George. No, not George. What a mess. No, he called me George. I don’t know if I should be insulted or happy about it. I’m sort of insulted that’s the first time that’s happened to me in a long time. Now, but the polls just came out. So it just came out. So let me tell you the real polls, okay. Because we feel we’re winning almost easily, but you don’t hear that. I watched television today, purposely to see what was going on. So it started… CNN is the worst. But I hear the guy… I hear AT&T is finally getting smart, and they’re going to fire the head of CNN. That’s what I hear. [crosstalk 00:09:55]. That’s what I hear. Zucker. But you know what? Look at this. So Rasmussen was very accurate last time, one of the top two or three. Rasmussen, “Trump approval rating, 53 and 52.” 53%.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","08:37"
"Donald Trump","So in another poll, we’re leading in Nevada. That’s nice. We’re, one up in Nevada, we’re way up in Texas, despite what you keep hearing. Five up in Texas. I think we’re much more than that if you listen to the Governor of Texas, who’s Greg. In Ohio, we’re way up. By four or five points, five points. In Florida, we have it down as four up in Florida, that’s a lot for Florida. So in Florida, Rasmussen, that’s a Rasmussen but these are all different. That’s a Rasmussen. 50 to 46, we’re plus four in Florida. You don’t hear these numbers, right? You hear these guys get on television, “Florida is going to be very tough.” No, we’re winning in Florida. We have crowds. We’re winning in Florida. But you don’t hear it.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","10:18"
"Donald Trump","We’re nicely up, five up in Georgia, Landmark. It’s called Landmark. Five up in Georgia. You don’t hear that. I heard today, “He’s losing in…” No, we’re not losing in Georgia, we’re going to win by much more than five. In Arizona were nicely up, really nicely up. Very good. We’re winning big in Iowa, but we should be with what I do for the farmers. Got them $28 million from China. In Montana, we’re so far up, they shouldn’t even have the election. Likewise, in Utah, so far up. We’re plus 12, plus 15. And in West Virginia, we’re 20 up, 20 points up.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","11:07"
"Donald Trump","These just came out. They came out today. And then at a head to head with sleepy Joe Biden on a national basis, I am really into the states, because you know you run… Remember Hillary used to complain, but I never did a national. Winning, I think winning the overall vote is almost easier than the electoral college. But you remember last year, she’d complain. She used to campaign in the wrong states. The year… But they probably learned, but in the national poll were leading against sleepy Joe Biden, we’re leading. And that’s a Rasmussen poll. Head to head. No, we’re leading head to head against sleepy Joe. So I just thought I’d do that.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-allentown-pa-october-26","Donald Trump Rally Speech Transcript Allentown, PA October 26","11:59"
