"speaker","transcription","url","headlin","timing"
"Donald Trump","Well thank you very much. Thank you. What a crowd. This is a very great place. We had a great victory here four years ago. And I just noticed their happened to be a poll out, that came out last night, that has a very, very substantial margin. We’re very happy with it. We’re very happy with it, and we’re very happy with Iowa, thank you very much Iowa. And we appreciate it. And we’ve had a great run together, and I’ve been working very hard with the farmers, and making them hopefully very rich. Making them very rich, and very successful, and hello to everyone here also from Wisconsin. We have a lot of people from Wisconsin.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","03:26"
"Donald Trump","All right. Let’s see. Who is from Iowa? And who is from Wisconsin? All right. That’s not terrible. That’s not bad. We just left Wisconsin, and we’re going back to Wisconsin. Two days from now we are going to win Iowa and we are going to win Wisconsin. And we are going to win four more years in that very beautiful White House. With your vote we will continue to cut your taxes, cut regulations, and ensure that more products are made, and raised, and grown in the USA. That’s what’s happening. That’s what’s happening.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","04:12"
"Donald Trump","Next year we’ll be, I think we’re going to have the greatest year, economically speaking, in the history of our country. You saw the number that just came out. 33.1 GDP. That’s the best number in the history of our country. And we’re set. We call it a super V. We used to say a V, now we’re calling it a super V. Under my leadership, our economy is now growing at the fastest rate ever, we’re truly something. We’re set. We’re all set. We were doing better than ever before. We had the greatest economy in the history of our country, and then we got hit by the China plague, which we’re not going to forget.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","04:53"
"Audience","Boo.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","05:33"
"Donald Trump","So we closed it up, we closed it up and then we opened it up, and we saved, I’ll tell you, we saved two million lives. It was 2.2 million people, were projected, we saved two million lives. But what happened, there shouldn’t have been one life. Shouldn’t have been. And we can never forget what China did to us, we can never forget. While foreign nations are in a free fall, you see what’s going on in other lands. Look at what’s happening in Europe. It’s a shame. We’re creating the world’s greatest economic powerhouse.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","05:34"
"Donald Trump","A recent Gallup Poll found that 56% of the Americans polled said that they were better off now, much better off, it’s a record, than they were four years ago under Obama and Biden. As president, I kept my promise. And I protected ethanol. And I approved E15 for use all year round. You don’t know what that means. That’s a lot. They’ve been trying to get that approved. Let me just tell you, for all of the ethanol people, and you have Joni, and you have Chuck over here, they fought with me. They were coming, they wanted it. And I said, “Can I give you just a little bit less.” “No, we won’t accept anything less.”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","06:09"
"Audience","(laughs).","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","06:54"
"Donald Trump","That’s Chuck, and Joni. They were tough, and they were good. But they didn’t have to fight me. They didn’t have to fight too hard. I was with the farmers. I was with them from the beginning. But if Biden gets in you can forget about ethanol, you can forget about everything.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","06:55"
"Audience","Boo.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","07:10"
"Donald Trump","You would have that terminated. You would have that terminated so fast. But authorized its use in existing gas pumps also, that doesn’t mean much to you, it means a lot to the ethanol people. So you have the existing gas pumps, you don’t have to go and spend a fortune to do the new gas pumps. Nobody knows that. And it doesn’t even sound very elegant in this speech. But you have the gas pumps to ethanol, and everything ends if Biden ever… It’s not going to happen with Biden, let’s face it. That’s not going to happen. That’s not going to happen. He would end everything that we’ve done. We’ve made this an incredible year.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-dubuque-iowa-november-1","Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","07:10"
