"speaker","transcription","url","headlin","timing"
"President Trump","Thank you Fayetteville and North Carolina. Thank you very much. Tomorrow, we are going to win this state and we are going to win four more years in our great White House. With your vote, we will continue to cut your taxes, cut regulations, support our great police, support our fantastic military, care for our veterans, protect your second amendment, defend religious liberty and ensure more products are proudly stamped with that wonderful phrase, “Made in the USA.” Next year will be the greatest economic year in the history of our country. Under my leadership, our economy is now growing at the fastest rate ever recorded. 33.1% just announced last week. We created a record 11.4 million jobs in the last five months. It’s a number that we never even thought possible, nobody did. Nobody thought it was possible and we’re going to now even do better than that. It’s going very rapidly.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","07:55"
"President Trump","While foreign nations are in a free fall, you see what’s going on with so many nations in Europe, unfortunately. I say that with sadness. We are creating an economic powerhouse unrivaled anywhere in the world. A recent Gallup poll found that 56% of Americans say they are better off today than they were four years ago, under Obama and Biden. You got to remember that, you got to remember that kind of thing. They didn’t do a good job. In fact, if they did, I wouldn’t have runned. If they did, I wouldn’t be here right now. They did a bad job. And Obama, he went out yesterday with Biden. They got like 14 people, they didn’t have too many. They didn’t have too good a crowd and we have five of these today. Five. We have some big ones. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","09:07"
"Crowd","[crosstalk 00:10:01].","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","09:57"
"President Trump","Thank you. Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","09:57"
"Crowd","[crosstalk 00:10:06].","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","09:57"
"President Trump","Thank you. Thank you very much. Thank you and I love you, too, and I appreciate that. We appreciate it.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","10:09"
"Crowd","[crosstalk 00:10:16].","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","10:19"
"President Trump","I was thinking coming in because I watch these fake polls, everyone, no matter if we’re up by 10, if we know we’re going to win easily, he’s down by one point, he’s down by one… I just watch this fake stuff and I’m saying to myself, you know, we’ve been under a phony, fake hoax investigation for three years, nothing but bad and really corrupt publicity from these people. And I say-","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","10:20"
"Crowd","[crosstalk 00:10:47].","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","10:48"
"President Trump","I wonder what the difference would have been had it been legit, had it been legit. And it turned out to be just the opposite. They were the ones who committed the crimes, not us. But I wonder what it would have been. It probably would have been a little bit easier, but you know the good news, we’re going to win anyway. We’re going to shove it.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","10:48"
"Crowd","[crosstalk 00:11:06].","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","11:06"
"President Trump","We’re going to win anyway. I wonder what it would’ve been. I wonder what it would’ve been if all of the nonsense wasn’t brought up.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-fayetteville-nc-november-2","Donald Trump Rally Speech Transcript Fayetteville, NC November 2","11:07"
