"speaker","transcription","url","headlin","timing"
"President Donald J. Trump","Wow. Thank you very much. And hello, Goodyear. Hello, Phoenix. Six days, can you believe this? Six days from now we are going to win Arizona and we are going to win four more years in our great, beautiful White House. A vote for me is a vote for massive tax cuts, regulation cuts, fair trade, strong borders, our Second Amendment, we will save our Second Amendment, and American energy independence. It’s a vote to support our police, our military, stand up to China, which we’ve been doing. They gave $28 billion to our farmers. That’s very nice. Thank you very much, China. And ensure more products that are proudly stamped with that beautiful phrase, “Made in the U.S.A.”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","00:08"
"President Donald J. Trump","We will deliver record prosperity, epic job growth, and a safe vaccine that eradicates the virus, the China Plague is what it is, and quickly end the pandemic. Normal life, which is what we want, we just want normal life, like we had seven months ago. We’ll fully resume, and next year we will be the greatest economic power. We are going to be stronger than we’ve ever been before. And you see that all happening. Next year will be the best economic year in our country’s history. And last year was, and then we were interrupted. We were interrupted. It’s called Make America Great Again, Again. A vote for Joe Biden, Sleepy Joe, is a vote for the biggest tax hike in history. I’ve never seen this before, a man who’s campaigning on the fact that he’s going to raise your taxes. I have seen.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","01:18"
"Speaker 1","Lock him up! Lock him up! Lock him up! Lock him up! Lock him up! Lock him up! Lock him up! Lock him up! Lock him up! Lock him up!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","02:24"
"President Donald J. Trump","They’re going to crush, regulations, it will be crushing. You have no idea what they want to do. We’ve took off more regulations than any administration in the history of our country. They are going to put those regulations back, and all they do is cause waste and a lot of other problems, slash Medicare and social security, and they want to abolish American energy. You know what he said, “No fracking.” He said, “No fracking.” Until he went to Pennsylvania, then he said, “Maybe we can frack.” His people won’t let them frack and Joe doesn’t have any clue where he is. You know that. “Where am I? Where am I? What state am I in?” He’s only got it wrong about seven times. “Where am I? Is this Arizona or is this Nevada? Where am I? Tell me, where am I? Is this Iowa? Oh, oh, oh, oh, it’s very hot. I know where I am. This is Florida, isn’t it?” “No, Joe. No Joe.”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","02:37"
"President Donald J. Trump","A vote for Biden is a vote for open borders, offshoring jobs, shredding the Second Amendment, confiscating your guns, and eliminating private healthcare. 180 million people on private healthcare. It’s called bye-bye. And they love their private healthcare. Biden and the Democrat socialists will delay the vaccine, prolong the pandemic, shutter your schools and shut down our country. And your state is open, right? Your state is nice and open. Your state is nice and open. Thank you. Your Governor did a good job. I don’t know if you appreciate it, but he did a good job. You had a spike, and he just did what he had to do. And your state is fully open. Good job. He may be here. He may be in this crowd of about 25,000 people. He may be here. I may get lucky and introduce them in a little while. He is here. He’s a great Governor.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","03:41"
"President Donald J. Trump","This election is a choice between the American dream and a socialist nightmare. As long as I am President, America will never, ever be a socialist country. I am fighting for the dreams of all Americans, including millions of truly amazing, and they like me, my poll numbers are through the roof with, Hispanic Americans, right? Through the roof. I always knew they liked me. It’s a big story. They say, “What’s going on?” I just saw it. “What’s going on with Trump and the Hispanics? What’s going on with Trump? His poll numbers.” They’re getting very nervous. Our poll numbers are looking very good. We had one little upset this morning. We’re doing very well in Wisconsin, right? I was there yesterday. We had 25,000 people at least. And I will tell you, it was cold. I did three of these yesterday.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","04:42"
"Speaker 1","We love you! We love you! We love you! We love you! We love you!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","05:51"
"President Donald J. Trump","Don’t make me cry. Don’t make me cry. They’ll say, “The president was crying.” I don’t know. I don’t know if I want a President that cries. But it’s okay. But that’s the phrase, one of the greatest men in the country right here, did you ever hear that phrase before? I don’t think so. Oh, we have Mike Lee here too. And we have Rand Paul here and Sergio, and the King of Europe we have right here. Rand, did you ever hear that phrase for a politician? Rand would like that phrase, I can tell you right now.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","05:51"
"Speaker 1","Latinos love you! Latinos love you! Latinos love you! Latinos love you! Latinos love you!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","06:43"
"President Donald J. Trump","So we’ve got some great polls and we are getting great polls. We are doing great in Florida. Doing great in North Carolina. Doing great I think in Pennsylvania, I think. I think it’s going to be great. We won it last time. First time in many years, a Republican won. We’ve done good. Brought a lot of business there. They had a lot of business went back to Pennsylvania, so I think they appreciate it, but haven’t seen the numbers. They vote late. They vote on Tuesday. That’s what they like. I like that too. But we’re doing good all over. We’re doing good in Wisconsin. We have a poll. We’re one up in Wisconsin. Don’t clap yet. Today, the fake Washington Post, ABC, you’d think they come out that he’s four down, he’s five down. “17 down in Wisconsin.” I don’t think so. I had the same fraudsters here four years ago, they had me 12 down a week before the election, right? Remember that, I was 12 down? ABC, Washington Post, I mean, just dishonest people. And we sent them a legal letter and by the time we got to the election, we were even. I wonder what happened. But they interviewed slightly more Democrats and Republicans. We looked at it. I think there’s some kind of a law that you have to do that. They interviewed a few more, a number that you wouldn’t even believe.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","06:46"
