"speaker","transcription","url","headlin","timing"
"Vice President Mike Pence","Well, hello, Michigan? Congressman Huizenga, Congressman Moolenaar, GOP Chair Laura Cox, to all of you have been with us every step of the way. It is great to be back in the Great Lakes State, just 80 minutes from election day when we reelect President Donald Trump for four more years.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","00:00"
"Crowd","Four more years. Four more years. Four more years. Four more years. Four more years. Four more years.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","01:01"
"Vice President Mike Pence","Wow. It is really great to be with y’all and a special treat tonight to be with my much better half, she’s a military mom, she’s been committed to helping our military families, been my wife for 35 years. But she’s the best Second Lady the United States has ever had. Would you join me in thanking my wonderful wife, Karen Pence.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","01:17"
"Vice President Mike Pence","But we’re here tonight for the same reason you are. For one reason and one reason only. And that is that Michigan and America need four more years of President Donald Trump in the White House. It’s on, and the road to victory goes straight through Michigan.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","01:43"
"Vice President Mike Pence","You all are great to be out tonight. And you know, I got to tell you, I just spoke to the President. He just finished up in Wisconsin, but he can’t wait to get to Grand Rapids. It’s great to be back here tonight. We’ll never forget. We’ll never forget being in Grand Rapids four years ago tonight. The clock ticked past midnight. It was election day 2016. The President spoke until about 1:30 in the morning and he walked up to me after he walked off the stage, he looked out at the crowd just like this one and he slapped me on the shoulder and said, “Mike, I don’t know about you, but that doesn’t look like second place.” And it still doesn’t. Michigan did it before and I know Michigan’s going to do it again.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","02:09"
"Vice President Mike Pence","We’re going to show America that Michigan is Trump country.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","03:15"
"Vice President Mike Pence","Thank you all for coming out. What an incredible site. And I know there’s more people waiting to get in and I’m telling you what, it really is incredible to be with you. And it’s also great to be here with some great leaders who served alongside with us every step of the way. Would you join me in thanking two of the most principled conservative leaders in Congress? Two men have been with us every step of the way. Congressman John Moolenaar and Congressman Bill Huizenga.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","03:24"
"Vice President Mike Pence","And how about the next Congressman from the third congressional district, Peter Meijer? and earlier tonight, the President and I were with a friend of mine, got to know him over the last couple of years. He’s a man of integrity, dedicated to his family. He’s a West Point graduate, a combat veteran, a businessman, and the next Senator from the great State of Michigan, John James. Four years ago, we inherited a military that had been hollowed out by devastating budget cuts, an economy that was struggling to break out of the slowest recovery since the Great Depression, terrorism was on the rise around the world, and we witnessed a steady assault on our most cherished values. But in three short years, we rebuilt our military, we revived our economy, we secured our border, supported law enforcement and stood for life, liberty and the Constitution of the United States. Incredible.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","03:56"
"Crowd","USA. USA. USA. USA. USA. USA. USA. USA. USA. USA.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","05:15"
"Vice President Mike Pence","And on the economy, after Joe Biden’s spent eight years in the White House trying to tax and spend and bail us back to a growing economy, President of Donald Trump created the greatest economy in American history, and we are doing it again.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","05:23"
"Vice President Mike Pence","How about those new GDP numbers last week? Isn’t that something? The American economy grew by more than 33%. Shattering any previous record. The American comeback is on. And with four more years of President Donald Trump, we’re going to bring this economy back bigger and better than ever.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","05:42"
"Vice President Mike Pence","You know, that great American comeback is a testament to all of you, to the character and the resilience and the strength of the American people. But it’s also a tribute to a President and our allies in the Congress who worked with us to create the greatest economy the world has ever seen.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","06:13"
"Vice President Mike Pence","That’s why it’s astonishing in the midst of a global pandemic, Joe Biden wants to raise taxes by $4 trillion. On Friday, his running mate, Kamala Harris said, quote, the first order of business is to get rid of the President’s tax cuts. They got a $2 trillion version of the Green New Deal, but under President Donald Trump, where they’re planning to raise your taxes, we cut taxes across the board.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","06:31"
"Vice President Mike Pence","We rolled back more federal regulation than any administration in history. We fought for free and fair trade, unleashed American energy, and in three short years, businesses created 7 million good paying jobs, including 112,000 jobs right here in the Great Lakes State. Unemployment reached a 50 year low, and wages were rising across the board in those first three years.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","07:15"
"Vice President Mike Pence","And they were rising most rapidly for hardworking, blue collar Americans. The forgotten men and women of America were forgotten no more. When Joe Biden was Vice President, America actually lost 200,000 manufacturing jobs. I come from just south of here in Indiana, just like Michigan, we do two things well out this way, don’t we? We make things and we grow things, right?","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","07:46"
"Vice President Mike Pence","The last President actually said, after losing 200,000 manufacturing jobs, he said, “They’re never coming back.” Remember he said, “What magic wand do you have?” Well, we didn’t need a magic wand. We just needed President Donald Trump in the White House.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","08:19"
"Vice President Mike Pence","500,000 manufacturing jobs in just three years. So manufacturing came roaring back and when it comes to trade so important here in Michigan, what we make and what we grow, we sell to the world. Joe Biden’s been a cheerleader of communist China, all along the way while they took advantage of the United States, put barriers to their markets while we put none to ours.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","08:39"
"Vice President Mike Pence","And closer to home, when it came to our trading relationship with Canada and Mexico, Joe Biden liked to complain a lot about NAFTA, but he never lifted a finger to fix what was wrong with it when we saw thousands of factories closed and jobs shipped south of the border. But under President Donald Trump, we put China on notice.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","09:12"
"Vice President Mike Pence","We said the era of economic surrender is over. We stood strong, imposed tariffs, and NAFTA is now gone. And the USMCA is here to stay. And it’s something you ought to know about Joe Biden’s running mate as well. I had a little debate with Kamala Harris in Salt Lake city a couple of weeks ago. Thank you. Some people think we did all right. So… thank you. But you all deserve to know in this hard working State of Michigan, despite the fact that USMCA was a huge win for Michigan, right, Bill?","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","09:34"
"Vice President Mike Pence","I mean, Kamala Harris was one of only 10 senators to vote against the USMCA. Kamala Harris said the USMCA didn’t go far enough on climate change. I mean, she put her radical environmental agenda ahead of Michigan jobs and Michigan workers. No wonder she was listed as the most liberal member of the United States Senate last year. But when it comes to trade or anything else for that matter, I promise you, President Donald Trump will always put American jobs and American workers first. And on energy, Joe Biden wants to crush American energy under a $2 trillion Green New Deal that would raise the cost of electricity for every home in business in America. It’s true. The President had to remind him he was for it in that first Presidential debate, remember? But he is, right?","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","10:18"
"Vice President Mike Pence","And Kamala Harris, she was the original co-sponsor in the Senate of the Green New Deal. The truth is Joe Biden and Kamala Harris want to abolish fossil fuels, end fracking. It would destroy hundreds of thousands of good paying jobs. They said it over the last year, over and over again, but now, right, Joe Biden shows up in Pittsburgh. I wasn’t far from there today. And he’s trying to convince people that he’s not for banning fracking. He actually said that our President was lying about it. It came up in the Presidential debate. How good did President Trump do in that Presidential debate? Wasn’t that a great night? That ball is still going.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","11:22"
"Vice President Mike Pence","Anyway, it came up in the Presidential debate. Remember Joe Biden, about 90 minutes into the debate, he said, “America needs to make a transition from the oil industry.” I love what the President said. He said, “That’s a big statement.” But by the next morning, Joe Biden was already denying, but [inaudible 00:12:32] even in the debate, remember? He said, “Show the tape.” So we’ve been showing the tape.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","12:09"
"Vice President Mike Pence","I got to tell you, men and women of Michigan, look, no matter what Joe Biden and Kamala Harris are saying right now, you can take it to the bank. Joe Biden and the radical left are going to abolish fossil fuels, ban fracking, close down the oil industry if they ever get to the White House, but we’re not going to let it happen. We’re going to have more fracking, more American energy and energy independence for generations to come with four more years of President Donald Trump in the White House.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-grand-rapids-michigan-november-2","Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","12:45"
