"speaker","transcription","url","headlin","timing"
"President Donald Trump","Wow. Thank you. What a crowd. What a beautiful crowd. Look at that, you can’t even see the end of it. What a great crowd. Thank you very much. Hello, Wisconsin. We’re back. We’re back. We’re going to win. We’re going to win this state. We win this state, you know what? It’s over, if we win Wisconsin. I’ve treated Wisconsin very well. Four days from now, we’re going to win this state and we’re going to win four more beautiful years in the White House. With your support, we will continue to bring back your jobs, cut your taxes, cut regulations, support our great police, defend our borders. Without borders, we don’t have a country, do we?","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","01:56"
"President Donald Trump","Protect our second amendment, protect religious liberty and ensure more products are proudly stamped with those beautiful words, “Made in the USA.” They’re starting to do that. You remember, I used to say four years ago, “We’re going to bring back the words Merry Christmas.” We did, right? Merry Christmas. Those big department stores, they liked happy New Year. I said, “No, you can say them both, but you can’t do one without the other.” Merry Christmas is back. You notice that right? And pretty soon we’re going to be there. Joe Biden will shut down your state’s economy, wipe out your factories, ship your jobs to China.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","02:46"
"Crowd","Boo.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","03:28"
"President Donald Trump","To China, that’s paid him off by the way. China that’s paid him off. You know that, right? Although you don’t get too much news, but you get enough, you know what’s going on. They don’t like giving you the news. Punish your family with a $4 trillion tax hike, eliminate private healthcare. 180 million people have private health care, they want to take it away. And send your state into a catastrophic… Do you want to use the word recession or depression? Because the word is depression. Biden has vowed to eliminate the entire US oil industry, no fracking, no energy and gas prices going five, six, $7 for a gallon. How do you like $2 gasoline, good? There’ll be no heating in the winter, no air conditioning in the summer and no electricity whenever the hell you want it. Right now, you have it made. You’re so lucky. You are so lucky I’m your president. And your team is doing a good job, right? They’re doing a good job, right? They are doing a good job. And while I’m president, America will proudly remain energy independent. How does that sound? First time, you’re energy independent. We’re the biggest in the world, nobody close. Biden will deliver poverty, misery, depression. I will deliver jobs, jobs, jobs, and the greatest economy in the history of our country. That’s going to be next year, you see it. Yesterday it was announced, last quarter, our economy grew at the astonishing speed, 33.1%. The largest GDP growth ever recorded. And not just by a little bit, by more than double. Right? And that was in 1952, but more than double. Think of it. It’s never been anything like that, for any country. Not only ours, for any country. In the past five months, we’ve created a record 11.4 million American jobs. We have a super V. I used to talk about the V. This is no longer V, this is a super V. This is despite the fact that the Democrat governors have States shut down, right? Gee, does that sound-","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","03:31"
"Crowd","Boo.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","05:57"
"President Donald Trump","Hey, does that sound familiar to you? Middle-class family income is up more than $6,000 under my administration, far greater than the past administration. I mean, that was not up. That was doing very poorly. We created the greatest economy in history, and now we’re doing it again. Make America Great Again, again. We did it once. That hat, see that hat is now obsolete. It’s called Make America Great Again, again. In a very recent poll Gallup, they said 56% of Americans said they were doing better today than they were four years ago. And we’re rounding the turn on a pandemic and it’s 56. And it’s the highest number they’ve ever recorded, so we’re doing something right.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","05:57"
"President Donald Trump","Joe Biden has spent the last 47 years outsourcing your jobs, opening your borders and sacrificing American blood and treasure in endless foreign wars, in countries that most of you have never even heard of. I mean, think of it. And you know, at the debate… Did anybody see the debate by any chance? During the debate, he’d say, “Well, we’re going to do this.” I said, “Joe, why didn’t you do it?” “We’re going to do that. We’re going to do this to that, this and that.” “Joe, why didn’t you do it, Joe?” That was an easy debate. 91% to 9%, they said. That was good. That’s like a great football game. No, I said, “But Joe…” I said, “Joe, why didn’t you do it?” “Well, I don’t know exactly.” And then the last question was a disaster. Basically, he said, no more oil, no more fracking, no more anything. I said, “Did he say that?”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","06:50"
"President Donald Trump","And I just said, “We just left a great place…” You know that. It was a little cold there. This is like warm by comparison. This is a pleasure. This is a pleasure. That was cold. I said, “Let’s cut this a little bit shorter,” but we have a big crowd. We had a big crowd. No matter where we go, we have these massive crowds And I’m going up to Minnesota. We’re going to Minnesota, which we have a chance. Not since 1972, think of it. So those are odds that aren’t good, but they like us up there, with the Iron Range, all the things I’ve done for them up there. And helping them when the rioters and anarchist attacked. We took over and we did a great job. But they should have called us two weeks earlier, in all fairness, and they called. If they called us, federal government, if they called us two weeks earlier, that would have been nice. You would have had no problem. It took us about what? 25 minutes to solve the problem, right? Boom, they just marched.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","07:48"
"President Donald Trump","But we’re going and governor just informed us though, that… So we have 25,000 people, 25,000 people, that’s lot. You got a lot here. 25,000 people in Minnesota. They said we can only have 250 people. So they were hoping I’d say, “Oh, well, we can’t do that. Let’s turn around.” No, we’re going to go. We’re going to go. It’ll be a very interesting trip. Even if we see 250 people… Can I be honest with you? Everybody understands, you can’t play those games. That could very well, aside from Omar… Omar’s our secret weapon. Ilhan Omar, that’s our secret weapon in Minnesota. No, she doesn’t love our country. I don’t like people that don’t love our country, I don’t. And the other, and you know all about this because you’ve had your things, the other is we want law and order. We’ve got to have law and order. You look at what’s going on in Philadelphia, we can’t have that. You have to let the police do what they do. I mean, they have to do their job.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","08:47"
"President Donald Trump","When I watched that, again Democrats, it’s all Democrats, when I watched that and people are looting stores and you have the anarchists, the rioters, but they’re looting stores. They’re walking out with dishwashers. They’re walking out, guy has a dishwasher, he couldn’t even… He’s pushing it. Their washer… I mean, they have television sets and they’re walking and the police are standing there. And those police don’t want to be standing there. They don’t want to do that. They want to be able to do their job, but they’re not. And you can’t have that. We need law and order, as we had right here, as we did a very good job right here. We got the endorsement of everybody. Everybody in your state, every law enforcement group in your state endorsed us. I think every law enforcement group in the country endorsed us.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","09:56"
"President Donald Trump","I asked sleepy Joe, during one of the debates, I said, “Joe, who endorsed you from law enforcement?” And he couldn’t answer the question. Now possibly that happened, but he’s got a very bad memory too. He can’t… He was going, “Now, let me think. Give me about 20 minutes, I’ll figure it out.” I doubt he has any. I doubt he has any. I think we have everybody. We have everybody, Florida, Texas, Oklahoma. Chicago endorsed us. Isn’t that nice? Chicago, with all the problems they have. And they have a great group of people from law enforcement. They could stop those problems. I mean, you see what’s going on there. New York has gone through the roof, New York’s finest. We have New York’s finest, these are incredible police. They could do the job, but they have to be allowed to do the job. And they endorsed me. First time in the history of the police force in New York, that they endorsed a presidential candidate, so it was pretty cool.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","10:46"
"President Donald Trump","So Joe Biden tried to cut Medicare, during the course of his terms and he worked very hard on cutting social. You wouldn’t believe that, right? And we actually put it up. We put it on… Where is that screen? For places that we really like, we use the screen. It’s very expensive. You’ll see. Biden was a cheerleader for NAFTA, which is the worst trade deal ever made and China’s entry into the World Trade Organization. Which of course Wisconsin, 130 minimum manufacturing jobs. At every turn, Biden betrayed American workers and twisted his knife into the back of Wisconsin workers. You suffered as much as anybody. Biden’s also spent half a century, really a half a century, betraying Black Americans. He devastated Black families with the 1994 Crime Bill. And he called Black youth, “Super predators,” a term that’s a terrible term. Super predators over and over again. And then he wonders why they’re not doing well with the Black vote. The Black votes not turning out for him.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","11:46"
"President Donald Trump","See, now we don’t have to go by the fake polls. Now you see what’s happening. He’s not doing well with the Black vote. You know why? Because they remember that, and they remember 1994 and they remember him calling everybody a super predator. And that’s a term that they don’t like. That’s a term that nobody would like. But they’re not showing up to vote, and others aren’t either. We’re doing great in Florida. We’re doing great in Ohio. We’re doing great in… North Carolina was fantastic. I think we’re doing really good in Pennsylvania. We’re doing very good in Pennsylvania. I think we’re doing good all over the place, you want to know the truth. I think we’re doing good all over. We’re doing great here. I think they just said here we’re either tied or one up or tied or one down.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-green-bay-wisconsin-october-30","Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","12:55"
