"speaker","transcription","url","headlin","timing"
"President Donald J. Trump","Thank you very much. Wow. This is a very big crowd. Wow look at this. Hello North Carolina, hello. Two days from now we are going to win this great State just like we did last time. You were the one, right? You were the one that put us over that hump and we’re going to win four more years in the white house, our beautiful white house. With your vote we will continue to cut your taxes, cut regulations, support our great police, protect our Second Amendment, defend religious liberty and ensure more products are stamped with that beautiful phrase made in the USA. And next year will be the greatest economic year in the history of our country. Under my leadership our economy grew at the fastest rate ever recorded, 33.1% just announced. We created a record 11.4 million jobs in the last five months while foreign nations are in a free fall, we’re creating the world’s greatest economic powerhouse. A recent Gallup Poll just came out, found that 56% of Americans say they are better off today than they were four years ago under Obama and sleepy Joe Biden.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","02:08"
"President Donald J. Trump","And I want to tell you it’s really windy up here. Thank goodness you have a President that doesn’t need teleprompters because these things are virtually useless. They are blowing all over the place. That’s true. They’re blowing all over. We started off today two great places. We went to Iowa, I’ll tell you what, in Iowa we had the coldest windiest, but it was warm because the people were warm and we’re going to win Iowa, very big, very big. But we had a couple of cold stops today. One was so cold we talked about refugees, we said, if they come in they’re going to say, “I want to go back immediately,” it was so cold. If Biden and Harris get in, the economy will collapse and our country will go into at least a free fall, but probably a depression, they want to raise your taxes. They want to take away your Second Amendment, they want to do lots of things that I don’t think you can stand for.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","03:53"
"President Donald J. Trump","I don’t think you can send for, fracking doesn’t pertain so much to it, it does pertain in a different way to you than it would to Pennsylvania. They’re taking away you’re fracking but what they’re really doing is your energy costs are going to go through the roof, that will be very bad for this incredible State. They want to massively increase regulations, send your jobs overseas, destroy the suburbs, well we’re keeping the suburbs. I got rid of the regulation that would have destroyed the suburbs, they will bring it back worse than ever before. Terminate religious liberty, eliminate school choice, outlaw private healthcare, and shred your Second Amendment, take away your guns and indoctrinate your children with anti-American lies. Biden has vowed to abolish U.S. oil, U.S. fracking, natural gas, industry. Look at what he’s talking about doing, but it’s not him, he’s shot, okay? It’s not him.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","05:02"
"President Donald J. Trump","It’s the radical left, it’s the radical left. Energy prices will explode and that will cripple our country. We, right now, are energy independent, what we have going we’ve never had before. Biden’s energy ban will send every state from North Carolina to Michigan to Pennsylvania into a very, very severe problem and we’re not going to have it, we worked too hard. We had the greatest economy in the history of our country and then the plague came in from China, it came in from China, they should have never allowed it. They stopped it from going into China, but it came to us and Europe and the rest of the world and we’re never going to ever forget, we will never forget. But now we’re building our economy back up and it’s going in a V, but it’s really a super V. As long as I’m President, we will remain the number one producer of oil and natural gas on the planet earth and we will remain energy independent. Our opponents’ agenda is a war on workers, a war on faith and a war on our great police. Biden says he’s running as a proud Democrat, I’m running as a proud American.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","06:09"
"Speaker 1","USA! USA! USA! USA! USA! USA! USA! USA! USA!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","07:48"
"President Donald J. Trump","Thank you. Thank you very much. By the way, I just have to say this. So we had something incredible happen four years ago. This is more important and there’s more energy, the crowds are bigger, everything’s hotter. But this is actually and I never thought I’d say it because that was an incredible period of time, never thought, this is the most important election perhaps in the history of my country. Get out and vote. Got to get out and vote. Sleepy Joe Biden is a diehard globalist who spent 47 years outsourcing your jobs, opening your borders and sacrificing American blood and treasure in ridiculous, endless wars and they’re all coming back, they’re all coming back. North Carolina lost nearly half of its manufacturing jobs thanks to NAFTA, one of the worst trade deals ever. And we got rid of it, nobody thought that was possible. Promises made, promises kept. We did it all. Biden and his group shipped your jobs and your factories to China and other places in far away lands raking in millions of dollars for himself it turns out, we didn’t know about this, did we? His son was like a human vacuum cleaner, he went in and “Where are you going today, dad?” “I think I’ll go to Ukraine.” “Okay, let me pick up a couple of bucks.” $183,000 a month and $3 million upfront. “Where are you going today dad?” “I’m going to go to Russia,” “Good.” So the Mayor of Moscow’s wife gave him three and a half million dollars, right? And here’s the scary part, the fake news media and there’s a lot of it right back there, the fake news, they don’t want to talk about it, they don’t want to talk about it. And big tech will refuse to put it on and then they’ll terminate the New York Post if they put it up, New York Post I have to give them a lot of credit. Number one, they endorse me, which is nice.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","07:48"
"President Donald J. Trump","I got endorsed today by the Pittsburgh Gazette and it hasn’t happened where they endorsed a Republican today. Nobody can believe it, they haven’t done it in decades. And thank you very much Pittsburgh Gazette, we’ll take it. We got endorsed by a lot of great people, we got endorsed by great people and a lot of newspapers are endorsing us because they know that Joe Biden is not up to this job. All you have to do is watch him for about five minutes, he is not up to this job. One thing I can tell you, President Xi, Putin, Kim Jong-un, they’re very sharp, they’re very sharp, they’re all very sharp and we cannot have a leader that’s not sharp. Joe Biden is a corrupt politician who is bought and paid for by China and other countries.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","10:06"
"President Donald J. Trump","How can you have a guy whose son walks out with a billion and a half dollars to manage, that means millions of dollars a year, whose son asked for $10 million a year for introductory purposes, right? $10 million a year and he’s supposed to be negotiating with China? China would just hope that I don’t win because, hey, we’ve taken in tens of billions of dollars a year first time ever with China, we never took in $25 cents. Saved our steel mills, saved our steel mills, saved our steel and aluminum industries. In 2016, North Carolina voted to fire this corrupt political establishment and you elected a President who is finally putting America first. And if I don’t sound like a typical Washington politician it’s because thankfully I’m not a politician and never will be. And if I don’t always play by …","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","10:57"
"President Donald J. Trump","Never will be. And if I don’t always play by the rules of Washington and the Washington establishment, it’s because I fight for you and there’s never been anybody that’s fought harder for you. I had a very nice life before doing this. I had a very nice life.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","12:03"
"Speaker 2","We love you! We love you!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-hickory-north-carolina-november-1","Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","12:23"
