"speaker","transcription","url","headlin","timing"
"Ivanka Trump","… done that for you, for your families, for your communities and for your future of this country.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","00:00"
"Ivanka Trump","I recently read a quote that I thought was so amazing by the legendary Winston Churchill. He said, “It was a nation that had the lion’s heart. I just had the luck to give it its roar.” How much does that remind you of our President and this movement? Did he give all of us the roar? Yes, he did. He made all of us take a hard look at our own convictions and ask ourselves, what do we want for our country? We want jobs. We want opportunity. We want to believe in American greatness, and that’s what’s on the ballot. With your help, with your support, and with your votes in two days from now, we are going to win four more years for the people’s president, my father, Donald J. Trump. Thank you, and God bless you. God bless Michigan.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","00:11"
"Speaker 1","(Singing.)","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","01:25"
"Donald Trump","Does anybody have a coat I could use please? This is definitely not the right one. Hello Michigan, hello Michigan. And thank you very much for four years ago, but I gave you a lot of auto plants. So I think we’re even right? And we have a lot more moving in, a lot more moving in.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","04:07"
"Donald Trump","Thank you very much. I love you too. If I didn’t, I wouldn’t be standing here because it’s freezing out here. Think of this this, two days, now we’re down to two days. Two days from now, we are going to win the State of Michigan again, and we are going to win four more years in that very beautiful place called the White House.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","04:29"
"Donald Trump","Over the last four years, I fought for Michigan like no one has ever fought for Michigan. Before I became president, the great state of Michigan was hemorrhaging your car companies, and your car businesses. And thanks to corrupt politicians like Joe Biden, he’s turned out to be a corrupt politician, he is corrupt. Plants were closing and moving to Mexico and many other places, you know that, you know that better than anybody. There had no new plants had been built in Michigan in decades and decades before I got here. I stopped the moves, and now many plants are being built and already have been built. Plants are being expanded. The automobile business is coming back.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","05:06"
"Donald Trump","I told countries, Japan, Germany, and others, “Sorry, you have to bring it into our country.” And I always used to say like, “Michigan, I think of Michigan when I think of cars,” and I’d say, “Michigan,” but I’d say, “Ohio,” and I’d say, “South Carolina,” and plenty the other places, and we’ve brought back millions of car and millions of cars produced a year. But the biggest beneficiary is right here, right here.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","05:56"
"Donald Trump","I’m standing up to the global special interest who got rich bleeding America dry. You know that wind is coming right into my face. And I’m saying, it’s hard to breathe! They set this place up great. I wind is pouring in as I’m talking, it’s pouring in up the mouth, up the nose; this is very pleasant. This is very pleasant.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","06:24"
"Donald Trump","I hope they don’t report this one for posterity, okay. This is a crazy place, but we love Michigan. Good job. Good job. I’m just saying, whoever set this up, they could have had a little angle, how about if they had a little angle?","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","06:49"
"Donald Trump","The corrupt establishment hates me because I don’t answer to them. I answer to you, which is true. I’m with your vote we will continue to bring you jobs back, to enact fair trade, you saw what we’ve done, but think of all the plants, just forget about everything else. You didn’t have any auto plants four years ago. I got Man of the Year in Michigan, 12 years ago and I left, I said, I made a speech, I said, “You know, Mexico and Canada, they’re taking all your car business. Why are you letting that happen?”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-macomb-county-mi-november-1","Donald Trump Rally Speech Transcript Macomb County, MI November 1","07:09"
