"speaker","transcription","url","headlin","timing"
"President Donald J. Trump","Thank you very much. Hello. Oh wow. We tried to come in here very low-key. We wanted to make a low key appearance. Did anybody notice the helicopter flying a little low and real slow? No? Greatest pilots in the world. Greatest equipment in the world. That’s what we have greatest equipment in the world, but the greatest pilots, nobody can do what our pilots can do. Right, Mike? Hello, Pennsylvania. Hello, Pennsylvania. Eight days from now. Can you believe it? Eight days. Started off four years ago. Remember our meetings and it was a love fest right from the beginning, wasn’t it? And now it’s more so. You know what? It’s more so than it was four years ago. And they’re going to be finding that out very soon. They’re going to be finding it out. You know, I have the ratings right over here.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","Poll numbers. Thank you. Thank you very much. Joe Biden, sleepy Joe Biden said a little while ago, he was in a lid. You know what a lid is, a garbage can. They put the lid on it, they put the lid… And he saw, we had two of these today, they were fantastic. Different parts of the Commonwealth of Pennsylvania. And we had two of them, ann sleepy Joe was down there and they said, “You got to get out of this basement.” So he traveled from Delaware to a little tiny corner of Pennsylvania, right next to Delaware. And he made a speech. And he said that he doesn’t do these kind of rallies, because of COVID. No, he doesn’t do them because nobody shows up. That’s why. Nobody shows up.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","COVID, COVID, COVID. That’s all they talk about the fake news. COVID, COVID, COVID. That’s all they talk about what progress we’ve made on it too. We understand it. We know we have to protect our seniors, especially when they have heart, when they have diabetes problems and we are protecting them. We have best testing in the world. That’s why we show so many cases, because we do more testing than anybody else, but we’re doing great. And ooh, excuse me. Here I am. I’m here for you.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","I didn’t feel so good one day. One day I didn’t feel exactly great, Mike, a great Congressman, but I didn’t feel exactly great. And I said, “What’s the story, doc, sir?”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","“You’ve tested positive.” I said, “Positive for what, doc, tell me.” And I say this, a president, If you’re doing your job, you can’t stay in a basement of the White House. You can’t stay in a basement. You can’t stay in a beautiful bedroom upstairs. You can’t do that. You got to do your job. And I’d have many days, I’d say, “I’ve met a lot of people today. There’s got to be something going.” But one day they came back and these doctors were so great. And there were a lot of them. There’s so many doctors. When you’re president, there’s so many doctors and I had 12 doctors, can you believe it? I’ve never had 12. I’ve had one or two, but I’ve never had 12. And each one was a specialist in different parts of the body. And they would grab my body and I hated it. I hated it.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","I said, “Get your hands off me doctors. But let’s make me feel good.” And we took something that was incredible Regeneron. And I don’t know, maybe I would have just been perfect just by doing nothing, but who the hell wants to take a chance. And I woke up the next morning and I felt like Superman. Get me back. Get me back. Get me back. And the first lady had it. First lady had it and she did great. She’s great. And she is popular too. People like her. They love Melania. But she had it. Doesn’t complain about things. And then of course Barron had it. Now with Baron, young, strong immune system. He had it. I said, “What’s the story, doc, with Barron, sir?”
President Donald J. Trump: (00:05","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","Just a few hours from now, the Senate will vote to confirm Judge Amy Coney Barrett to the United States Supreme Court. That was a good choice. Wasn’t it? I’ve never seen anything. I’m glad she’s not running for President. I’d much rather go against sleepy Joe, much easier. No, she’s fantastic. A fantastic person, fantastic woman, a great student. Her professor, her great professor at Notre Dame said, and he’s been teaching a long time, a lot of great legal minds he’s taught, he said, she’s the single greatest student he’s ever had. That was good enough for me. That was it. Highly respected person. He’s a highly respected man. He said, “Sir, she’s the greatest student I’ve ever had.” Judge Barrett is one of our nation’s most brilliant legal minds. She’ll defend our rights, our liberties and our God given freedoms. And you saw that.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","And we were all watching in great amusement as she was so- called grilled by the opposition. That was easy, right? That was easy. That was like one of our great football teams from the area, plenty of them, playing a high school football team. That was really something. Judge Barrett will be the third Supreme Court Justice along with almost 300, right around the number, by the time we end the first term, I’ll have 300, maybe a little more, maybe a little less, federal judges that we’ve confirmed to uphold our laws and our constitution. And part of that was that Barack Hussein Obama allowed me to have 142. We started with 142 empties. I don’t think anybody’s ever had one. You don’t do that. But he left me 142. Couldn’t get them confirmed.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","To this day, Joe Biden refuses to release his list of names. You know, it’s more than just the packing the court. He’s got to say who is he going to put on, because we can’t have radical left justices that are going to destroy our nation. And we will be very, very careful as to who we choose. You know, I left a list of 45. I had a list of 25 and now I added 20 names, all top scholars, top, top scholars. And Amy was one of them. I took Amy off. And the fact is you have no idea. A lot of people say I won because of the Supreme Court, because they didn’t know who I’d pick, and I gave a list, and I said, “I’ll pick somebody like this.” And then they said, “That’s not good enough. You got to pick somebody in that list.” So ultimately it’s a list of 25, all great scholars, all people that believe in something known as the Constitution, if that’s okay.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
"President Donald J. Trump","I don’t think his list will. And they say that that was a big part of the reason that we won the election four years ago. And he has to do the same thing. He’s got to not only agree to not pack the court, or you can’t put them on, it would be terrible, terrible for our nation. Even Justice Ginsburg said, “You can’t do that.” Nine is the right number. We have a Senate. We have a House, a lot of people. Nine is the right number. Nine great people, that’s the right number. But he’s got to agree to not pack the court. But he’s got to agree to give us a list of five or 10 or 20 or 30 or 40. Got to have people to pick from. And if you don’t have that list, you can’t vote for him.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-martinsburg-pa-october-26","Donald Trump Rally Speech Transcript Martinsburg, PA October 26","timed text issue"
