"speaker","transcription","url","headlin","timing"
"Crowd","USA. USA.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","00:19"
"President Trump","Wow, what a crowd. What a crowd. Hello, Florida. Hello, Florida. We love Florida. What a great victory we had and we’re going to have an even bigger victory. Get out there and vote. We’re going to have a bigger victory. And I don’t know if you found that you’ve been here a long time. I hope the music was good. I hope life is good. Everything’s good. That’s a good looking crowd. Good looking people, I will say. No, we’re going to have a big victory. I don’t know if you know what’s happening, but…","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","00:27"
"Crowd","We love you. We love you. We love you. We love you. We love you. We love you. We love you. We love you.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","01:07"
"President Trump","I don’t know if you know what’s happening, but they’re very worried, the Democrats about Florida. They’re very concerned. The vote’s not there. It’s not there for them. They had to get out to that big early lead and it could be that we’re leading, that’s a little problem. Two days from now, we’re going to win, my home state of Florida and we are going to win four more years in the White House.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","01:19"
"Crowd","Four more years. Four more years. Four more years. Four more years. Four more years. Four more years.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","01:47"
"President Trump","It’s a very vital group, isn’t it? With your vote, we will continue to cut your taxes, cut regulations, support our great police, support our great military, protect your Second Amendment, defend religious liberty and ensure more products are proudly stamped with that wonderful phrase, Made in the USA.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","01:59"
"President Trump","Next year will be the greatest economic year in the history of our country. You see what’s happening. You see it happening right before your eyes. Under my leadership, our economy is now growing at the fastest rate ever recorded in the history of our country. 33.1%. 33.1%. We created a record 11.4 million jobs in the last five months alone. Another record, record, record, we got many records. Now we have a chance to do something next year, even greater than last year, we had it the best ever and then we got hit by the plague from China and we will never forget. We’re never going to forget it. And then we’re building it up in a level that nobody thought possible leading every nation in the world by far. While foreign nations are in a free fall, we are creating an economic powerhouse unrivaled anywhere in the world. Nothing and no one in the world is doing what we’re doing.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","02:28"
"President Trump","Now, if somebody wants to quadruple your taxes, I can’t tell you what’s going to happen. I think I can. It’s called the depression. A recent Gallup poll found that 56% of Americans say they are better off today than they were four years ago under sleepy Joe Biden and Obama. And if Biden and Kamala, Kamala, Kamala, most liberal member of Congress, she makes crazy Bernie look like he’s a very strict conservative, and the radical left gain power the economy will collapse and our country will go into a very deep and steep depression. I hate to tell you. Look, we’re not going to have to worry about it. If anything we’re going to win.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","03:35"
"President Trump","You know who else thinks we’re going to win? The Democrats think we’re going to win, the Democrats. They’re starting to say, “This is not good.” We’re looking great here. We’re looking great in Pennsylvania, North Carolina, Iowa. Did you see the poll just came out in Iowa? First big poll? We’re only up eight. I’m very upset about that, we’re only up eight. We’re looking very strong, looking strong in Georgia. We just left the great state of Georgia. We’re looking strong in Georgia. In fact, they said, “Sir, you don’t have to go to Georgia.” They said a couple of days ago, I said, “Wait a minute, people are waiting for two and a half days. I’m not going to cancel on Georgia.” I’ve been doing this since early in the morning, only for you, I guess I could have canceled you too. Right? But nobody would have the courage to cancel you. Nah, I wouldn’t even think about it. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","04:28"
"Crowd","We love you. We love you. We love you. We love you. We love you. We love you. We love you. We love you. We love you.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","05:35"
"President Trump","Thank you. And I love you too. I love you too. We’re all in this together. We’re all in this together. Because as I’ve said many times, this will never ever, ever be a socialist nation. Sleepy Joe Biden will raise your taxes $4 trillion. Can you believe it? He’s the only candidate I’ve ever seen that campaigns on the fact, “I will raise your taxes,” this guy. “I will take away your Second Amendment. We will not frack.” For two years, “We will not have frack,” then he got to Pennsylvania, he said, “Well, I was only kidding.” Look at all the press at this time. At this… Look at that them. The fake news followed us. They followed us.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","05:46"
"President Trump","The man, the man. Now, the only one I’ve ever seen do that… We don’t worry about them. They don’t tell the truth anyway so what difference. Just pretend they’re not here. Pretend they’re not here. They’re having a very bad couple of weeks as you know. They’ve actually had a bad four years when you think of it.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","06:57"
"President Trump","Massively increase regulations, we cut regulations more than any administration in the history of our country and they’ll put them right back. Sleepy Joe, it won’t be him because he has no idea where he is, but he’s surrounded by a lot of very far left people. Close down your factories, send you jobs overseas, destroy the suburbs. I say, suburban women, please love me, please love me. Got a lot of suburban women, look at this. Wow.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","07:21"
"Crowd","We love you. We love you. We love you. We love you. We love you. We love you.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","08:09"
"President Trump","Don’t forget suburban women, men also, but we don’t worry about them [inaudible 00:08:17]. I’m terminating a regulation that has ruined suburbia. You too can have a project next to your house and I terminated. Oh, well we have… Is that the first sign of trouble in weeks?","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","08:09"
"Crowd","USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA. USA.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-opa-locka-florida-november-1","Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","08:41"
