"speaker","transcription","url","headlin","timing"
"Donald Trump","All right. Thank you very much. Thank you very much. Appreciate it, and hello, Rochester. Great to be with you. Four days from now, we’re going to win the state of Minnesota. I did not forget you because we were given a very, very hard time by your so-called leaders, but they’re not very good leaders as you found out during the riots, and we’re going to win four more years at our great White House. Thank you. As you know, there are at least 25,000 people who wanted to be here tonight. We just saw a lot of them. Wanted to pay our respects. They were here for a long time. They waited and waited, and then the governor did bad things. Your far-left Democrat Attorney General, Keith Ellison, and your Democrat governor tried to shut down our rally, silence the people of Minnesota and take away your freedom and your rights. They thought he would cancel. A word they are very familiar with, cancel. Cancel culture. But I said, “No way, I will never abandon the people of Minnesota. I will come up. I will come up.”","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","01:29"
"Donald Trump","Thousands and thousands of people over there with cars. We flew over cars that go miles long. What a shame. They waited here for a long time. I want to thank the thousands of people outside who were barred from entry by radical Democrats. You are American patriots. Thank you very much. When large numbers of rioters and vandals sacked the city of Minneapolis earlier this year, Keith Ellison did not ask them to submit a permit. He told the throngs of violent demonstrators, “By all means, exercise your first amendment rights.” He said that prior to them ripping down your city. Keith Ellison sided with flag-burning extremists over law-abiding Americans. He treats you like second class citizens. He believes that the pro-American voters have fewer rights than anti-American demonstrators. Keith Ellison and Joe Biden want to imprison you in your homes while letting anarchists, agitators and vandals roam free as they destroy your cities and states.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","03:00"
"Donald Trump","The Democrat party wants you to be banned from peaceful assembly while they allow their supporters to burn down a police precinct right here. Biden and the far left incite violence with their vile anti-police rhetoric, and the fact that they’re weak people, very, very weak people. They allow rioters to lay waste to the public streets that financed… And they were financed by you with your hard-earned taxpayer dollars. The radical left is determined to obliterate the middle-class. They think they can take your money, attack your values, indoctrinate your children and silence your voices. But on November 3rd, I hope you’re listening, Minnesota, because this is what you’ve had to put up with for a long time. The people of our nation are going to be heard like never before. It’s already begun. People are already starting to find out what’s happening because they’re going to show up and vote in record numbers. You have already started to see what’s going on. They’re getting very concerned. We’re not just running against Sleepy Joe Biden.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","04:16"
"Donald Trump","We’re running against the arrogant far-left political class. They want one set of rules for you and no rules for themselves. Biden and the left wing Democrats treat law enforcement like criminals, and they treat criminals like heroes. They lecture you on morality while they support sanctuary cities that get innocent Americans robbed, raped, maimed, and murdered. They ban you from going to church while they let left wing extremists burned down the church. They support crippling shutdowns that crush blue collar jobs while their own jobs remain totally exempt. They keep your kids out of school while their families hire private tutors. They flood your cities with illegal drugs and gangs while they live inside walled off compounds. They want to destroy and work hard to destroy the suburbs, which I’m protecting, and terminating horrible rules and regulations that only pertain to the suburbs while they move into gated communities with armed guards.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","05:40"
"Donald Trump","These wealthy liberal hypocrites want to defund the police and take your guns while they are protected by armed guards. There’s only one way to defend your dignity. There’s only one way to defend your family and your country. There’s only one way to preserve, protect, and defend the American way of life. You must show up and vote on November 3rd. In the second term, we will increase funding for law enforcement. We will hire more tough on crime prosecutors to put violent offenders behind bars. We will finish and win the war against MS-13 killers. We’ve taken thousands out of our country and brought them back where they came from. We will put them all out of business. We will completely dismantle antifa, and we will reclaim our streets for law-abiding Americans of every race, color, religion, and creed.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","06:59"
"Donald Trump","These are streets that have been run by Democrats, not Republicans, and it’s taken too long for them to gain control of those streets. We will do all of this, and so much more, only with your vote. You have a very important vote, and this state in particular. 1972. This is a state. You’ve been poorly run for too long. You want law and order also. On November 3rd, vote to defeat Joe Biden and save your great American dream and save your wonderful American freedom. Biden is a grimy, sleazy and corrupt career politician. We found that out. A lot of people have known it for a long time. Who’s done nothing but betray you for 47 years. All he’s done in that time is sell out to lobbyists, sell out to China. China owns him. Sell out to big pharma and sell out to foreign countries.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","08:11"
"Donald Trump","He will look you in the eye and then turn right around and stab you in the back and be totally protected by the mainstream media. The only thing he cares about is political power, and he will use that power to hurt you and to enrich his cronies and his friends, and most of all, to enrich his family. A vote for Joe Biden is a vote to put far-left radicals like Keith Ellison and Ilhan Omar and AOC plus three. And gun grabber Beto O’Rourke wants to take your guns away, wants to destroy your Second Amendment, [inaudible 00:10:03] positions controlling the entire federal government. And then they want to pack the courts. They want to pack those courts, the Supreme Court. They want to put radical Justices who will confiscate your guns, terminate your religious liberty, erase all of your borders and stifle life. If you want strong borders, strong families, safe communities, and a thriving economy, then I am asking you to go out on November 3rd and vote for your all time favorite president. One of-","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","09:18"
"Crowd","Four more years! Four more years! Four more years! Four more years!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","10:43"
"Donald Trump","Thank you. One of the most crucial issues for Minnesota in this election is the subject of refugees. This is a vital matter of national security to protect our country. I issued a directive suspending the entry of refugees from foreign nations compromised by terrorism, terrorism like you’ve never seen before, including from Syria, Somalia, and Yemen. We’re keeping radical Islamic terrorists out of our country. I spoke to President Macron of France yesterday and put out my warmest sympathy for what they’ve been through over the last four days with terrorist attacks, the likes of which few have seen. Biden has pledged a staggering 700% increase in refugees from the most dangerous and violent terrorist hotspots anywhere in the world. He has also vowed to terminate our national security travel bans, which I fought very hard to get, which I won in the Supreme Court, allowing for unlimited migration from war zones and terrorist havens. He said, “Bring them in.” Biden’s deadly migration policies will overwhelm Minnesota and overwhelm taxpayers and open the flood gates to terrorists, jihadists, and violent extremists. Under my administration, the safety of our families will always come first. America first, our families first.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","10:56"
"Donald Trump","With your support, we will continue to bring back your jobs, cut your taxes, cut regulations, support our great police, support our military, defend our borders, protect our Second Amendment, which is totally under siege, but don’t worry. As long as I’m here, nothing’s happening with it. Protect religious liberty and ensure more products are proudly stamped with the very wonderful and beautiful phrase, Made in the USA. Yesterday it was announced that last quarter, our economy grew at the fastest rate ever recorded in the history of our country, 33.1%. People were shocked. I wasn’t. Biggest increase in the history of our country by far. 1952, but it was a rate less than half. We are creating an economic powerhouse, a super power the likes of which the world has never seen before. We are building the biggest, strongest and most prosperous middle-class in human history. I am fighting for higher wages, more jobs, more opportunity, and we will keep it right there and we will bring it right here to the USA where it belongs.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","12:40"
"Crowd","USA! USA! USA! USA! USA! USA! USA! USA!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-rochester-mn-october-30","Donald Trump Rally Speech Transcript Rochester, MN October 30","14:03"
