"speaker","transcription","url","headlin","timing"
"President Donald Trump","In the last three years ICE has deported over 16,000 gang members and arrested over 2000 members of MS-13. Think of those numbers, 16,000 and arrested over 2000 members of MS-13. We’ve also deported a lot of the MS-13s out of our country. This week’s actions by the Joint Task Force, Vulcan, is the most recent offense to… really this has been a big offensive in my administration’s war on foreign gangs of which we came into this administration and we said, “What’s going on?”","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","00:00"
"President Donald Trump","We had gangs from countries that you wouldn’t believe. More than 20 of the criminals we indicted and arrested in the past seven days were illegal aliens. Yesterday for the first time ever the Eastern District of Virginia, thank you very much, indicted MS-13 leaders on charges of terrorism. Well, so we have the leader on charges of terrorism. And that’s a first, is that correct?","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","00:35"
"Speaker 2","Yes, we got him.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","00:59"
"President Donald Trump","… for using terrorism, which gives us extra strength. In New York and Nevada 21 MS-13 members and leaders have been indicted on charges including murder, kidnapping, and drug trafficking. The DOJ has also announced that it will seek the death penalty for a bloodthirsty MS-13 leader responsible for the despicable killing of seven Americans, including two teenage girls. Over the past few days, the DOJ and DHS have made several arrests at high, high levels in these cases including several immigration arrests. And I want to thank Chad Wolf for working along with the FBI and with the Attorney General. They’ve work very closely together at the border and the border as you know is setting new records for allowing people in that aren’t allowed to come in, allowing people in illegally.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","00:59"
"President Donald Trump","We believe the monsters who murder children should be put to death. We seem to have quite a good agreement on that. These people murder children and they do it as slowly and viciously as possible. We will not allow these animals to terrorize our communities and my administration will not rest until every member of MS-13 is brought to justice. We’ve done a great job with MS-13 but now we’re stepping it up even to a higher level. This has never happened before, there’s never been any move like this before. Much of it has already taken place, otherwise we wouldn’t be talking about it.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","01:52"
"President Donald Trump","When Biden and the radical left want to open borders for MS-13 and others, we want strong borders, we want as I’ve said, we want borders. Without borders you don’t have a country and we have a great country and it’s coming back stronger than ever from job numbers to every other number, it’s coming back stronger than ever before. We’re going to have a great third quarter, we’re going to have a great fourth quarter and next year is going to be one of the strongest years economically we’ve ever had.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","02:27"
"President Donald Trump","I’m going ask AG Barr, say a few words about the MS-13 and what we’ve done, and what we’re doing, and where we plan to go. And next week we’re going to have I think a very exciting news conference because we’re going to be talking about some of these cities where the Democrats running them have just lost control of the city, so that’ll be very interesting. Bill, please.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","02:57"
"AG Barr","When I came into the department as attorney general the president made it clear that one of his top priorities to reduce violent crime in the United States was to destroy MS-13 in the United States. And what we’ve been in here discussing with the president is part of that effort, which is Project Vulcan or Task Force Vulcan, which is targeting the higher level players in the MS-13 operations in the United States.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","03:19"
"AG Barr","MS-13 is somewhat unique in this sense. They have the street savagery that you would see in a gang. It is not driven by commercial interests the way for example the mafia traditionally was. It’s about honor of being the most savage, bloodthirsty person you can be and building up a reputation as a killer. This is in some ways is a death cult, and then they use the terror that they cause by their savagery to extort. And they’ve gotten increasingly into human trafficking and now narcotics trafficking, but that’s a sidelight to some extent to their basic purpose which is violence, terrorizing people.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","03:47"
"AG Barr","Also, unlike a street gang they’re highly organized as a transnational organization. They operate with hierarchy, with programs, they call them programs, think of it as a crime family essentially. And then under each program they have different cliques. They have programs and cliques operating in the United States. While their center of gravity is in Central America there are thousands that have come into the United States illegally. They’re virtually all illegal aliens. They come in now through… although it’s harder to get across the border but traditionally they’ve come across the border into Houston and then fanned out across the United States into the different centers of activity.","https://www.rev.com/blog/transcripts/donald-trump-receives-law-enforcement-briefing-on-ms-13-july-15","Donald Trump Receives Law Enforcement Briefing on MS-13 July 15","04:31"
