"speaker","transcription","url","headlin","timing"
"Speaker 1","Ladies and gentlemen, the President of the United States.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","03:53"
"President Donald Trump","Thank you very much. Thank you. Beautiful out here this time of year.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","04:09"
"President Donald Trump","The past nine months, my administration has initiated the single greatest mobilization in U.S. history, pioneering, developing, and manufacturing therapies and vaccines in record time, numbers like nobody’s seen before. No medical breakthrough of this scope and magnitude has ever been achieved this rapidly, this quickly and we’re very proud of it and had tremendous help from the military, generals, admirals, and many of the great people at the White House. Operation Warp Speed is unequaled and unrivaled anywhere in the world and leaders of other countries have called me to congratulate us on what we’ve been able to do and we’ve helped many countries with their ventilators and all of the problems they were having, and I’d like to congratulate everyone involved in this effort. It’s been an incredible effort.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","04:17"
"President Donald Trump","As a result of Operation Warp Speed. Pfizer announced on Monday that it’s China virus vaccine is more than 90% effective. This far exceeds any and all expectations. Nobody thought they’d get to that level, and we have others coming, which we think will be at equal level, maybe more if that’s possible.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","05:12"
"President Donald Trump","In July, my administration reached an agreement with Pfizer to provide $1.95 billion to support the mass manufacturing and distribution of 100 million doses, with the option to purchase a total of 600 million doses shortly thereafter. Our investment will make it possible for the vaccine to be provided by Pfizer free of charge. Pfizer said wasn’t part of Warp Speed, but that turned out to be a unfortunate misrepresentation. They are part, that’s why we gave them the $1.95 billion and it was an unfortunate mistake that they made when they said that. We will work to secure an emergency use authorization, which should be coming down extremely soon and my administration will then coordinate the distribution of the vaccine and it will be approved. I think again, it will be approved very, very quickly, we hope.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","05:32"
"President Donald Trump","The average development timeline for the vaccine, including clinical tests and manufacturing can take eight to twelve years. Through Operation Warp Speed, we’re doing it in less than one year. If you had a different administration with different people, what we’ve done would have taken, in my opinion, three, four or five years, and it would have been in the FDA forever. This is five times faster than the fastest prior vaccine development in history. Five times faster. Say it again. Five times faster. Nobody can believe it, actually. Three other vaccines are also in the final stages of trial. They’ll arrive within a few weeks and they will also be mass-produced and the delivery will be very rapid. We’re ready to go.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","06:34"
"President Donald Trump","The vaccine will be distributed to frontline workers, the elderly and high-risk Americans immediately. It will be a matter of weeks. Get out very, very much ahead of schedule. Any schedule that I said, we’re going to be far ahead of that. We know that this virus primarily targets older populations and those with underlying health conditions, while over 99.98% of those under the age of 50 make a full and quick recovery, by giving the vaccine to high risk individuals right away will dramatically reduce hospitalizations and deaths. Case levels are high, but a lot of the case levels are high because of the fact that we have the best testing program anywhere in the world. We’ve developed the most and the best tests and we test far more than any other country so it shows, obviously, more cases. By vaccinating the elderly and the high risk, we will effectively end this phase of the pandemic and allow seniors to reclaim their golden years, the golden years of their lives, which is so incredible, and it’s about time that they can have those golden years.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","07:18"
"President Donald Trump","Again, this process is starting right away. Millions of doses will soon be going out the door. They’re all ready, waiting for that final approval. As soon as April, the vaccine will be available to the entire general population with the exception of places like New York State, where, for political reasons, the governor decided to say, and you know, I don’t think it’s good politically, I think it’s very bad from a health standpoint, but he wants to take his time with the vaccine. He doesn’t trust where the vaccine’s coming from. These are coming from the greatest companies anywhere in the world, greatest labs in the world, but he doesn’t trust the fact that it’s this White House, this administration, so we won’t be delivering it to New York until we have authorization to do so and that pains me to say that.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","08:33"
"President Donald Trump","This is a very successful, amazing vaccine at 90% and more, but the governor, Governor Cuomo, will have to let us know when he’s ready for it, otherwise we, can’t be delivering it to a state that won’t be giving it to its people immediately. And I know the people of New York very well. I know they want it. So the governor will let us know when he’s ready. He’s had some very bad editorials recently about this statement and what’s happened with respect to nursing homes and his handling of nursing homes and I hope he doesn’t handle this as badly as he’s handled the nursing homes,","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","09:22"
"President Donald Trump","but we’re ready to provide it as soon as they let us know that they’ll actually use it. And again, it’s a very safe and a great vaccine. Already, we have among the lowest case, fatality rates, our country, anywhere in the world, the entire world. And we’ve performed significantly better than our peer countries. As far as therapeutics are concerned, my administration’s also made critical investments in therapies that have helped reduce the mortality rate by 85%. That’s, to me, one of the most exciting things. It’s incredible some of the antibody vaccines and others that have come out and have really helped people. 85%. Last month, the FDA approved remdesivir and we’ve secured enough remdesivir to treat 850,000 patients. My administration finalized an agreement with Eli Lilly to purchase the first doses of their antibody therapy, which shows amazing results. This treatment will be available completely free of cost to patients.","https://www.rev.com/blog/transcripts/donald-trump-rose-garden-press-conference-on-covid-19-vaccine-transcript-november-13","Donald Trump Rose Garden Press Conference on COVID-19 Vaccine Transcript November 13","10:03"
