"speaker","transcription","url","headlin","timing"
"Donald Trump","Nice place. Wow. I’ve been hearing about this one. Great job. Great job. Thank you very much for being here. It’s an honor and very important time in our country. A lot of things are happening and I think when it all ends up, it’s going to end up very good for everybody. It’s an honor to be at Gateway Church with the Attorney General, our great Attorney General, William Barr. And my friend, Ben Carson, who has done a fantastic job at HUD Secretary. And a young star, Jerome Adams, General. Where is Jerome? Jerome. Along with a lot of my friends out in the audience. In fact, a lot of the great political leaders from Texas I see. Some great, great friends and I want to thank you all for being here. Faith leaders, members of law enforcement, so important. We want law and order. We have to have a lot of good things, but we have to have law and order.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","08:01"
"Donald Trump","Got to have some strength. You have to have strength. You have to do what you have to do. And you look at a Seattle. We just came in. We just see over the screen and we’ve been hearing about it. Bill and I were talking about it. The law and order, look at what happened in Seattle. They took over a city, a city, a big city, Seattle, a chunk of it. A big chunk. Can’t happen. That couldn’t happen here I don’t think in the state of Texas. I don’t think so. I don’t think so.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","09:09"
"Donald Trump","So I want to thank Pastors Robert Morris and Steve Dolan. They’re great people, great people with a great reputation. I have to say that, great reputation. And Gateway Church, the team has been incredible in hosting us. And I’d now like to ask Pastor Morris and Bishop Jackson to lead us in prayer. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","09:39"
"Pastor Robert Morris","Thank you. Lord, we need you. We need you at this time in our country and I thank you for our president. I thank you, Lord, for our leaders. I thank you, thank you, thank you. I know in the Bible that when something was emphasized, it was repeated. Holy, holy, holy. Thank you. Thank you. Thank you, Lord, that we are about to bring tremendous progress to a problem that’s been here for a long time. And I thank you for this administration and Lord, we pray your blessings, your guidance today on this meeting in Jesus name.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","10:01"
"Bishop Jackson","Father, we thank you so much for what you’re doing today. You have revealed so many things that are untoward, even evil, but we ask according to Isaiah 50 verse four, that you would give us the tongue of the learned, that we should know how to speak to the heart of this nation. Give us a word in season to him that’s weary and waken us morning by morning, God, that we would hear and speak. We have a great courageous president who’s a problem solver. And let him speak as your mouth piece and act as your instrument. And we thank you for this time. Amen.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","10:41"
"Donald Trump","Thank you very much, Bishop. I want to thank you Bishop and thank you very much, Pastor. That’s great. And we’re going to be discussing some pretty important things today I think. It’s all important, but the timing of this is very appropriate. This was set up actually a long time ago, but the timing very appropriate.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","11:38"
"Donald Trump","We are here to listen to community and faith leaders. Going to be hearing from a lot of the good ones, some of the great ones, but a lot of the good ones, and to present our vision of advancing the cause of justice and freedom. From day one, I’ve been fighting for the forgotten men and women of America. And I think we’ve been doing a great job of it. We’ve been doing a lot in many other ways, but it gets lost a little bit sometimes, Bishop, you know that, it gets lost. We’ve done so much and a lot of the things that we’ve done that we’re very proud of gets lost. Like we got criminal justice reform passed and they’ve been trying to do it for many years and they haven’t been able to. We secured permanent and record setting funding for HPCUs, that’s historically black colleges and universities. It was all done.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","11:55"
"Donald Trump","We created tens of thousands of jobs with opportunity zones. Tim Scott and we had a great senator from South Carolina that many of you know, he came with an idea and I thought it was a great idea and we got it done. A lot of people said that could never happen, but nobody thought it would be successful like it is. Tens of thousands of jobs and investment in communities where that money wouldn’t go. And we achieved the lowest black unemployment in the history of our country prior to the plague coming in from China. And we’ll get it back again soon. It’ll happen soon. That will happen very soon.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","12:53"
"Donald Trump","In recent days there have been vigorous discussion about how to ensure fairness, equality, and justice for all of our people. Unfortunately there are some trying to stoke division and to push an extreme agenda which we won’t go for that will produce only more poverty, more crime, more suffering. This includes radical efforts to defund, dismantle and disband the police. They want to get rid of the police forces. They actually want to get rid of it. And that’s what they do. And that’s where they’d go. And you know that because at the top position there’s not going to be much leadership. There’s not much leadership left.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","13:28"
"Donald Trump","Instead we have to go the opposite way. We must invest more energy and resources in police training and recruiting and community engagement. We have to respect our police. We have to take care of our police. They’re protecting us. And if they’re allowed to do their job, they’ll do a great job. And you always have a bad apple. No matter where you go, you have bad apples and there are not too many of them. And I can tell you there are not too many of them in the police department. We all know a lot of members of the police.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-meeting-transcript-on-justice-disparities-in-america","Donald Trump Roundtable Meeting Transcript on Justice Disparities in America","14:07"
