"speaker","transcription","url","headlin","timing"
"Donald Trump","… at that point, it’s been an amazing thing to behold and we’re going to be starting our rallies. The first one we believe will be probably we’re just starting to call up, will be in Oklahoma, in Tulsa, Oklahoma. A beautiful new venue, brand new, and they’re looking forward to it. They’ve done a great job with COVID as you know, in the state of Oklahoma. And we’re going to be coming into Florida, do a big one in Florida, a big one in Texas, they’re all going to be big. We’re going to Arizona. We’re going to North Carolina at the appropriate time. The governor’s a little backward there, he’s a little bit behind. And unfortunately we’re going to probably be having no choice but to move the Republican convention to another location. That’ll be announced shortly, but we’ll have no choice. We wanted to stay in North Carolina very badly. We love it, it’s a great state. A state I won.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","00:00"
"Donald Trump","Many, many friends, many relatives, frankly, that live there. And we’ll see how it all works out. But the governor doesn’t want to give an inch. And what he’s doing is losing hundreds of millions of dollars for his state, but we’ll probably have no other recourse but to move it to another state. We have a lot of states that want it, Texas, Georgia, Florida. There are many, many states that want it. But we’ve given them everything we can, North Carolina, special place. But I think we’re going to probably end up giving you an announcement pretty soon. We are doing well in so many ways. You see what’s going on with NASDAQ. We just broke another record yesterday. Some good news came out of the federal reserve today. I think some very good news. We’re really doing a financial comeback, the job’s numbers were fantastic.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","00:52"
"Donald Trump","Now we’ll have some other job numbers come up over the next few weeks and we’ll see how that goes. But I think it’s really good and we’re on our way to a very big comeback. I’d like to ask some of the folks that I’m with today to say a few words. They’ve been really supporters and friends of mine. They understand life. They understand I think the black community better than anybody I know. And I will tell you, Ben Carson is an example of exactly what I’m talking about. He’s been my friend from the first day we met, I think, and we met, we were opponents, but we were never really opponents. Ben is a very exceptional guy. He’s done a fantastic job at HUD, but I’d like to maybe start with Ben to say a couple of words and go to Darrell. And the rest of us, let’s say a few words to the press. So if you would please, Ben.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","01:45"
"Ben Carson","Thank you, Mr. President. We’re here obviously to talk about some of the concerns of the black community, that have risen to a point that people all around the world are making their voices heard. This is an opportune time to do something about it because this administration has already established a record of actually solving problems. Problems that other people just talk about and have talked about for many years. And I am delighted Mr. President, that you have made it a priority to solve this problem. And we’re all going to be helping with that process. There are many others out there, people of good will, there’s some who just wait for anything to criticize it. But there are actually some people who actually want to see a solution. And I’ve had a chance to talk to many of them, will continue to do that, put forth the kinds of programs that actually get people out of poverty, not things that just keep people stable in poverty and happy in poverty.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","02:34"
"Ben Carson","We want to change that whole dynamic. And I think some of the things that have already been done, we will get back to those quickly. This was an intentional stopping of the economy, of an amazing economy. The fundamentals of that economy are still in place. We will recoup that and we will move further on. And your philosophy of course, has been that a rising tide floats all boats. And that’s why you don’t spend a lot of time with identity politics. We want everybody to be successful.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","03:48"
"Donald Trump","That’s right.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","04:22"
"Ben Carson","And we’re going to do everything we can to help you do that.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","04:23"
"Donald Trump","Well, as I’ve been saying, Ben, I think that the economy next year will be maybe the best it’s ever been. You can already see it with the stock market, how it’s been going up because you have a lot of smart people that are betting on exactly what I’m saying. The stock market is almost as high as it was prior to the plague floating in from China. It was a plague that floated in from China. Now they’re learning that it may have been much earlier, which bears out exactly what I’ve been saying. You saw that word yesterday, that it may have come in a lot sooner than we were told. A friend of mine is Darrell Scott, and he’s a great guy and he’s got a tremendous heart. At the same time, he’s a tough cookie. I think that’s what maybe attracted me to him. Unfortunately, I didn’t get attracted to the good parts, but that’s a good part too. Darrell, say a few words please.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","04:25"
"Darrell Scott","We’re here today and thank you, Mr. President for allowing us to come. Our nation is at a juncture where we’re facing another challenge, but this administration has become used to challenges. It’s been one challenge after another and we’ve pressed pause, but we’re waiting to press play now and continue in the positive initiatives regarding the black community. Now, Mr. Trump called me in November of 2016, right after the election, right after he won. And he said to me, “What do you want? And I said, “What do you mean?” He said, “Well, I mean, you’ve been working real hard. Isn’t anything that you want?” And I said, “I want to be a liaison from the black community to the Trump administration and the liaison to the black community from the Trump administration.”","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","05:15"
"Darrell Scott","Since then, we’ve worked on criminal justice reform. We’ve worked on urban revitalization, prison reform, HBCUs, a number of initiatives that are pro-active towards the black community. And here we are now, and we could be facing another challenge and we’re going to come up with some great solutions to these problems that are confronting this country. And I’m just glad to have a seat at the table and to have my input received.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","06:00"
"Donald Trump","Well, your input’s been very important, Darrell, you know that.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","06:26"
"Darrell Scott","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-transcript-on-race-policing-with-african-american-leaders","Donald Trump Roundtable Transcript on Race & Policing with African American Leaders","06:28"
