"speaker","transcription","url","headlin","timing"
"President Donald Trump","Thank you very much, and thank you for being here to discuss the relentless work that we’re doing to defeat the China virus and protect the people of Florida. Great state. Just got the endorsement of the sheriffs, and they are amazing people. The law enforcement in Florida is very, very, very first grade. We appreciate that endorsement in particular.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","00:12"
"President Donald Trump","First, I want to provide a update to our response and on our response to hurricane. So the hurricane is a … I’m not sure it’s a hurricane yet. Right now-","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","00:35"
"Speaker 1","[crosstalk 00:00:45].","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","00:45"
"President Donald Trump","… it’s sort of projected as a storm/hurricane, right? What’s going to happen? Is that looking like a hurricane to you, Ron?","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","00:45"
"Ron DeSantis","I think that it did reach category one status, but it’s kind of right at the border.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","00:52"
"President Donald Trump","Let’s keep it there. Let’s not let it get any bigger. But it’s pretty severe nevertheless. A lot of water coming in. It’s approach approaching the Florida coast. The storm’s already passed through Puerto Rico and the Virgin Islands, and I’ve approved emergency declarations for both of those areas.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","00:56"
"President Donald Trump","FEMA is closely coordinating with Florida, with your governor, happens to be on my right. Good job, by the way, Ron. You’re doing a great job. And we’re in constant contact with Georgia, South Carolina, North Carolina, Alabama, and anybody else that may have a problem. But we think it’s going to work out very well. We have FEMA all set to go. In some of those states, they were already there.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","01:11"
"President Donald Trump","I ask all of those in the path of the storm to follow the guidance of your state, local, and tribal officials. My administration will be here for you every single step of the way. We’ve done everything we can do, and now we’re just waiting for the storm. And I guess it’s right behind me. It’s following me.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","01:35"
"President Donald Trump","We’re grateful to be joined by Health and Human Services’ Secretary is doing a fantastic job on COVID or whatever you want to call it. There are many different names. All we know is it came from China, and they shouldn’t have let it happen. But Alex Azar is here. Thank you, Alex, very much. Governor Ron DeSantis doing a fantastic job. Thank you. Previous Governor and now Senator Rick Scott. He’s representing Florida very well in Washington. And I just spoke with Marco Rubio, and likewise he’s doing a great job, and he sends his regards. State Senator Wilton Simpson. Thank you very much, Senator. Great job you’re doing. State Representative Daniel Perez. Daniel, thank you, Daniel, very much.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","01:53"
"Daniel Perez","Thank you, Mr. President.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","02:37"
"President Donald Trump","Pinellas County Commissioner Kathleen Peters.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","02:37"
"Kathleen Peters","Good to see you.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","02:41"
"President Donald Trump","Hi, Kathy. Thanks very much. And CEO, Safety Net Hospital Alliance of Florida, Justin Senior. Thank you. Thank you, Justin, very much, very much for being here.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","02:41"
"President Donald Trump","We continue to take very aggressive action to combat the virus in Florida, and your state officials are amazing. They’ve been working so hard. The rate of positive cases in Florida has now declined. It’s declining. And hospitalizations are declining in most places and pretty steadily, and we think there’s going to be a big decline starting very soon.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","02:52"
"President Donald Trump","There’s currently over 21% inpatient hospital bed capacity available, so there’s plenty of bed capacity. And over 16% ICU capacity available, and some of that’s going to be emptying out as people get better. They do get better, and they get better pretty fast.","https://www.rev.com/blog/transcripts/donald-trump-roundtable-on-covid-19-response-storm-preparedness-transcript-july-31","Donald Trump Roundtable on COVID-19 Response & Storm Preparedness Transcript July 31","03:17"
