"speaker","transcription","url","headlin","timing"
"Frank","Referring to-","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","00:00"
"Donald Trump","Excuse me.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","00:01"
"Frank","John McCain, a war hero, five and a half years as a POW, and you call him a dummy. Is that appropriate in running for president?","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","00:01"
"Donald Trump","Okay. Let’s. You got to let me speak though Frank because you interrupt all the time, okay? No, I know him too well, that’s the problem. Let’s take John McCain. I’m in Phoenix. We have a meeting that is going to have 500 people at the Biltmore Hotel. We get a call from the hotel, it’s turmoil. Thousands and thousands of people showing up three, four days before, they’re pitching tents on the hotel grass. The hotel says, “We can’t handle this. It’s going to destroy the hotel.” We move it to the convention center. We have 15,000 people, John, the biggest one ever bigger than Bernie Sanders, bigger than… 15,000 people showed up to hear me speak, bigger than anybody, and everybody knows it.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","00:11"
"Donald Trump","A beautiful day with incredible people that were wonderful great Americans, I will tell you. John McCain goes up, “Oh boy, Trump makes my life difficult. He had 15,000 crazies show up.” Crazies, he called them all crazy. I said, “They weren’t crazy. They were great Americans.” These people, if you would have seen these people… I know what a crazy is. I know all about crazies, these weren’t crazies. So he insulted me and he insulted everybody in that room. And I said, “Somebody should run against John McCain who has been, in my opinion, not so hot.” And I supported him, I supported him for president. I raised a million dollars for him. It’s a lot of money. I supported him. He lost, he let us down. He lost. So I’d never liked him as much after that because I don’t like losers. But Frank, Frank, let me get to it. He hit me.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","00:53"
"Frank","He’s a war hero.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","01:43"
"Donald Trump","He’s not a war hero.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","01:44"
"Frank","He’s a war hero.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","01:46"
"Donald Trump","He’s a war hero-","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","01:46"
"Frank","Five and a half years in a prison camp.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","01:46"
"Donald Trump","He’s a war hero because he was captured. I like people that weren’t captured, okay? I hate to tell you.","https://www.rev.com/blog/transcripts/donald-trump-says-i-like-people-who-werent-captured-calls-john-mccain-loser","Donald Trump Says “I Like People Who Weren’t Captured”, Calls John McCain “Loser” – Transcript","01:46"
