"speaker","transcription","url","headlin","timing"
"Donald Trump","Okay, thank you very much. We’re going to Minnesota. I thought the debate last night was great. We’ve gotten tremendous reviews on it. We’re hitting what people want. Law and order, which Biden was unable to even talk about because he’d lose the radical left, his radical left followers. I don’t think there’s too many of them left, but I thought it was a great evening. It was an exciting evening. I see the ratings were very high, and it was good to be there. Felt very comfortable, and I appreciate all the good words. So we are going now, and we’re going to have a big rally. A lot of people are showing up. Yeah.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","00:00"
"Journalists","[inaudible 00:01:10] last night, when you said that the Proud Boys should stand back and stand by.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","01:10"
"Donald Trump","I don’t know who the Proud Boys are. I mean, you’ll have to give me a definition, because I really don’t know who they are. I can only say they have to stand down and let law enforcement do their work. Law enforcement will do the work more and more as people see how bad this radical liberal Democrat movement is, and how weak. The law enforcement is going to come back stronger and stronger. But again, I don’t know who Proud Boys are. But whoever they are, they have to stand down, let law enforcement do their work.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","01:12"
"Journalists","But Mr. President, did you misspeak when you said, “Stand by?” [inaudible 00:01:46]","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","01:42"
"Donald Trump","Just stand by. Look, law enforcement will do their work. They’re going to stand down. They have to stand down. Everybody, they have to stand… Whatever group you’re talking about. Let law enforcement do the work. Now, Antifa is a real problem, because the problem is on the left and Biden refuses to talk about it. He refuses to issue the words law and order. You saw that last night when he choked up. He can’t say the words, because he’ll lose the rest of the left. So he’s got to condemn Antifa. Antifa is a very bad group. Yeah.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","01:47"
"Journalists","So Mr. President, let me follow up. White supremacists, they clearly love you and support you. Do you welcome that?","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","02:18"
"Donald Trump","I want law and order to be a very important part. It’s a very important part of my campaign. And when I say that, what I’m talking about is law enforcement has to… Police have to take care, and they should stop defunding the police like they’ve done in New York, like they’ve done in New York.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","02:19"
"Journalists","[crosstalk 00:02:38].","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","02:39"
"Donald Trump","I just told you.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","02:39"
"Journalists","But do you denounce them? Do you know denounce white-","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","02:40"
"Donald Trump","I’ve always denounced any form, any form of any of that. You have to denounce. Joe Biden has to say something about Antifa. It’s not a philosophy. These are people that hit people over the head with baseball bats. He’s got to come out and he’s got to be strong, and he’s got to condemn Antifa. And it’s very important that he does it.","https://www.rev.com/blog/transcripts/donald-trump-says-proud-boys-should-stand-down-after-debate-transcript-september-30","Donald Trump Says Proud Boys Should “Stand Down” Transcript September 30","02:42"
