"speaker","transcription","url","headlin","timing"
"Donald Trump","Well, thank you very much everyone. This is a great honor and I see you have social distance on your mind and that’s a very good thing. Jovita, congratulations. Tremendous job you’re doing. I want to thank everyone for being at the White House, a very special house, a very special place, no matter where you go in the world, they love the White House. And being here, the East Room of the White House in particular where so many important functions have taken place over the years. And today were really celebrating American workers and small businesses and we’ve done a job for you and we’re going to make it so as we open up our country, you’re going to be in good shape as opposed to be either losing your business or how do we get some people to work here, especially since your employees was so good over the years and those are the ones you wanted. So we made that possible for you. We’re delighted to be joined this afternoon by representatives of several incredible small businesses from across our country, also with us, our Treasury Secretary, Steven Mnuchin. Steve, thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","00:00"
"Donald Trump","And the SBA administrator, you’ve been… you’ve been busy, Steve, by the way? A little bit. Broke every record in the book and SBA administrator Jovita Carranza. Thank you, Jovita. Have you gone to sleep the last two weeks? I don’t think so. You broke every single lending record. Numbers of loans, amount of loans, small business, it’s actually a very big business when you think about it. Thank you very much, Jovita. Great job. As our nation battles against this terrible scourge, we continue to pray for the victims as well as for those Americans who are grieving their lost ones and their loved ones. There’s never been anything like this. We suffer with one heart, but we will prevail. We’re coming back and we’re coming back strong. And we built the greatest economy anywhere in the world two months ago and we’re going to build it again. We’re going to build it fast. It’s going to go very quickly, and Larry, thank you for being here very much. You see what’s going to happen. I think you have the same feeling as I do. It’s going to come back very fast.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","01:07"
"Donald Trump","Now that our experts believe the worst days of the pandemic are behind us, Americans are looking forward to the safe and rapid reopening of our country. Throughout this ordeal, millions of hardworking Americans have been asked to really make tremendous, tremendous sacrifices. It’s sacrifices like nobody thought would even be possible. Nobody thought would ever be talking about something like this. This virus has inflicted an enormous and painful toll on our nation’s workers and small businesses. That’s why last month I asked Congress to pass the Paycheck Protection Program, giving small businesses emergency economic relief to keep workers on the payroll. Four weeks ago I was proud to sign it into law. We did that at a great ceremony with many of the people here and the officials here and it was something. And I can tell you, I’m going to ask Steve to say a few words, but the kind of numbers and the kind of jobs they’ve done and the kind of jobs that have also been saved. It’s incredible. You’ll be seeing that in the coming weeks.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","02:11"
"Donald Trump","The Treasury Department and the Small Business Administration launched the program in record breaking time, just one week. And in the 14 days following its launch, we processed as many loans as the SBA would typically process in over 14 years. So in 14 days they did more work and more loans, both in terms of applications and in terms of a dollar amount, than they did in 14 years. 14 days, 14 years, easy one to remember. That’s some record. The first round of funding provided more than 1.6 million small businesses with over $340 billion so that American workers can retain their jobs, receive their paychecks, and help our economy take off quickly, once America reopens for business. Which is happening right now as we sit, we’re going to be all set and you all ready? I know you are. I talked to you back there, you’re ready. You folks are ready.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","03:18"
"Donald Trump","Our swift action supported or saved 30 million American jobs at least. And last week, Congress answered our call to replenish the program and I was honored to sign an additional $ 320 billion for American workers into law. At least $60 billion are reserved for community financial institutions, including those that serve minority and distressed communities. And that’s also when you think it’s African American communities, it’s Hispanic American communities, Asian American communities. We began accepting applications for the second round of funding yesterday. Demand is extraordinarily high and there are already twice as many users accessing the system as on any day under the first round. And one of the things that the Secretary of the Treasury told me is that the amounts are much more loans at much smaller amounts. So we like to hear that because we’re looking at the small amounts, the smaller businesses and that’s what we want.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","04:16"
"Donald Trump","Nonetheless, we’re processing loans at a pace never achieved before. In the first 24 hours of the second round of funding, we’ve handled over 30% more loans than any previous day of the program. So far, we’ve processed an amazing 450,000 loans totaling over $50 billion. That’s in phase two. That’s incredible. Along with Administrator Carranza and Secretary Mnuchin, Ivanka has played an essential role in spearheading this important program. Incredible girl. That’s what she wants to do. She wants to help people. From the beginning of my administration, Ivanka has used her experience as an entrepreneur to fight for the American worker. She’s created many jobs. That’s what she did when she first came in. She just wanted people to be able to get jobs and job training. Went to the biggest companies anywhere in the world that are located in our country and they would take hundreds of thousands of people and train them and I think you got up to almost 15 million people. 15 million. She started off with a goal of 500,000 she wanted to get 500,000 and she is now on almost 15 million people. And I’d like to ask if I might, Ivanka to say a few words as to what’s exactly happening today, what’s what’s happening over the next week. And what her views are for what’s going to happen over the next period of time. It’s going to be something, I think it’s going to be very special and bigger and better than anybody really understands. Let’s see if I’m right about that. Ivanka, please.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","05:20"
"Ivanka Trump","Well, thank you everyone and thank you Mr. President for convening this incredible group of entrepreneurs and small business owners who very much represent the soul and the spirit, the grit and the tenacity of America’s small business owners across the nation. So we’re grateful to each and every one of you for joining us here today and very excited to hear your stories and hear specifically about how you’re going through this challenge and how through the Payment Protection Program and through the PPP, you are able to keep your workforce employed. It’s about your businesses thriving and growing within your communities. It’s about your workforce, who each of you cares very dearly about. And I’d like to make a special call out of thanks to Secretary Mnuchin for his tireless work on this front. So if you’d like to come up and join us that we would appreciate that. Secretary. And SBA administrator Carranza thank you. You have been such a champion for America’s small business. If you’d also like to come up and join us. And Larry Kudlow, thank you for all that you do in fighting for American workers. With that, I would like to kick us off by introducing Amy [Wright 00:08:21] to come up to the stage and share with us a little bit of her story. She has created an amazing business that stemmed from personal experience and very much her heart. And it’s been an honor getting to know you, Amy, as you really embody the spirit of small businesses around this country. Amy, because of the PPP program, was able to rehire the 120 workers that she was forced to lay off. And now those workers, all of which have some form of disability are able to bring cheer and bring comfort to your clients as you’re serving them. So Amy, if you’d like to come up and share your story. And Michael, her great colleague is here today as well who could share his perspective. Thank you, Amy.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","06:56"
"Amy Wright","Thank you Ivanka. Mr. President, I’m so honored to be joined by my employee, Michael, who you will hear from in just a moment. Bitty & Beau’s coffee is more than a coffee shop. It’s a human rights movement. We employ 120 people with intellectual and developmental disabilities and for most of them it’s their first paying job, which made the decision for us to temporarily close all five of our shops especially difficult. But thanks to the Paycheck Protection Program and the incredible team at Live Oak Bank, all 120 of our employees are back on the payroll today and working from home writing handwritten notes that we include with each online order we ship.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","09:23"
"Amy Wright","I know everyone is ready to return to normal, but I believe it’s time for a new normal, one where people with disabilities are valued, especially in the workplace. As a recipient of the PPP loan, we will continue to take up the charge and help everyone, especially people with disabilities, pursue the American dream. And Michael, what’d you’d like to say?","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","10:23"
"Michael","Sure. Let’s hope this [inaudible 00:10:53] isn’t too big for me. So to you, President Trump and Ivanka, thanks a lot for inviting us. Thank you Mr. President for having us. I love my job and I am excited about going back to work. At Bitty & Beau’s, we like to use the phrase called not broken. That means me and all my amazing coworkers are not broken and we have lots to offer. I know the great country of the United States isn’t broken either. So on half of myself, Megan and Amy and all the employees at Bitty & Beau’s, thank you for inviting us over.","https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-28","Donald Trump Small Business Relief Speech Transcript April 28","10:51"
