"speaker","transcription","url","headlin","timing"
"President Trump","Thank you. What a nice group. Thank you very much. Beautiful, thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","00:30"
"Crowd","Four more years.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","00:50"
"President Trump","Thank you very much, please. We are going to be talking to our great senior citizens, that’s what I’m here for today.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","00:52"
"Speaker 1","[crosstalk 00:00:50].","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","00:55"
"President Trump","We love our senior citizens. And I’m honored to be here in Fort Myers to reaffirm my solemn pledge to America’s seniors, it’s so important to me, I happen to be a senior. I will protect you, I will defend you, and I will fight for you with every ounce of energy and conviction that I have. You devoted your life to this country and I am devoting my life to you. My administration is working every day to give our amazing senior citizens the care, support, and respect that you deserve, and you understand that, we’ve worked together for a long time. As president, I’m deeply aware that America’s 54 million seniors have borne the heaviest burden of the China virus. Many older Americans have endured months of isolation, missing weddings, births, graduations, church, and family reunions, you know that very well, you know it all too well. My heart breaks for every grieving family that has lost a precious loved one, I feel their anguish, and I mourn their loss, I feel their pain.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","00:56"
"President Trump","I know that the terrible pain that they have gone through, and you lose someone, and there’s nothing to describe what you have to bear, there’s nothing to describe it. In times of challenge, we turn to our fellow Americans for a shoulder to lean on and we turn to God for healing and strength, and together we will overcome. My message to America’s seniors today is one of optimism, confidence, and hope. Your sacrifice has not been in vain. The light at the end of the tunnel is near. We are rounding the turn, I say that all the time, some of the media doesn’t like hearing it, but I say it all the time, we’re rounding that turn. Don’t listen to the cynics, and angry partisans, and professional pessimists, we are Americans and we will prevail, we are prevailing, and we are… It’s amazing what’s happening, if you look at what’s going on, it’s been really very amazing.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","02:09"
"President Trump","I’m moving heaven and earth to safeguard our seniors from the China virus to deliver life-saving therapies in record time and to distribute a safe and effective vaccine before the end of the year, and we’re really doing it even sooner than that, you see what’s going on, we have the vaccines getting ready to go. Seniors will be the first in line for the vaccine and we will soon be ending this pandemic, hasn’t happened a thing like this since 1918, 1917, that was a bad one too, that was a real bad one. I will not rest until we’ve eradicated this plague from our country, and our lives, and our world, we want it out. When the China virus arrived, we launched the largest mobilization since World War II. Our aggressive and early action saved more than 2 million lives compared to the best estimates from last spring, you remember when they were giving you estimates.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","03:15"
"President Trump","Since the beginning, our nation’s seniors have been my top priority, it was obvious very early on that it was affecting the seniors not young people. Young people are… They have that strong immune system and I give all credit to them, but they have a strong immune system, and 99.99, think of that. But, when you get into people that have a few more years, it’s a little bit more difficult, when you get a lot more years, it’s a lot more difficult. But, what they’ve done with therapeutics now and what they’ve done with all of the other things that they’re doing, it’s incredible. We heightened mitigation and surge testing to protect those at highest risk. We sent billions and billions of dollars in funding to personal protective equipment and distributed rapid testing to 15,400 nursing homes all over the country.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","04:14"
"President Trump","We’ve worked with a lot of governors and some have done a great job, and some have done not a great job, and some have done a very poor job, actually, but some have done a great job, but we’re working very closely with the governors of the states. Just this week, even the New York Times, this was shocking, was forced to admit that ‘experts are saying with genuine confidence that the pandemic in the United States will be over far sooner than they expected’. And they’re right, but I was shocked to hear coming out of the New York Times, right? I was a little [inaudible 00:05:55], and it’s thanks to my administration’s Operation Warp Speed, incredible people. Because of advances in treatment we pioneered, and we have many treatments, but because of these great advances, we’ve reached the point where the fatality rate is reduced by 85% since April and now it’s up to probably 91%. Well, I’m here, I tell you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","05:09"
"Crowd","Four more years.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-protecting-americas-seniors-october-16","Donald Trump Speech Transcript ‘Protecting America’s Seniors’ October 16","06:27"
