"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you. [inaudible 00:00:08]. Well, thank you very much. It’s an honor to be with everybody, and very importantly, we’re at the White House. There’s no place like the White House, and for those of you that this is the first time, I know exactly what you’re thinking, because I was here a first time, and it was still something I’ll never forget. So it’s great to have you, and our First Lady and I pleased to welcome everybody to this wonderful place and discuss the vital importance of safety and reopening America’s schools.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","00:00"
"Donald Trump","We want to reopen the schools. Everybody wants it. The moms want it. The dads want it. The kids want it. It’s time to do it. Our mortality rate is right now at a level that people don’t talk about, but it’s down tenfold, tenfold. So you look at deaths are way down from this horrible China virus, and it’s a disgrace that had happened. Shouldn’t have happened, but it did. The economy is coming back, and it’s coming back strongly. Jobs are setting records for … Two months ago, they set the record, and then again, almost five million new jobs last month, which is a record. It broke our last record of a month before.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","00:42"
"Donald Trump","So the numbers are happening much faster than anybody anticipated. The stock market, NASDAQ just had another record today, and the market’s generally just really a very small amount below where they were at the height of the market when we first had to do this about four and a half, five months ago. It’s incredible what’s happened.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","01:29"
"Donald Trump","When you look at education, my administration has approved $13 billion for state and local education. We’ve approved over $6 billion to support colleges and another $6 billion in emergency grants to students, very importantly. We waived standardized testing requirements, deferred federal student loan and interest payments. So you take a look at the student loan program. We’ve waived student loan and interest payments, and that is something that people haven’t been hearing about and nobody talks about, but it’s a big deal.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","01:52"
"Donald Trump","We’ve pioneered new treatments that are dramatically improving the health outcomes. Vaccines are doing very well. Therapeutics are doing very well. The therapeutic research has been incredible, and I think you’re going to have a lot of big things happening long before the end of the year on both vaccines and therapeutics. Therapeutics, I guess, is a little bit of a word we can use for on the way to a cure. But they make you better. I mean, to me, the therapeutic is even more important than the vaccine at this point, because people will get better.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","02:28"
"Donald Trump","But the numbers, the testing numbers are the highest they’ve ever been. We’re almost up to 40 million in testing and 40 million people, which is unheard of, far more than any other country, many times what any other country has, and therefore we have more cases. Because we’re doing more testing, we have more cases. If we did half the testing, we’d have far fewer cases. But people don’t view it that way.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","03:02"
"Donald Trump","What they have to view, though, is if you look at the chart, and maybe Mike has it, but we looked at it before. If you look at the chart of deaths, deaths are way down. So what we want to do is we want to get our schools open. We want to get them open quickly, beautifully in the fall. As you know, this is a disease. It’s a horrible disease, but young people do extraordinarily well.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","03:26"
"Donald Trump","I was with the governor of New Jersey. We were talking, and he said out of … and he mentioned a number, which is a very high number, but it’s a number nevertheless, thousands of people. There was only one person that died that was under 18 years old in the state of New Jersey, and that was somebody I guess had a problem with perhaps diabetes or something else. But one person out of thousands of people, one person died who was under 18 years old.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","03:52"
"Donald Trump","So that’s a pretty amazing stat when you think of it. But I’d like to now just give the mic to our First Lady. She’s going to say a few words, and then we’re going to go with Mike and Karen Pence. Then we’ll go around the room a little bit, say a few words, and Kelly Anne, you did a great job this morning. Thank you. Really great. So if I might, First Lady, please.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","04:21"
"Melania Trump","Thank you. Good afternoon, everyone. The first pillar of my Be Best initiative is children’s wellbeing, and taking care of children’s social, emotional, and physical health has never been more important than during the COVID-19 pandemic. The administration has worked around the clock to protect Americans from the coronavirus, but many challenges for children and families can be just as invisible as the virus and just as dangerous.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-safely-reopening-schools-amid-covid-19-pandemic","Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic","04:44"
