"speaker","transcription","url","headlin","timing"
"Donald Trump","Good builder. He loved to build houses. He was a good builder. I learned so much from him, and he was a great guy. Lovely guy. Loved my father.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","00:00"
"Speaker 1","He described his mother Mary, a Scottish immigrant, as the perfect housewife. His father Fred was a millionaire real-estate developer. The Trump patriarch has been described as a human machine, driven.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","00:09"
"Speaker 2","His father was a … he was a demanding guy, and he very much pushed Donald, and Donald, in some ways, was the chosen son.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","00:22"
"Speaker 1","That ambition was unmistakably prevalent in young Donald’s DNA.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","00:31"
"Speaker 3","He apparently loved military school. He liked the kind of out front, I think, competitiveness of it. There were so many different ways that you could excel and get medals, and ribbons.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","00:36"
"Speaker 1","Donald Trump thrived, raising in rank, and he was socially popular with men and women. He also gravitated towards sports, or rather, winning in sports, in soccer, wrestling, football, and baseball.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","00:47"
"Speaker 2","He excelled at baseball to the point where I think his coaches felt that he could become a professional baseball player.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:03"
"Speaker 1","The children were all raised to be high achievers, but Donald in particular patterned himself after his father.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:10"
"Donald Trump","I started off making little deals in Brooklyn and Queens with my father, and they seemed to work out.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:18"
"Speaker 1","And then, with a loan from Dad, Donald Trump struck out on his own.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:25"
"Speaker 4","I think the rules that Fred Trump taught his son Donald began with he must be a winner.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:29"
"Speaker 5","You had said that one of the most important aspects in your personality is winning. Why winning? What about the it’s not whether you win or lose, it’s how you play the game?","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:35"
"Donald Trump","I like winning better. We have to win.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-turning-point-usa-teen-student-summit-speech","Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech","01:45"
