"speaker","transcription","url","headlin","timing"
"Donald Trump","Well, thank you very much. I am working very hard for you, I will tell you. And sometimes you don’t make it easy, and I certainly don’t make it easy on you. I will continue that tradition if I might this morning. And Arthur, I don’t know if I agree with you. But I don’t if Arthur’s going to like what I’m going to say. But I loved listening to you, it was really great. Thank you very much. And thank you, Congressman, for the great job you’ve been doing and the relationship and the help. You’re a warrior. Thank you very much. And Kevin, you’re a warrior, thank you. The job you’ve done is incredible. It wasn’t supposed to be that way. A lot of extra work, unnecessary work.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","00:20"
"Donald Trump","It’s wonderful to be with the thousands of religious believers for the 68th Annual National Prayer Breakfast. I have been here from the first one, where I had the privilege of being asked. I’ve been with you for a long time before that. We’ve made tremendous progress, tremendous progress. You know what we’ve done. I don’t think anybody’s done more than all of us together during these last three years, and it’s been my honor.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","01:14"
"Donald Trump","But this morning we come together as one nation, blessed to live in freedom and grateful to worship in peace. As everybody knows, my family, our great country and your President, have been put through a terrible ordeal by some very dishonest and corrupt people. They have done everything possible to destroy us. And by so doing, very badly hurt our nation. They know what they are doing is wrong, but they put themselves far ahead of our great country.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","01:44"
"Donald Trump","Weeks ago and again, yesterday, courageous Republican politicians and leaders had the wisdom, fortitude and strength to do what everyone knows was right. I don’t like people who use their faith as justification for doing what they know is wrong. Nor do I like people who say I pray for you, when they know that that’s not so.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","02:32"
"Donald Trump","So many people have been hurt, and we can’t let that go on. I’ll be discussing that a little bit later at the White House. We’re joined today by two people whose faith inspires us all. Our amazing, wonderful friend, Vice President Mike Pence and his wonderful wife, Karen.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","03:09"
"Mike Pence","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","03:38"
"Donald Trump","Thank you to all of our great political leaders out there. So many that I’ve been working with so hard over the last three years, and we’ve accomplished so much. And to members of my Cabinet in attendance, Secretary Mike Pompeo, Mark Esper, David Bernhardt, Gene Scalia, Alex Azar, Ben Carson, Dan Brouillette, Betsy DeVos, Robert Wilkie, and Administrator, Jovita Carranza.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","03:47"
"Donald Trump","Joining us for this cherished tradition are a lot of friends in the audience. Many really have become friends. They are political leaders. They’ve become great friends. That’s all I get to meet anymore. That and the enemies and the allies, and we have them all. We have allies, we have enemies. Sometimes the allies are enemies, but we just don’t know it. But we’re changing all that. But thank you all, and thank you all for being here. I also want to welcome foreign dignitaries from more than 140 countries, that’s something. That’s something.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","04:20"
"Donald Trump","Everyone here today is united by your shared conviction. We know that our nation is stronger, our future is brighter, and our joy is greater when we turn to God and ask him to shed his grace on our lives. On Tuesday, I addressed Congress on the State of the Union and the great American comeback. That’s what it is.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","05:13"
"Donald Trump","Our country has never done better than it is doing right now. Our economy is the strongest it has ever been. For those of you that are interested in stocks, it looks like the stock market will be way up again today. According to the latest Gallup poll that just came out a little while ago, a few minutes ago, American satisfaction is at the highest level ever recorded. Can you imagine? And that’s from Gallup, no friend of mine. 90% of Americans say they are satisfied with their personal lives. How about that, isn’t that something? It just came out today. They must have known I was going to be here.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-2020-national-prayer-breakfast-trump-goes-after-romney-and-democrats-in-speech","Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech","05:41"
