"speaker","transcription","url","headlin","timing"
"President Trump","Thank you very much. Did you see the crowd outside? I don’t know if they report it. I don’t think they do. You know who they are, right? Fake news. No, I don’t know that they report it. That is an unbelievable, thousands and thousands of people lined up so far. It was very important for me to come to North Carolina because we wanted to be here, but your governor didn’t allow it because he’s in a shutdown mode along with a lot of other Democrat governors. And it’s too bad, but I want to thank Kirby and the incredible people I just met, farmers and wonderful business people and really, humanitarians, they’re incredible people. I’m thrilled to be at the Flavor First Growers and Packers facility here in the great state of North Carolina.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","00:15"
"President Trump","Joe Biden was supposed to be in Wisconsin, but he never showed up. I showed up. In fact, we did a count, our vote we did here in North Carolina. We did it in Charlotte a little while ago. I was there, it was a great, exciting moment to actually. Today we’re here to celebrate the incredible work of the farmers and faith leaders and amazing volunteers who are caring for their community, through our highly successful farmers, to families food box program. I just looked at a couple of those boxes and I said, “I want to have something right now.” But they thought it would be inappropriate because I was coming up to speak. But beautiful looking stuff. We’re grateful to be joined by Secretary of Agriculture, Sonny Perdue, and somebody that you know, Ivanka Trump. And Ivanka has been a big supporter of this project and this whole program.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","01:11"
"President Trump","And it’s made people that were looking for food happy and it’s made the farmers happy. With all of us, we’re just thrilled to be here. You have a representative named Ted Budd. Where’s Ted Budd? Where’s Ted? Ted, thank you very much. What a great warrior you’ve been, Ted Budd, Congressmen. Thank you Ted very much, I appreciate it. And where’s Madison, where is Madison? Is he here? If I had a face like that, I would have been president 20 years ago. If I looked like him, I would have been president 20 years ago, Kirby. Madison Cawthorn, and a real star. You’re going to be a star of the party. Thank you very much. What a great guy, great guy. He was in the oval office, I didn’t want my picture with him because he looks too good. Great. Proud of you too. And I hear you doing really well over there. Thank you very much, Madison. Also want to thank Mitch Gaither and Brian Rose, of Flavor First Growers, we appreciate you guys. Thank you. Thank you. And executive director of Baptists on Mission, Richard Brunson and many local leaders are here. Where’s Richard?","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","02:05"
"Speaker 2","Behind you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","03:15"
"President Trump","Oh, Richard, thank you very much. Great job. That’s fantastic. Thank you Richard. When the China virus struck our nation, many farmers had no place to send their crops or livestock. At the same time, families across the country were in need of groceries, they wanted to eat well. And next year they’re going to be eating better than ever before, because we’re going to have a tremendous year. I’ll tell you, economically, you see the numbers coming in and you see even the employment numbers coming in. In the last quarter, more people hired, more jobs than any over 9 million jobs than at any quarter ever before, it’s a record. We’re going to have a great year, we’re going to have a great quarter, but we’re going to have a great year. That’s why we launched the Farmers to Families Food Box program. Through this program, the Department of Agriculture is purchasing food from farmers, then local distributors pack and deliver the boxes and families in need get it, and they get to eat very well.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","03:19"
"President Trump","We’re tremendously grateful for the 185 employees here at this facility who have packed roughly 7,000 boxes a week. That’s not bad Kirby, right? 7,000 boxes a week is a lot of boxes. Thanks as well to the incredible volunteers at Baptist Sun Mission, who shipped boxes to over 200 pickup locations all across your great state. With your help in just three months, we’ve delivered over 1 billion pounds of food, providing more than 100 million meals to Americans most in need. And this is a program that just got started and they’re already a soon as I saw it, I saw one line that was hungry. And one line that had so much food, they had to dispose of it, the farmers.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","04:17"
"President Trump","I said, “Let’s put them together.” And with Sonny and with all of the people that worked on it and Ivanka’s strong backing, we got it done in literally a week, right? We got it done. And I think might’ve even been less than a week. That’s not bad. Today, I’m proud to announce that we will provide an additional $1 billion to fund the Farmers to Families Food Box programs that’s worked out so well. It’s worked out so well.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","05:02"
"President Trump","In our fight against the China virus, we’ve launched the greatest industrial mobilization. This is the greatest industrial mobilization, all of the things that we’ve done to, to take on this horrible, horrible scourge that’s come in. To take on this horrible, terrible plague, I call it sometimes. We didn’t deserve this, we didn’t deserve this. And they could have stopped it. And we had just signed an incredible trade deal with China. In fact, last week, Sonny was telling me the largest order of corn in the history of our country, twice largest order of soybeans in history. But I feel so differently because the ink wasn’t even dry on that trade deal when we got hit with the China virus, I feel very differently about it. In our fight against the virus, we’ve launched this mobilization. And it’s the biggest since World War Two.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","05:34"
"President Trump","Biggest and most successful too. You’ll be hearing that on Thursday night, I’m going to be talking about it because what we’ve done is incredible. You would have had a situation, if you looked at the lives saved, if we didn’t close down, now reopened and we reopened. Problem is your governor doesn’t want to reopen. He wants to keep it shut down and you can’t do that, because there’s a lot of bad statistics on the other side, shut downs cause problems too, with suicide and depression and loss of jobs and loss of a lot of other things. So we have to get your state open. We have to get numerous states open that are run by Democrats, because I really believe on November 4th, they’re all going to be open. It’s going to be a miracle. We got to get Pennsylvania open.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","06:29"
"President Trump","Now we have Pennsylvania, we have here, we have others. And well, Wisconsin is another one, right? All Democrats. They want to keep it close as long as possible, right up until the election, then they’re going to open it. But you know what? The numbers are so good anyway, that they are having a hard time. They’re having a little hard time with this whole situation. But yesterday, I announced that the FDA had issued an emergency use authorization for convalescent plasma. You probably saw that, which is proven to be an incredible reducer. It’s going to reduce mortality by at least 35%, could be much more than that. We’ll see the final numbers, but it could be even higher than that. And we did remdesivir and lots of other things, we’re going to be talking about it on Thursday nights. I hope you’re all going to be listening. Because the job that the FDA has done and the approval process has gone far faster than it would have ever gone under any other administration.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-august-24-farmers-to-families-food-box-program","Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program","07:19"
