"speaker","transcription","url","headlin","timing"
"Vice President Mike Pence","Thank you all. To Secretary Carson, Secretary Devos, Dr. Larry Yarn, educators, students, and participants, and all those looking on for this White House Conference on American history, welcome to the National Archives. It’s an honor to be with you all.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","00:10"
"Vice President Mike Pence","Please.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","00:37"
"Vice President Mike Pence","Today is Constitution Day, a day in which we celebrate the work of genius that’s preserved in these very halls. 233 years ago today, our founders completed what for them was the work of a nation, but for humanity, a work for the ages: the Constitution of the United States of America.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","00:39"
"Vice President Mike Pence","For the first time in history, a government was founded by we, the people, to form a more perfect union, establish justice, ensure domestic tranquility, provide the common defense, promote the general welfare, and secure the blessings of Liberty for themselves and their posterity. John Adams, our first Vice-President, aptly described our Constitution in his words as, “The single greatest effort of national deliberation that the world has ever seen.” And so it was. But we all know the summer of 1787 didn’t just happen. It was preceded by the summer of 1776 and the signing of our Declaration of Independence, whose magisterial words continue to echo into our time, that we as Americans hold certain truths to be self evident, that all men are created equal and endowed by their creator with certain unalienable rights. And that among these are life, and liberty, and the pursuit of happiness.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","01:10"
"Vice President Mike Pence","With those words, America laid the foundations for a government whose purpose, in the words of President Abraham Lincoln was, and I quote, “to elevate the condition of men, to lift artificial weights from all shoulders, to clear the paths of laudable pursuit for all.” As the word, inscribed on the walls of these National Archives read: “This building holds, in trust, the records of our national life and symbolizes our faith in the permanency of our national institutions.” The Declaration of Independence and the Constitution are the greatest charters of freedom the world has ever known.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","02:22"
"Vice President Mike Pence","The character of our people and the principles enshrined there are the reason for our nation’s unparalleled success, and they remain the greatest bulwark against tyranny in history. And the reason is simple: our founders knew history. Sadly, we live in a time when too many are forgetting history. Today, Thomas Jefferson warned that, “if a nation expects to be ignorant and free in a state of civilization, it expects what never was and never will be.” But sadly, we live in a time when some seek to erase our history and deny our nation’s relentless march toward a more perfect union.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","03:12"
"Vice President Mike Pence","As President Trump has observed, in too many of our schools and universities, millions of young people are educated by those who seek to wipe out our history, defame our heroes, erase our values, and indoctrinate our children. But we gather here today, soon to hear from the President of the United States, as Americans who are committed to affirming the greatness of this nation and the ideals of our founders.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","04:06"
"Vice President Mike Pence","Our President understands what we all understand, if we don’t teach the next generation the principles enshrined in these halls, we can’t expect them to preserve them. No one can preserve what they do not love, and no one can love what they do not know. That’s why on this Constitution Day, our President will reaffirm our commitment to the principles and liberties that this administration has championed from day one, and take measurable steps to ensure that future generations will continue to understand the historical and philosophical roots of our nation.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","04:46"
"Vice President Mike Pence","What we do here today is a part of our ongoing commitment to ensure that the rising generation will be able to do their part, as we know they will, to preserve, protect, and defend the Constitution of the United States. And this we know they will do because these principles are not just enshrined in these National Archives, they’re enshrined in the hearts of the American people.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","05:29"
"Vice President Mike Pence","And I know these great principles will prevail because like our President, I have faith in the American people. And I have faith that he who guided our founders on this day, 233 years ago, guides us still. For as the father of our Constitution, James Madison, reflected on this day. And I quote, “it is impossible not to perceive in it a finger of that almighty hand, which has been so frequently and signally extended to our relief at critical stages of the revolution.” So it’s Constitution Day in America, and with gratitude to all of those who have gone before and gratitude to all of you who are gathered here, who love and cherish our heritage of freedom, with gratitude to God who has ever guided the destiny of this land, and gratitude to a President who has ever championed the freedoms and ideals enshrined in this place, it is now my high honor and distinct privilege to introduce to you the 45th President of the United States of America, President Donald Trump.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","05:59"
"President Donald Trump","Thank you very much. Thank you, Mike. Great Vice-President.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","07:21"
"President Donald Trump","I’m truly honored to be here at the very first White House Conference on American History. So important. Our mission is to defend the legacy of America’s founding, the virtue of America’s heroes, and the nobility of the American character. We must clear away the twisted web of lies in our schools and classrooms and teach our children the magnificent truth about our country. We want our sons and daughters to know that they are the citizens of the most exceptional nation in the history of the world.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-september-17-white-house-history-conference","Donald Trump Speech Transcript September 17: White House History Conference","08:04"
