"speaker","transcription","url","headlin","timing"
"Donald Trump","Well hello Oshkosh. Wow! I don’t know what happened. Something happened. This was supposed to be just a quick little small gathering. This is what’s happening and we call it a peaceful protest. We’re supposed to have 50 people, right? So we have a little more and they turned away a lot of people outside. So we’ll call it a peaceful protest. That way we could do whatever we want.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","01:33"
"Donald Trump","You know that’s what they call it in New York and these different places Portland, when they’re rioting all over the streets they say it was a peaceful protest. So you can have thousands of people doing it we’ll do the same thing. I’m truly thrilled to be here with you. The hardworking patriots of Wisconsin. Thank you. Thank you. It’s a big group of people. This is like a rally I said it’s not supposed to be a rally. We’re not supposed to have a rally. I hereby grant to you a pardon. Thank you. Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","02:03"
"Donald Trump","Well, I want to thank you. Thank you. In the months ahead we will need every ounce of your strength and drive and patriotism. We’re in a fight for the survival of our nation and civilization itself. We are really in a fight. This is the most important election we’ve ever had in my opinion. And I used to say it and I’d say it with great conviction, 2016 but you know what? That wasn’t crazy people we were dealing. They were on the edge, crooked Hillary was on the edge. She was on the verge. She became crazy later on when she lost. That’s what she became. But these are people that are seriously radical left. Joe Biden is nothing but their puppet. He has no clue what’s happening.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","02:53"
"Donald Trump","And then baking speeches that are taped, who wants to listen to Michelle Obama do a tape speech? No, you got to have her get up there. But we’re doing a real speech on Thursday next Thursday, she’ll be listening. Doing it live from the white house, live from the white house. So we have plenty to say. So Joe Biden and the Democrats have pledged to oppose $4 trillion of new taxes. So this is a group of people that think it’s good to raise everybody’s taxes. In the old days a politician would lower taxes, right? The great Scott Walker is here, your governor. Scott would lower taxes, but now the whole thing I guess it’s changed. It’s gotten inside out. Now everybody says we’re going to raise your taxes, but Republicans are lowering your taxes. We gave you the biggest tax decrease of the history of our country and we’re going lower.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","03:42"
"Donald Trump","But they’re going to massively increase your regulations. In addition to your taxes, they’re going to confiscate the guns of law abiding Americans. They’re going to take away your second amendment. They’re going to make America a sanctuary for criminal aliens. They’re going to keep those sanctuary cities. They love sanctuary cities. They’re going to protect the criminals, abolish American energy and make us reliant on foreign nations and force taxpayers to fund extreme late term abortion. That’s what they’re doing. They also want to abolish the suburbs by allowing far left Washington bureaucrats to force the construction of low income housing projects in every neighborhood in America. That’s what they want to do, that’s their goal. And we’re going to let you preserve your American dream in the suburbs. Okay? We ended the program. We ended the program. The voters of Wisconsin are very, very spectacular people. We are going to take care of you at every level. We are going to fight for you. We are going to fight for every single aspect that you have going. We are never going to forget you. You didn’t forget me in the last election so I want to thank you very much. Thank you everybody. Thank you. I want to thank you very much. It’s great. So we issued a regulation and we ended that regulation because when we talk about suburbs and we talk about other things we have taken care of about 84% of Obama regulations, executive orders. It’s amazing. We knocked out a big portion of what he did, including the wonderful mandate, right? The individual mandated Obamacare, which totally by the way, by far the worst of all of Obamacare. We took it out, essentially that ended Obamacare. And then you say so we knocked out 84% of what he did and then they say he was a wonderful president. Why was he a wonderful president if we knocked out in a very popular way knocked out 84%? The voters of Wisconsin face a simple choice. Do you want to be ruled by the radical left mob or do you want to stand tall as free men and women in the greatest country on earth and keep it that way?","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","04:45"
"Donald Trump","Do you want to crush our economy under the crazy socialist policies of sleepy Joe Biden and his boss Kamala Harris? And his other boss Nancy Pelosi, she’s a beauty. And his ruler Bernie Sanders, crazy Bernie. Or do you want to quickly rebuild the strongest economy in the history of the world? Which we did. We’re going to have to do it again. We’re going to have to do it again and we’re in the process of doing it.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","07:18"
"Donald Trump","We’ve built the greatest economy on earth and now we’re doing it again. You look at all the numbers, we’re going to go over them. Do you want to fund and defame and dismantle the police? I don’t think so. Do you want to support the incredible heroes of law enforcement? Yes, right? Do you want your friends and family to be persecuted by the far left wing? It’s called cancel culture, right? Cancel culture. Or do you want to defend our history, our heroes, our faith, our values and our treasured American way of life, which is what we have?","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","07:59"
"Donald Trump","Now don’t believe the lies you’re going to hear on tape. Most of it is going to be tape. I wonder is Joe Biden taping his speech too because if he is, I think I’ll tape mine. How do you watch a tape? They talk about a convention. How do you watch a tape speech? I would imagine Joe is going to do everything he can to tape it. I saw them asking him questions today. It was a news conference and he read them off a teleprompter. I don’t get it. I don’t get it. Something going on up there. We can’t afford it. I can tell you this look, from doing this now we’ve built the greatest economy in the world, we rebuilt our military, we gave you the greatest tax cuts in history, we gave you the greatest regulation cuts. We became energy independent. We’ve done things that nobody thought possible, right? Nobody thought possible. We’ve done things that nobody ever thought you had the greatest year in the history of your state last year, greatest year. And when you look at the numbers, you’re going to have an even greater year next year, unless somebody comes in and quadruples your taxes. In which case it’s called the depression folks. It’s called it depression. It’s not going to happen because we’re going to win. Biden is just a Trojan horse for socialism. He’s a Trojan horse. He has no clue, but the people around him are tough and they’re smart. But we disagree with them very, very strongly. They’re mean and they’re angry like her. By the way, nobody treated Joe Biden worse than Kamala, right? She was worse than Pocahontas, She was worse than anybody on stage. Nobody treated him worse or with less respect. She had no respect. All of a sudden she’s now saying he’s the wonderful. She didn’t feel that way a little while ago. Let’s talk about her for a second. She left in shame. She started at 14 she left at two. She went in the wrong direction. So if a poll is any indication, that’s what we want, speak in the polls. Fake news, CNN. They probably have their cameras going thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","08:44"
"Donald Trump","No, no, no. Frankly, their pollster’s much better than Fox because Fox has never gotten it right. Fox pollster I don’t know who he is, but he hasn’t had a clue for about seven years. Let me just tell you that CNN gave us an increase of 10 or 11 points in just a short period of time that we went up and now they call it margin of error. Don’t believe it. We’re way beyond the margin of error don’t believe it.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","10:57"
"Donald Trump","I just got back from Texas and Florida and Ohio. We were all over the place. We went to great states and every roadway and highway, we had thousands, tens of thousands. I would say at least on each one a hundred thousand people from the plane, because that’s why this isn’t a rally. This is again, friendly protest. We were not allowed to do rallies, right? Because of rules and regulations which we want to adhere to. But from the plane to an oil well, from the plane to getting law enforcement, all of the sheriffs in Florida gave us their full endorsement","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-wisconsin-august-17","Donald Trump Speech Transcript Wisconsin August 17","11:26"
